letting_date,label,url,source_id,letting_id,file_name,raw_path,sha256,file_size_bytes,duplicate_letting_date,parse_status
2024-01-17,1/17/24 Bid Tablulation 2.24 MB Archived .pdf,https://iowadot.gov/media/2442/download?inline,ia_idot_bid_tabs_2024_01_17,ia_idot_2024_01_17,bid_tabs_2024_01_17.pdf,data\raw\ia\bid_tabs\bid_tabs_2024_01_17.pdf,6878f563ee182793e3e6ca25d584a4ddeadde003a11201b091a473cc0ef47867,2348628,false,selected
2024-02-20,2/20/24 Bid Tabluation 2.83 MB Archived .pdf,https://iowadot.gov/media/2443/download?inline,ia_idot_bid_tabs_2024_02_20,ia_idot_2024_02_20,bid_tabs_2024_02_20_2.pdf,data\raw\ia\bid_tabs\bid_tabs_2024_02_20_2.pdf,c00b764fa71a984790bef35b43d598b0209a14306b6a50007dc7305da1253841,2966843,true,skipped_duplicate_letting_date
2024-02-20,02/20/2024 Bid Tabulation 2.83 MB Archived .pdf,https://iowadot.gov/media/4294/download?inline,ia_idot_bid_tabs_2024_02_20,ia_idot_2024_02_20,bid_tabs_2024_02_20.pdf,data\raw\ia\bid_tabs\bid_tabs_2024_02_20.pdf,c00b764fa71a984790bef35b43d598b0209a14306b6a50007dc7305da1253841,2966843,false,selected
2024-03-19,03/19/2024 Bid Tabulation 1.86 MB Archived .pdf,https://iowadot.gov/media/2444/download?inline,ia_idot_bid_tabs_2024_03_19,ia_idot_2024_03_19,bid_tabs_2024_03_19.pdf,data\raw\ia\bid_tabs\bid_tabs_2024_03_19.pdf,37e627eddddbe8eae874097b782a3f1759da77f59cd04683ebee0028b2fdb7ff,1955208,false,selected
2024-04-16,04/16/2024 Bid Tabulation 19.16 MB Archived .pdf,https://iowadot.gov/media/2445/download?inline,ia_idot_bid_tabs_2024_04_16,ia_idot_2024_04_16,bid_tabs_2024_04_16.pdf,data\raw\ia\bid_tabs\bid_tabs_2024_04_16.pdf,0f00fc7c667f55f89ca9603ad290142165ec5679856410465d670d1a9274da9c,20090923,false,selected
2024-05-21,05/21/2024 Bid Tabulation 10.44 MB Archived .pdf,https://iowadot.gov/media/2446/download?inline,ia_idot_bid_tabs_2024_05_21,ia_idot_2024_05_21,bid_tabs_2024_05_21.pdf,data\raw\ia\bid_tabs\bid_tabs_2024_05_21.pdf,7afc334a21026584568d6c985a41523341e81a257be30140019150888750b956,10949471,false,selected
2024-06-18,06/18/2024 Bid Tabulation 9.95 MB Archived .pdf,https://iowadot.gov/media/2447/download?inline,ia_idot_bid_tabs_2024_06_18,ia_idot_2024_06_18,bid_tabs_2024_06_18.pdf,data\raw\ia\bid_tabs\bid_tabs_2024_06_18.pdf,238a42d3043c7c830b43298cdfcc38b9ff7b07e54dfed1c4acee377105e6d725,10428409,false,selected
2024-07-16,07/16/2024 Bid Tabulation 14.9 MB Archived .pdf,https://iowadot.gov/media/2448/download?inline,ia_idot_bid_tabs_2024_07_16,ia_idot_2024_07_16,bid_tabs_2024_07_16.pdf,data\raw\ia\bid_tabs\bid_tabs_2024_07_16.pdf,5e2c5c6f573d716538f92c378698d47a5286b97e1ac1b99c3e0ca25e3b280977,15623920,false,selected
2024-07-30,07/30/2024 Bid Tabulation 6.16 MB Archived .pdf,https://iowadot.gov/media/2449/download?inline,ia_idot_bid_tabs_2024_07_30,ia_idot_2024_07_30,bid_tabs_2024_07_30.pdf,data\raw\ia\bid_tabs\bid_tabs_2024_07_30.pdf,7d82790ee59140124b40ff3dd039593872ff4357bd6bebc54e0821d00ee13d12,6458088,false,selected
2024-08-06,08/06/2024 Bid Tabulation 803.38 KB Archived .pdf,https://iowadot.gov/media/4320/download?inline,ia_idot_bid_tabs_2024_08_06,ia_idot_2024_08_06,bid_tabs_2024_08_06.pdf,data\raw\ia\bid_tabs\bid_tabs_2024_08_06.pdf,a774617cbb7856232f80ada77c785fa64aa1318029545a5f474e5ab04ba393b1,822665,false,selected
2024-08-20,08/20/2024 Bid Tabulation 3.14 MB Archived .pdf,https://iowadot.gov/media/2450/download?inline,ia_idot_bid_tabs_2024_08_20,ia_idot_2024_08_20,bid_tabs_2024_08_20.pdf,data\raw\ia\bid_tabs\bid_tabs_2024_08_20.pdf,72020b80fb3b2afa684cf762e53ed010d0a4528c7db13abf4a2dd7189e183fd5,3295436,false,selected
2024-09-04,09/04/2024 Bid Tabulation 919.95 KB Archived .pdf,https://iowadot.gov/media/2452/download?inline,ia_idot_bid_tabs_2024_09_04,ia_idot_2024_09_04,bid_tabs_2024_09_04.pdf,data\raw\ia\bid_tabs\bid_tabs_2024_09_04.pdf,585b018c4f7b5f464032f56a0cef619a5857a23fd55c0deb76d446531958d1df,942032,false,selected
2024-09-17,09/17/2024 Bid Tabulation 7.27 MB Archived .pdf,https://iowadot.gov/media/2453/download?inline,ia_idot_bid_tabs_2024_09_17,ia_idot_2024_09_17,bid_tabs_2024_09_17.pdf,data\raw\ia\bid_tabs\bid_tabs_2024_09_17.pdf,414d9ab2e2695bc95f80cb128ff7610c9be77826f4924012c565d8de3355d009,7618525,false,selected
2024-09-24,09/24/2024 Bid Tabulation 2.86 MB Archived .pdf,https://iowadot.gov/media/2454/download?inline,ia_idot_bid_tabs_2024_09_24,ia_idot_2024_09_24,bid_tabs_2024_09_24.pdf,data\raw\ia\bid_tabs\bid_tabs_2024_09_24.pdf,e1d26a5a7e97a64ad097407bbd4070c5a96d6e2b6b9b90e1a409d0ccd9a74e20,2999857,false,selected
2024-10-08,10/08/2024 Bid Tabulation 704.82 KB Archived .pdf,https://iowadot.gov/media/2455/download?inline,ia_idot_bid_tabs_2024_10_08,ia_idot_2024_10_08,bid_tabs_2024_10_08.pdf,data\raw\ia\bid_tabs\bid_tabs_2024_10_08.pdf,55c962ccf0bc71374c9cd0364083f1c5d23c4475be43aa512b5652d7a5a4c2be,721735,false,selected
2024-10-15,10/15/2024 Bid Tabulation 14.67 MB Archived .pdf,https://iowadot.gov/media/2459/download?inline,ia_idot_bid_tabs_2024_10_15,ia_idot_2024_10_15,bid_tabs_2024_10_15.pdf,data\raw\ia\bid_tabs\bid_tabs_2024_10_15.pdf,8df7312e857492afa242ac6b7cc52163d77170d995ca8c82a0206f9132ad7fc0,15379388,false,selected
2024-10-22,10/22/2024 Bid Tabulation 173.98 KB Archived .pdf,https://iowadot.gov/media/2461/download?inline,ia_idot_bid_tabs_2024_10_22,ia_idot_2024_10_22,bid_tabs_2024_10_22.pdf,data\raw\ia\bid_tabs\bid_tabs_2024_10_22.pdf,d96e5c72ca590abf7c20f88ae306aec4db670a265023813bd31d3404475b8246,178154,false,selected
2024-11-19,11/19/2024 Bid Tabulation 23.39 MB Archived .pdf,https://iowadot.gov/media/2463/download?inline,ia_idot_bid_tabs_2024_11_19,ia_idot_2024_11_19,bid_tabs_2024_11_19.pdf,data\raw\ia\bid_tabs\bid_tabs_2024_11_19.pdf,aae86d93a63c5b9a9e425ff5e9d7ea23f29d1fd73a46b62e29ed72654d6f84a2,24522572,false,selected
2024-12-03,12/03/2024 Bid Tabulation 864.87 KB Archived .pdf,https://iowadot.gov/media/2462/download?inline,ia_idot_bid_tabs_2024_12_03,ia_idot_2024_12_03,bid_tabs_2024_12_03.pdf,data\raw\ia\bid_tabs\bid_tabs_2024_12_03.pdf,92e8a719331db972334472a7f6c03e91fb65d622e53af0ca24a117ced9084f78,885626,false,selected
2024-12-17,12/17/2024 Bid Tabulation 21.15 MB Archived .pdf,https://iowadot.gov/media/2465/download?inline,ia_idot_bid_tabs_2024_12_17,ia_idot_2024_12_17,bid_tabs_2024_12_17.pdf,data\raw\ia\bid_tabs\bid_tabs_2024_12_17.pdf,8b44b30d938626a4a6f72ccc0281e26278376e998394f0463654cab68ce4a202,22181982,false,selected
