bid_id,contract_id,source_id,source_vendor_id,bidder_name,bid_rank,bid_total,percent_of_low,is_apparent_low,is_awarded,source_page
ia_idot_20260616_25_0804_515_bid_3,ia_idot_20260616_25_0804_515,ia_idot_bid_tabs_2026_06_16,IN122,"INROADS, LLC.",3,110877.41,115.44,false,false,133
ia_idot_20260616_77_1631_714_bid_1,ia_idot_20260616_77_1631_714,ia_idot_bid_tabs_2026_06_16,IN122,"INROADS, LLC.",1,1722922.46,100.00,true,true,137
ia_idot_20260616_77_1631_714_bid_2,ia_idot_20260616_77_1631_714,ia_idot_bid_tabs_2026_06_16,HA760,HAWKEYE PAVING CORP.,2,1825098.6,105.93,false,false,137
ia_idot_20260616_77_1631_714_bid_3,ia_idot_20260616_77_1631_714,ia_idot_bid_tabs_2026_06_16,GR219,GRIMES ASPHALT AND PAVING CORPORATION,3,2841154.89,164.90,false,false,137
ia_idot_20260616_78_0004_001_bid_1,ia_idot_20260616_78_0004_001,ia_idot_bid_tabs_2026_06_16,WE540,"WESTERN ENGINEERING CO., INC.",1,199063.58,100.00,true,true,143
ia_idot_20260616_78_0004_001_bid_2,ia_idot_20260616_78_0004_001,ia_idot_bid_tabs_2026_06_16,HE400,"HENNINGSEN CONSTRUCTION, INC.",2,199581.71,100.26,false,false,143
ia_idot_20260616_78_0004_001_bid_3,ia_idot_20260616_78_0004_001,ia_idot_bid_tabs_2026_06_16,O.055,"OMG MIDWEST, INC. D/B/A OMNI ENGINEERING",3,271476.18,136.38,false,false,143
ia_idot_20260616_81_1754_021_bid_1,ia_idot_20260616_81_1754_021,ia_idot_bid_tabs_2026_06_16,IN122,"INROADS, LLC.",1,5238311.67,100.00,true,true,147
ia_idot_20260616_81_1754_021_bid_2,ia_idot_20260616_81_1754_021,ia_idot_bid_tabs_2026_06_16,NO081,"NORRIS ASPHALT PAVING CO., LC",2,5445569.12,103.96,false,false,147
ia_idot_20260616_81_1754_021_bid_3,ia_idot_20260616_81_1754_021,ia_idot_bid_tabs_2026_06_16,HE400,"HENNINGSEN CONSTRUCTION, INC.",3,5457023.26,104.18,false,false,147
ia_idot_20260616_81_1754_021_bid_4,ia_idot_20260616_81_1754_021,ia_idot_bid_tabs_2026_06_16,DU122,"DUININCK, INC.",4,6567151.81,125.37,false,false,147
ia_idot_20260616_15_0714_702_a_bid_1,ia_idot_20260616_15_0714_702_a,ia_idot_bid_tabs_2026_06_16,DE300,DENCO HIGHWAY CONSTRUCTION CORP.,1,505878,100.00,true,true,175
ia_idot_20260616_15_0714_702_a_bid_2,ia_idot_20260616_15_0714_702_a,ia_idot_bid_tabs_2026_06_16,TH316,THUNDER ROAD LLC,2,506701.43,100.16,false,false,175
