item_code,description,unit,total_quantity,total_cost,average_low_bid_price,average_three_lowest_bids,bid_count,source_page
451E3606,"6"" Pipe Sleeve",Each,6,5091.99,848.66,976.48,2,15
451E3608,"8"" Pipe Sleeve",Each,5,5550,1110,1191.67,1,15
451E3610,"10"" Pipe Sleeve",Each,4,5403.82,1350.96,1416.23,2,15
451E3612,"12"" Pipe Sleeve",Each,3,5100,1700,1682,1,15
451E3903,"3"" Air Release Valve Assembly",Each,20,682500,34125,33090.14,1,15
451E3904,"4"" Air Release Valve Assembly",Each,1,46200,46200,44833.42,1,15
451E4203,"3"" Gate Valve with Box",Each,1,5500,5500,5500,1,15
451E4204,"4"" Gate Valve with Box",Each,4,24000,6000,6000,1,15
451E4206,"6"" Gate Valve with Box",Each,40,241146.52,6028.66,4617.07,4,15
451E4208,"8"" Gate Valve with Box",Each,36,192556.5,5348.79,4571.07,3,15
451E4210,"10"" Gate Valve with Box",Each,15,113487.4,7565.83,6094.37,3,15
451E4212,"12"" Gate Valve with Box",Each,2,19700,9850,7931.25,2,15
451E4214,"14"" Gate Valve with Box",Each,23,517500,22500,22500,1,15
451E4256,"6"" Plug Valve with Box",Each,4,50000,12500,11275,1,15
451E4350,Valve Box,Each,2,1753.54,876.77,1364.48,1,15
451E4360,Valve Box Extension,Each,1,344.38,344.38,469.93,1,15
451E4380,"Tracer Wire Access Box, Type 1",Each,122,105091.78,861.41,767.2,2,15
451E4400,Pipe Insulation,SqFt,9920,26883.2,2.71,2.23,1,15
451E4506,"6"" Fire Hydrant Extension",Each,2,2614.07,1307.04,1332.2,2,15
451E4512,"12"" Fire Hydrant Extension",Each,1,2000,2000,1915,1,15
451E4580,Standard Fire Hydrant,Each,10,77539,7753.9,7098.97,2,15
451E4585,Fire Hydrant with Auxiliary Valve & Box,Each,33,707877.94,21450.85,21041.02,2,15
451E4750,Meter Pit,Each,1,43637.96,43637.96,54721.48,1,15
451E4901,Type 1 Bedding Material,Ton,25,2434.25,97.37,83.68,1,15
451E4903,Type 2 Foundation Material,Ton,100,6500,65,65,1,15
451E4904,Type 3 Foundation Material,Ton,125,10566.75,84.53,82.11,2,15
451E4912,Controlled Low Strength Backfill,CuYd,20,8389.6,419.48,459.74,1,15
