item_code,description,unit,total_quantity,total_cost,average_low_bid_price,average_three_lowest_bids,bid_count,source_page
560E1188,"12'x8' Precast Concrete Box Culvert End Section, Furnish",Each,4,280000,70000,72166.67,1,18
560E1189,"12'x8' Precast Concrete Box Culvert End Section, Install",Each,4,34000,8500,13166.67,1,18
560E1190,"12'x9' Precast Concrete Box Culvert End Section, Furnish",Each,2,70000,35000,36333.33,1,18
560E1191,"12'x9' Precast Concrete Box Culvert End Section, Install",Each,2,13000,6500,11666.67,1,19
560E2074,"2-8'x6' Precast Concrete Box Culvert, Furnish",Ft,12,19814.88,1651.24,2505.08,1,19
560E2075,"2-8'x6' Precast Concrete Box Culvert, Install",Ft,12,14078.4,1173.2,1491.07,1,19
560E2090,"2-9'x4' Precast Concrete Box Culvert, Furnish",Ft,170,222802,1310.6,1344,1,19
560E2091,"2-9'x4' Precast Concrete Box Culvert, Install",Ft,170,46937,276.1,411.69,1,19
560E2100,"2-9'x9' Precast Concrete Box Culvert, Furnish",Ft,76,133000,1750,1696.17,1,19
560E2101,"2-9'x9' Precast Concrete Box Culvert, Install",Ft,76,57000,750,486.67,1,19
560E2136,"2-11'x4' Precast Concrete Box Culvert, Furnish",Ft,80,147000,1837.5,1787.17,1,19
560E2137,"2-11'x4' Precast Concrete Box Culvert, Install",Ft,80,33600,420,506.67,1,19
560E2142,"2-11'x7' Precast Concrete Box Culvert, Furnish",Ft,0,0,0,2020,0,19
560E2143,"2-11'x7' Precast Concrete Box Culvert, Install",Ft,0,0,0,660,0,19
560E2146,"2-11'x9' Precast Concrete Box Culvert, Furnish",Ft,92,202400,2200,2554.41,1,19
560E2147,"2-11'x9' Precast Concrete Box Culvert, Install",Ft,92,50600,550,618.48,1,19
560E2164,"2-12'x5' Precast Concrete Box Culvert, Furnish",Ft,46,69000,1500,1516.67,1,19
560E2165,"2-12'x5' Precast Concrete Box Culvert, Install",Ft,46,23000,500,521.67,1,19
560E2166,"2-12'x6' Precast Concrete Box Culvert, Furnish",Ft,42,67200,1600,1616.67,1,19
560E2167,"2-12'x6' Precast Concrete Box Culvert, Install",Ft,42,29400,700,708.33,1,19
560E2172,"2-12'x9' Precast Concrete Box Culvert, Furnish",Ft,46,202400,4400,4650,1,19
560E2173,"2-12'x9' Precast Concrete Box Culvert, Install",Ft,46,40250,875,1153.33,1,19
560E2174,"2-12'x10' Precast Concrete Box Culvert, Furnish",Ft,172,395600,2300,2137,1,19
560E2175,"2-12'x10' Precast Concrete Box Culvert, Install",Ft,172,98900,575,925,1,19
560E3074,"2-8'x6' Precast Concrete Box Culvert End Section, Furnish",Each,2,30724.84,15362.42,19455.81,1,19
560E3075,"2-8'x6' Precast Concrete Box Culvert End Section, Install",Each,2,14078.48,7039.24,6346.41,1,19
560E3090,"2-9'x4' Precast Concrete Box Culvert End Section, Furnish",Each,2,18910.4,9455.2,10447.96,1,19
560E3091,"2-9'x4' Precast Concrete Box Culvert End Section, Install",Each,2,6820,3410,5191.91,1,19
560E3100,"2-9'x9' Precast Concrete Box Culvert End Section, Furnish",Each,2,56000,28000,27333.33,1,19
560E3101,"2-9'x9' Precast Concrete Box Culvert End Section, Install",Each,2,16000,8000,5666.67,1,19
560E3136,"2-11'x4' Precast Concrete Box Culvert End Section, Furnish",Each,2,25200,12600,12866.67,1,19
560E3137,"2-11'x4' Precast Concrete Box Culvert End Section, Install",Each,2,10500,5250,6750,1,19
560E3142,"2-11'x7' Precast Concrete Box Culvert End Section, Furnish",Each,0,0,0,21050,0,19
560E3143,"2-11'x7' Precast Concrete Box Culvert End Section, Install",Each,0,0,0,6810,0,19
560E3146,"2-11'x9' Precast Concrete Box Culvert End Section, Furnish",Each,2,44000,22000,32475.27,1,19
560E3147,"2-11'x9' Precast Concrete Box Culvert End Section, Install",Each,2,22000,11000,11231.46,1,19
560E3164,"2-12'x5' Precast Concrete Box Culvert End Section, Furnish",Each,2,38000,19000,17426.67,1,19
560E3165,"2-12'x5' Precast Concrete Box Culvert End Section, Install",Each,2,10000,5000,3906.67,1,19
560E3166,"2-12'x6' Precast Concrete Box Culvert End Section, Furnish",Each,2,37000,18500,18666.67,1,19
560E3167,"2-12'x6' Precast Concrete Box Culvert End Section, Install",Each,2,10000,5000,4500,1,20
560E3172,"2-12'x9' Precast Concrete Box Culvert End Section, Furnish",Each,2,156000,78000,83200,1,20
560E3173,"2-12'x9' Precast Concrete Box Culvert End Section, Install",Each,2,19000,9500,15500,1,20
560E3174,"2-12'x10' Precast Concrete Box Culvert End Section, Furnish",Each,4,144000,36000,32735.67,1,20
560E3175,"2-12'x10' Precast Concrete Box Culvert End Section, Install",Each,4,60000,15000,15166.67,1,20
560E5003,"5'x7' Reinforced Concrete Cattle Pass, Furnish",Ft,80,49500,618.75,637.42,1,20
560E5004,"5'x7' Reinforced Concrete Cattle Pass, Install",Ft,80,20000,250,394.43,1,20
560E5053,"5'x7' Reinforced Concrete Cattle Pass End Section, Furnish",Each,2,5280,2640,4139.63,1,20
560E5054,"5'x7' Reinforced Concrete Cattle Pass End Section, Install",Each,2,5000,2500,4946.6,1,20
560E5101,Reset Reinforced Concrete Cattle Pass End Section,Each,3,4500,1500,1747.11,1,20
560E8036,"36"" Minnesota Shape Prestressed Concrete Beam",Ft,1419,857870,604.56,612.95,2,20
560E8045,"45"" Minnesota Shape Prestressed Concrete Beam",Ft,3111,1319064,424,389.67,1,20
560E8054,"54"" Minnesota Shape Prestressed Concrete Beam",Ft,1707,1605225,940.38,855.96,2,20
560E8063,"63"" Minnesota Shape Prestressed Concrete Beam",Ft,1208,664400,550,587.5,1,20
560E8081,"81"" Minnesota Shape Prestressed Concrete Beam",Ft,4690,2243133.2,478.28,589.55,1,20
600E0100,Type I Field Laboratory,Each,4,36173.12,9043.28,14813.68,3,20
600E0200,Type II Field Laboratory,Each,11,244864.99,22260.45,26387.84,10,20
600E0300,Type III Field Laboratory,Each,36,814265.95,22618.5,21459.51,36,20
610E0124,24' Cattle Guard with Wings,Each,1,13100,13100,14050,1,20
610E0200,Forest Service Cattle Guard,Each,1,52000,52000,41000,1,20
610E0424,24' Precast Concrete Cattle Guard Foundation,Each,1,33500,33500,31750,1,20
610E1010,Reset Cattle Guard with Wings,Each,2,21000,10500,10005.32,1,20
620E0010,Type 1 Right-of-Way Fence,Ft,1928,10747.65,5.57,7.49,3,20
620E0020,Type 2 Right-of-Way Fence,Ft,188941,588537.89,3.11,3.31,32,20
620E0030,Type 3 Right-of-Way Fence,Ft,17320,38829.04,2.24,2.37,5,20
620E0040,Type 4 Right-of-Way Fence,Ft,7363,67997.3,9.23,8.96,4,20
620E0050,Type 5 Right-of-Way Fence,Ft,1390,4461.9,3.21,3.15,1,20
620E0060,Type 6 Right-of-Way Fence,Ft,4935,17061.15,3.46,3.44,2,20
620E0120,Type 2s Right-of-Way Fence,Ft,225,562.5,2.5,5.75,1,20
620E0220,Modified Type 2 Right-of-Way Fence,Ft,26213,83364.9,3.18,3.59,2,20
620E0230,Modified Type 3 Right-of-Way Fence,Ft,974,7986.8,8.2,7.32,1,20
620E0510,Type 1 Temporary Fence,Ft,48858,143656.9,2.94,2.93,12,20
620E0515,Type 1A Temporary Fence,Ft,21507,56006.09,2.6,2.84,6,20
620E0520,Type 2 Temporary Fence,Ft,128260,269060.16,2.1,2.42,13,20
620E0530,Type 3 Temporary Fence,Ft,2365,11038.7,4.67,5.16,2,20
620E0610,Type 1s Temporary Fence,Ft,3496,4007.26,1.15,1.64,2,20
620E0620,Type 2s Temporary Fence,Ft,215,516,2.4,5.2,1,20
620E1020,2 Post Panel,Each,819,292464.08,357.1,438.44,34,20
620E1030,3 Post Panel,Each,497,163483.89,328.94,362.49,22,20
620E2012,12' Tubular Gate,Each,2,1926,963,954.33,1,20
620E2014,14' Tubular Gate,Each,1,645,645,922.5,1,20
620E2016,16' Tubular Gate,Each,7,5843.5,834.79,818.08,4,20
620E2020,20' Tubular Gate,Each,1,1100,1100,1151.67,1,20
620E2100,Reset Gate,Each,3,1315.86,438.62,579.64,2,20
620E4100,Reset Fence,Ft,1956,17033,8.71,8.74,4,20
621E0040,4' Chain Link Fence with Top Rail,Ft,47,2444,52,52,1,20
621E0060,6' Chain Link Fence with Top Rail,Ft,2622,135076.54,51.52,55.71,4,20
621E0160,6' Chain Link Fence with Tension Wired Top,Ft,24642,618345.16,25.09,31.08,3,21
621E0300,Chain Link Fence for Bridge Sidewalk,Ft,647,60951,94.21,80.57,2,21
621E0380,8' Curved Top Chain Link Fence,Ft,527,30039,57,80.67,1,21
621E0410,Pedestrian Swing Gate,Each,4,4048,1012,920.67,2,21
621E0420,Single Vehicular Swing Gate,Each,2,5965.48,2982.74,2051.37,1,21
621E0430,Double Vehicular Swing Gate,Each,3,6899,2299.67,2502.83,3,21
621E0500,Modify Chain Link Fence,Ft,6932,18855.04,2.72,4.04,1,21
621E0510,Replace Chain Link Fence Fabric,SqFt,846,11886.3,14.05,10.02,1,21
621E0520,Reset Chain Link Fence,Ft,2670,57067.6,21.37,17.56,3,21
621E0600,Chain Link Fence Post,Each,158,24375,154.27,195.87,2,21
628E0200,Remove and Reset Crash Cushion,Each,5,8100,1620,1657.5,1,21
628E1100,"Movable F Shape Concrete Barrier, Interior Section",Each,293,424850,1450,1375,1,21
628E1110,"Movable F Shape Concrete Barrier, End Section",Each,2,650,325,1518.76,1,21
628E1500,Concrete Barrier End Protection,Each,4,103640,25910,27705,1,21
629E0110,High Tension 4 Cable Guardrail,Ft,44565,1710735.75,38.39,39.94,11,21
629E0200,Reset 3 Cable Guardrail,Ft,720,6120,8.5,8.25,1,21
629E0211,Reset High Tension 4 Cable Guardrail,Ft,3272,51336.26,15.69,15.58,4,21
629E0290,High Tension Cable Guardrail Anchor Assembly,Each,154,1046809,6797.46,7267.37,12,21
629E0295,Reset High Tension Cable Guardrail Anchor Assembly,Each,17,40062.93,2356.64,2392.38,4,21
629E1107,Furnish High Tension Cable Guardrail Post,Each,120,11900,99.17,95.56,2,21
629E1109,Furnish High Tension Cable Guardrail Post and Sleeve,Each,85,35509.5,417.76,412.27,3,21
629E9000,Crossover Closure,Ft,1130,29535,26.14,32.23,2,21
629E9010,Interim Crossover Closure,Ft,1250,16246.4,13,13.13,3,21
629E9050,Reset Crossover Closure,Ft,448,3136,7,5.33,1,21
629E9060,Reset Interim Crossover Closure,Ft,224,1108.8,4.95,5.06,1,21
630E0010,Straight Class A Thrie Beam Guardrail with Wood Posts,Ft,325,33075,101.77,94.8,3,21
630E0110,Straight Double Class A Thrie Beam Guardrail with Wood Posts,Ft,456.5,67320.72,147.47,142.19,4,21
630E0500,Type 1 MGS,Ft,27244.7,1464435.16,53.75,51.3,26,21
630E1010,Straight Class A W Beam Guardrail with Wood Posts,Ft,900,38000,42.22,45.73,6,21
630E1020,Curved Class A W Beam Guardrail with Wood Posts,Ft,62.5,6250,100,112.33,1,21
630E1025,Curved Class A W Beam Guardrail with CRT Posts,Ft,25,1000,40,46,1,21
630E1050,Straight Class B W Beam Guardrail with Wood Posts,Ft,600,37300,62.17,65.96,3,21
630E1140,Straight Double Class A W Beam Guardrail with Wood Posts,Ft,43.8,6570,150,130.4,1,21
630E1150,Straight Double Class B W Beam Guardrail with Wood Posts,Ft,600,54250,90.42,94.52,3,21
630E1210,Straight Class B W Beam Rail,Ft,250,10000,40,42.15,1,21
630E1505,Type 2A Guardrail Transition,Each,16,72387.88,4524.24,3977.09,3,21
630E2000,W Beam to Thrie Beam Guardrail Transition,Each,5,1920,384,405.6,2,21
630E2005,W Beam Guardrail to MGS Transition,Each,18,49100,2727.78,2755.56,2,21
630E2015,W Beam Guardrail Flared End Terminal,Each,34,116700,3432.35,3573.54,3,21
630E2019,MGS Tangent End Terminal,Each,5,20000,4000,4166.67,1,21
630E2020,W Beam Guardrail Tangent End Terminal,Each,4,20000,5000,5750,1,21
630E2035,W Beam Guardrail Special Anchor Assembly,Each,1,2400,2400,2826.67,1,21
630E2100,Beam Guardrail Post,Each,276,13800,50,47.81,1,21
630E2110,Beam Guardrail Post and Block,Each,494,50303,101.83,121.25,7,21
630E2300,Rubrail,Ft,305.6,25104,82.15,89.67,2,21
630E5000,Install State Furnished Guardrail with Wood Posts,Ft,425,17119,40.28,39.48,1,21
630E5130,Reset Double Thrie Beam Rail,Ft,75,5212.5,69.5,67.25,1,21
630E5160,Reset W Beam Rail,Ft,720,27000,37.5,36.25,1,21
630E5170,Reset Double W Beam Rail,Ft,150,5100,34,28,2,22
630E5180,Reset W Beam Guardrail Breakaway Cable Terminal,Each,6,4800,800,775,1,22
630E5190,Reset W Beam to Thrie Beam Guardrail Transition,Each,6,1608,268,259,1,22
630E5208,Reset W Beam Guardrail Tangent End Terminal,Each,2,5350.5,2675.25,2587.62,1,22
630E5209,Reset W Beam Guardrail End Terminal,Each,2,4250,2125,2062.5,1,22
630E5210,Reset Beam Guardrail Trailing End Terminal,Each,2,1100,550,562.57,1,22
630E5220,Reset Rubrail,Ft,318.7,10281,32.26,31.07,2,22
632E0012,1.5' Diameter Breakaway Support Concrete Footing,Ft,200,82248,411.24,377.3,3,22
632E0014,1.75' Diameter Breakaway Support Concrete Footing,Ft,330,94059,285.03,251.7,5,22
632E0016,2' Diameter Breakaway Support Concrete Footing,Ft,54,31212,578,527.67,1,22
632E0056,2' Diameter Fixed Support Concrete Footing,Ft,80,57760,722,648,1,22
632E0058,2.25' Diameter Fixed Support Concrete Footing,Ft,12,6996,583,401.5,1,22
632E0060,2.5' Diameter Fixed Support Concrete Footing,Ft,208,69877.8,335.95,292.65,2,22
632E0072,4' Diameter Fixed Support Concrete Footing,Ft,74,33729.2,455.8,486.77,1,22
632E1100,1.12 Lb/Ft Flanged Channel Post,Ft,39,273,7,7,1,22
632E1210,S3x5.7 Steel Post,Ft,55,3639.9,66.18,59.64,2,22
632E1215,S4x7.7 Steel Post,Ft,46,6330,137.61,141.41,2,22
632E1220,S5x10 Steel Post,Ft,661.5,96742.8,146.25,135.43,2,22
632E1225,W6x12 Steel Post,Ft,87.8,19587,223.09,241.39,2,22
632E1230,W6x15 Steel Post,Ft,173.8,35455.2,204,185.67,1,22
632E1235,W6x20 Steel Post,Ft,151.9,31412.92,206.8,196.2,2,22
632E1240,W8x18 Steel Post,Ft,469.6,81983.74,174.58,180.93,2,22
632E1260,W8x31 Steel Post,Ft,337.1,82000.6,243.25,251.41,2,22
632E1265,W10x33 Steel Post,Ft,147.4,32811.24,222.6,211.52,1,22
632E1270,W10x39 Steel Post,Ft,295.9,68376.57,231.08,218.84,1,22
632E1320,"2.0""x2.0"" Perforated Tube Post",Ft,6421.9,146207.01,22.77,22.07,21,22
632E1321,"2.0""x2.0"" Perforated Tube Post",Each,5339,815980,152.83,175.18,2,22
632E1340,"2.5""x2.5"" Perforated Tube Post",Ft,1551.2,113178.38,72.96,82.59,18,22
632E2000,"4""x4"" Amber Delineator with 1.12 Lb/Ft Post",Each,83,3217.3,38.76,38.39,2,22
632E2002,"4""x4"" Amber Delineator Back to Back with 1.12 Lb/Ft Post",Each,7,469,67,66,1,22
632E2004,"4""x8"" Amber Delineator with 1.12 Lb/Ft Post",Each,9,395.9,43.99,45.77,2,22
632E2008,"4"" Tubular Amber Delineator with 1.12 Lb/Ft Post",Each,2,74.2,37.1,53.37,1,22
632E2020,"4""x4"" White Delineator with 1.12 Lb/Ft Post",Each,164,8760,53.41,51.1,4,22
632E2022,"4""x4"" White Delineator Back to Back with 1.12 Lb/Ft Post",Each,3035,93058.5,30.66,37.6,10,22
632E2024,"4""x8"" White Delineator with 1.12 Lb/Ft Post",Each,273,15892.8,58.22,56.25,4,22
632E2028,"4"" Tubular White Delineator with 1.12 Lb/Ft Post",Each,133,6547.5,49.23,49.83,3,22
632E2100,Reset Delineator,Each,753,14285.54,18.97,18.54,4,22
632E2207,"4"" Tubular White Delineator Reflector",Each,1046,30755,29.4,29.84,3,22
632E2220,Guardrail Delineator,Each,1351,47346.32,35.05,33.26,25,22
632E2510,Type 2 Object Marker Back to Back,Each,3973,153842.62,38.72,40.78,31,22
632E2520,Type 2 Object Marker,Each,101,6630.1,65.64,66.02,12,22
632E2530,Type 3 Object Marker,Each,10,594.2,59.42,67.39,2,22
632E2533,Type 3 Flexible Object Marker,Each,68,18200,267.65,280.36,2,22
632E2535,Type 4 Object Marker,Each,22,3550,161.36,267.3,3,22
632E3003,"Aluminum Overlay Sign, Nonremovable Copy High Intensity",SqFt,9603.9,211285.8,22,28.5,1,22
632E3005,"Aluminum Overlay Sign, Nonremovable Copy Super/Very High Intensity",SqFt,22042.6,529022.4,24,30.5,1,22
632E3105,"Extruded Aluminum Sign, Removable Copy Super/Very High Intensity",SqFt,229.5,9914.4,43.2,44.1,1,22
632E3113,"Extruded Aluminum Sign, Nonremovable Copy High Intensity",SqFt,3066.6,87915.64,28.67,32.47,2,23
632E3115,"Extruded Aluminum Sign, Nonremovable Copy Super/Very High Intensity",SqFt,2724,87069.23,31.96,34.96,4,23
632E3203,"Flat Aluminum Sign, Nonremovable Copy High Intensity",SqFt,14730.1,210472.66,14.29,16.14,21,23
632E3205,"Flat Aluminum Sign, Nonremovable Copy Super/Very High Intensity",SqFt,31155.7,448716.75,14.4,15.94,25,23
632E3500,Reset Sign,Each,485,63375.8,130.67,131.67,35,23
632E3700,Radar Speed Sign,Each,2,14342,7171,7550.33,1,23
632E3710,"Radar Speed Sign, Solar Powered",Each,5,75689.23,15137.85,16239.27,2,23
632E4005,Type 3 Single Sided Barricade,Ft,36,3600,100,300,1,23
632E5010,Double Beam Sign Bridge,Each,2,256732,128366,123789.57,1,23
633E0010,"Cold Applied Plastic Pavement Marking, 4""",Ft,284534,1380010.91,4.85,4.92,14,23
633E0015,"Cold Applied Plastic Pavement Marking, 6""",Ft,670,5916.1,8.83,10.42,1,23
633E0020,"Cold Applied Plastic Pavement Marking, 8""",Ft,5750,51733.64,9,8.68,5,23
633E0025,"Cold Applied Plastic Pavement Marking, 12""",Ft,2708,33688.8,12.44,10.65,3,23
633E0030,"Cold Applied Plastic Pavement Marking, 24""",Ft,8697,247643.05,28.47,28.23,23,23
633E0035,"Cold Applied Plastic Pavement Marking, Area",SqFt,302,5066,16.77,16.18,4,23
633E0040,"Cold Applied Plastic Pavement Marking, Arrow",Each,607,269481.48,443.96,462.4,22,23
633E0045,"Cold Applied Plastic Pavement Marking, Combination Arrow",Each,6,4200,700,751,2,23
633E0046,"Cold Applied Plastic Pavement Marking, Lane Reduction Arrow",Each,2,2000,1000,1000,1,23
633E0050,"Cold Applied Plastic Pavement Marking, Message",Word,4,2552,638,555.2,2,23
633E0055,"Cold Applied Plastic Pavement Marking, Railroad Crossing",Each,35,56275,1607.86,1526.68,9,23
633E0062,"Cold Applied Plastic Pavement Marking, Symbol",Each,7,3206,458,432.42,2,23
633E0210,"Preformed Thermoplastic Pavement Marking, 4""",Ft,17874,46783.2,2.62,2.85,4,23
633E0220,"Preformed Thermoplastic Pavement Marking, 12""",Ft,164,3130.76,19.09,16.54,1,23
633E0225,"Preformed Thermoplastic Pavement Marking, 24""",Ft,8274,209573.84,25.33,23.69,9,23
633E0230,"Preformed Thermoplastic Pavement Marking, Area",SqFt,180,1881,10.45,10.98,1,23
633E0235,"Preformed Thermoplastic Pavement Marking, Arrow",Each,243,64146.57,263.98,268.43,5,23
633E0240,"Preformed Thermoplastic Pavement Marking, Combination Arrow",Each,3,2250,750,750,1,23
633E0245,"Preformed Thermoplastic Pavement Marking, Message",Word,13,8238,633.69,703.92,2,23
633E0255,"Preformed Thermoplastic Pavement Marking, Symbol",Each,35,9426,269.31,218.97,3,23
633E1130,"Epoxy Pavement Marking Paint, 24"" White",Ft,88,1782,20.25,19.48,1,23
633E1200,"High Build Waterborne Pavement Marking Paint, White",Gal,80657,2418740.72,29.99,29.82,50,23
633E1205,"High Build Waterborne Pavement Marking Paint, Yellow",Gal,32128,987916.33,30.75,30.59,46,23
633E3000,"Durable Pavement Marking, 4"" White",Ft,2152929,1824062.88,0.85,0.81,16,23
633E3005,"Durable Pavement Marking, 4"" Yellow",Ft,917800,805492.22,0.88,0.91,14,23
633E3020,"Durable Pavement Marking, 12"" White",Ft,4541,19440.2,4.28,3.92,4,23
633E3030,"Durable Pavement Marking, 24"" White",Ft,1262,14196,11.25,11.49,4,23
633E3035,"Durable Pavement Marking, 24"" Yellow",Ft,439,4188,9.54,7.52,2,23
633E3045,"Durable Pavement Marking, Arrow",Each,30,9600,320,323.33,1,23
633E5000,"Grooving for Cold Applied Plastic Pavement Marking, 4""",Ft,255483,237034.87,0.93,0.87,16,23
633E5002,"Grooving for Cold Applied Plastic Pavement Marking, 6""",Ft,670,2539.3,3.79,2.01,1,23
633E5005,"Grooving for Cold Applied Plastic Pavement Marking, 8""",Ft,1516,3490.1,2.3,2.36,4,24
633E5010,"Grooving for Cold Applied Plastic Pavement Marking, 12""",Ft,1252,4161.84,3.32,6.92,3,24
633E5015,"Grooving for Cold Applied Plastic Pavement Marking, 24""",Ft,14636,83367.3,5.7,5.59,27,24
633E5020,"Grooving for Cold Applied Plastic Pavement Marking, Area",SqFt,245,690,2.82,3.05,3,24
633E5025,"Grooving for Cold Applied Plastic Pavement Marking, Arrow",Each,432,80319.58,185.92,177.66,19,24
633E5030,"Grooving for Cold Applied Plastic Pavement Marking, Combination Arrow",Each,4,3000,750,750,1,24
633E5031,"Grooving for Cold Applied Plastic Pavement Marking, Lane Reduction Arrow",Each,2,1500,750,750,1,24
633E5035,"Grooving for Cold Applied Plastic Pavement Marking, Message",Word,15,4630,308.67,340.56,3,24
633E5037,"Grooving for Cold Applied Plastic Pavement Marking, Symbol",Each,44,6106,138.77,98.66,6,24
633E5040,"Grooving for Cold Applied Plastic Pavement Marking, Railroad Crossing",Each,19,7380,388.42,371.33,7,24
633E5050,Surface Preparation for Pavement Marking,Ft,2249163,883017.67,0.39,0.46,9,24
633E5051,Surface Preparation for Pavement Marking,SqFt,29,232,8,9,1,24
633E5052,Surface Preparation for Pavement Marking,Each,419,60460,144.3,162.57,5,24
633E5100,"Grooving for Durable Pavement Marking, 4""",Ft,2708239,1050628.49,0.39,0.39,20,24
633E5102,"Grooving for Durable Pavement Marking, 6""",Ft,5420,3414.6,0.63,0.96,1,24
633E5105,"Grooving for Durable Pavement Marking, 8""",Ft,1630,1222.5,0.75,0.82,1,24
633E5110,"Grooving for Durable Pavement Marking, 12""",Ft,6035,11004.25,1.82,2.28,4,24
633E5115,"Grooving for Durable Pavement Marking, 24""",Ft,1671,4955.25,2.97,3.25,4,24
633E5120,"Grooving for Durable Pavement Marking, Area",SqFt,1150,3037.5,2.64,2.65,2,24
633E5125,"Grooving for Durable Pavement Marking, Arrow",Each,48,10554,219.88,225.79,3,24
633E5135,"Grooving for Durable Pavement Marking, Message",Word,3,2865,955,950,1,24
633E5140,"Grooving for Durable Pavement Marking, Railroad Crossing",Each,10,3800,380,380,2,24
633E6005,"Pavement Marking Masking, 5""",Ft,146880,62550.62,0.43,1.7,9,24
633E6010,"Pavement Marking Masking, 9""",Ft,1278,1105.38,0.86,2.81,2,24
633E6015,"Pavement Marking Masking, 13""",Ft,4150,15354.45,3.7,3.3,4,24
633E6020,"Pavement Marking Masking, 25""",Ft,9828,23277.24,2.37,2.15,10,24
633E6025,"Pavement Marking Masking, Area",SqFt,735,2753.5,3.75,3.91,3,24
633E6030,"Pavement Marking Masking, Arrow",Each,273,13150.52,48.17,48.81,10,24
633E6035,"Pavement Marking Masking, Combination Arrow",Each,8,1620,202.5,153.83,2,24
633E6045,"Pavement Marking Masking, Railroad Crossing",Each,24,2540,105.83,126.99,5,24
633E8000,Curb Painting,Ft,1682,3364,2,2.33,1,24
633E9200,Mobile Retroreflectometer Measurements,Mile,237.68,35651.55,150,150,1,24
634E0110,Traffic Control Signs,SqFt,164653.5,581066.21,3.53,3.42,155,24
634E0120,"Traffic Control, Miscellaneous",LS,158,12780720.43,80890.64,81935.16,158,24
634E0135,Traffic Control Supervisor,LS,5,232426.18,46485.24,44886.01,5,24
634E0310,Temporary Flexible Vertical Markers (Tabs),Ft,70064,40777.15,0.58,0.6,11,24
634E0320,Temporary Flexible Vertical Markers (Tabs),Mile,751,292543.75,389.54,375.04,4,24
634E0330,Temporary Raised Pavement Markers,Ft,221960,135882.56,0.61,0.51,14,24
634E0340,Temporary Raised Pavement Markers,Mile,82.2,167853.84,2042.02,2790.53,5,24
634E0380,Tubular Marker,Each,6072,450725.81,74.23,73.29,13,24
634E0390,Replace Tubular Marker,Each,377,29305,77.73,69.89,8,24
634E0420,Type C Advance Warning Arrow Board,Each,185,231520.58,1251.46,1270.28,60,24
634E0525,"Linear Delineation System Panel, Barrier Mounted",Each,2421,62881.53,25.97,24.46,14,24
634E0560,"Remove Pavement Marking, 4"" or Equivalent",Ft,51932,88669.45,1.71,1.67,16,24
634E0565,"Remove Pavement Marking, Arrow",Each,37,3879.58,104.85,109.13,5,24
634E0575,"Remove Pavement Marking, Area",SqFt,269,1093,4.06,4.54,3,25
634E0600,"4"" Temporary Pavement Marking Tape Type I",Ft,157100,116636,0.74,0.64,27,25
634E0630,Temporary Pavement Marking,Mile,3144,1520558.53,483.64,476.78,38,25
634E0640,Temporary Pavement Marking,Ft,299802,330705.54,1.1,1.06,17,25
634E0700,Traffic Control Movable Concrete Barrier,Each,1668,558625.6,334.91,403.6,14,25
634E0702,Contractor Supplied Traffic Control Movable Concrete Barrier,Each,670,143729,214.52,658.97,3,25
634E0705,Remove and Reset Traffic Control Movable Concrete Barrier,Each,2231,347946.4,155.96,196.69,11,25
634E0750,Temporary Concrete Barrier End Protection,Each,67,531670.4,7935.38,7598.31,15,25
634E0755,Remove and Reset Temporary Concrete Barrier End Protection,Each,69,147176.28,2132.99,2028.89,13,25
634E0760,Temporary Concrete Barrier End Protection Module Set or Repair Kit,Each,18,92525.7,5140.32,5106.96,11,25
634E0900,Portable Temporary Traffic Control Signal,Unit,28,391560,13984.29,11684.92,9,25
634E1002,Detour and Restriction Signing,SqFt,31105.2,909782.16,29.25,29.15,33,25
634E1020,Temporary Business Signing,SqFt,781.9,15291.8,19.56,17.76,5,25
634E1215,Contractor Furnished Portable Changeable Message Sign,Each,124,698841.56,5635.82,5532.95,33,25
634E1235,Queue Detection System,Mth,35,349715,9991.86,11300.16,3,25
634E1245,Maintenance of Queue Detection System,Hour,344,19960.8,58.03,54.33,4,25
634E1255,Contractor Furnished Speed Monitoring Radar Trailer,Each,4,12250,3062.5,3037.5,2,25
634E2000,Longitudinal Pedestrian Barricade,Ft,13687,171862,12.56,9.22,7,25
634E2020,Temporary Curb Ramp,Each,45,27724.46,616.1,423.16,6,25
634E2025,Longitudinal Pedestrian Barrier,Ft,5056,85592.9,16.93,12.86,8,25
634E2050,Temporary Sidewalk,SqFt,5150,84717.5,16.45,16.64,1,25
635E0040,"Breakaway Base Luminaire Pole with Arm, 40' Mounting Height",Each,68,416498.8,6124.98,6230.94,2,25
635E0045,"Breakaway Base Luminaire Pole with Arm, 45' Mounting Height",Each,8,38000,4750,4850,1,25
635E0050,"Breakaway Base Luminaire Pole with Arm, 50' Mounting Height",Each,131,633959.8,4839.39,5063.23,8,25
635E0140,"Breakaway Base Luminaire Pole with Twin Arms, 40' Mounting Height",Each,2,28750,14375,14375,1,25
635E0150,"Breakaway Base Luminaire Pole with Twin Arms, 50' Mounting Height",Each,24,129998.4,5416.6,5317.81,1,25
635E0902,Decorative Luminaire Pole with Twin Arms,Each,24,484800,20200,19103.75,1,25
635E2000,Pedestal Signal Pole,Each,17,33469.58,1968.8,1925.22,4,25
635E2020,Signal Pole with 20' Mast Arm,Each,2,65000,32500,30752.25,1,25
635E2025,Signal Pole with 25' Mast Arm,Each,3,83407.72,27802.57,28127.83,3,25
