contract_id,category,details
sd_sddot_20201104_item_005,project_pcn_cardinality,"Project No. values 'NH 0083(75)39, NH 0018(183)247, P 0044(181)257, P 0049(04)35, P 0183(22)2' do not align with PCN values '03UE, 03UF, 03UH,'."
sd_sddot_20201202_item_001,abstract_parse,page 7 line 127: malformed quantity ''
sd_sddot_20201202_item_001,abstract_parse,page 17 line 127: malformed quantity ''
sd_sddot_20201202_item_001,abstract_parse,page 27 line 127: malformed quantity ''
sd_sddot_20201202_item_001,bid_total_difference,sd_sddot_20201202_item_001_bid_001 preserves printed item total 11096476.42 and reported bid total 11099144.85; difference=-2668.43.
sd_sddot_20201202_item_001,bid_total_difference,sd_sddot_20201202_item_001_bid_002 preserves printed item total 11654548.7 and reported bid total 11661300.19; difference=-6751.49.
sd_sddot_20201202_item_001,bid_total_difference,sd_sddot_20201202_item_001_bid_003 preserves printed item total 11932215.18 and reported bid total 11939448.93; difference=-7233.75.
sd_sddot_20201202_item_001,bid_total_difference,sd_sddot_20201202_item_001_bid_004 preserves printed item total 12226560.73 and reported bid total 12229454.23; difference=-2893.5.
sd_sddot_20201202_item_001,bid_total_difference,sd_sddot_20201202_item_001_bid_005 preserves printed item total 13767866.82 and reported bid total 13770278.06; difference=-2411.24.
sd_sddot_20201202_item_005,line_extension_difference,"sd_sddot_20201202_item_005_line_0009_001 preserves printed quantity 682.5, unit price 18, and extension 30285; difference=-18000."
sd_sddot_20201202_item_005,line_extension_difference,"sd_sddot_20201202_item_005_line_0009_002 preserves printed quantity 682.5, unit price 30, and extension 50475; difference=-30000."
sd_sddot_20201209_item_003,abstract_parse,page 42 line 11: inconsistent repeated schedule row
sd_sddot_20201209_item_003,abstract_parse,page 45 line 11: inconsistent repeated schedule row
sd_sddot_20201209_item_003,bid_total_difference,sd_sddot_20201209_item_003_bid_002 preserves printed item total 2876116.25 and reported bid total 2897282.25; difference=-21166.
sd_sddot_20201209_item_003,bid_total_difference,sd_sddot_20201209_item_003_bid_004 preserves printed item total 2972658.96 and reported bid total 2991126.29; difference=-18467.33.
sd_sddot_20201209_item_003,line_extension_difference,"sd_sddot_20201209_item_003_line_0011_002 preserves printed quantity 1058.3, unit price 20, and extension 0; difference=21166."
sd_sddot_20201209_item_003,line_extension_difference,"sd_sddot_20201209_item_003_line_0011_004 preserves printed quantity 1058.3, unit price 17.45, and extension 0; difference=18467.34."
sd_sddot_20210414_item_006,award_amount_difference,"Final award 2966084.03 resolves uniquely by vendor to abstract bid 4418584.03 for CENTRAL SPECIALTIES, INC."
sd_sddot_20210414_item_006,bid_total_difference,sd_sddot_20210414_item_006_bid_001 preserves printed item total 2966084.03 and reported bid total 4418584.03; difference=-1452500.
sd_sddot_20210414_item_006,bid_total_difference,sd_sddot_20210414_item_006_bid_002 preserves printed item total 3138998.75 and reported bid total 4986998.75; difference=-1848000.
sd_sddot_20210421_item_001,line_extension_difference,"sd_sddot_20210421_item_001_line_0096_001 preserves printed quantity 12, unit price 17, and extension 34204; difference=-34000."
