item_code_raw,item_code,official_description,official_unit,is_deleted
110E0500,110E0500,Remove Pipe Culvert,Ft,false
110E0510,110E0510,Remove Pipe End Section,Each,false
110E0520,110E0520,Remove Sewer Pipe,Ft,false
110E0530,110E0530,Remove Storm Sewer Pipe,Ft,false
110E0550,110E0550,Remove Cattle Guard,Each,false
110E0590,110E0590,Remove Cattle Pass,Ft,false
110E0595,110E0595,Remove Cattle Pass End Section,Each,false
110E0600,110E0600,Remove Fence,Ft,false
110E0605,110E0605,Remove Chain Link Fence,Ft,false
110E0645,110E0645,Remove Crash Cushion,Each,false
110E0650,110E0650,Remove Crossover Closure,Ft,false
110E0655,110E0655,Remove Interim Crossover Closure,Ft,false
110E0700,110E0700,Remove 3 Cable Guardrail,Ft,false
110E0705,110E0705,Remove 1 Cable Guardrail,Ft,false
110E0706,110E0706,Remove High Tension 3 Cable Guardrail,Ft,false
110E0707,110E0707,Remove High Tension 4 Cable Guardrail,Ft,false
110E0730,110E0730,Remove Beam Guardrail,Ft,false
110E0740,110E0740,Remove 3 Cable Guardrail Anchor Assembly,Each,false
110E0745,110E0745,Remove 3 Cable Guardrail Slip Base Anchor Assembly,Each,false
110E0748,110E0748,Remove High Tension 3 Cable Guardrail Anchor Assembly,Each,false
110E0749,110E0749,Remove High Tension 4 Cable Guardrail Anchor Assembly,Each,false
110E0750,110E0750,Remove Guardrail Terminal Anchor,Each,false
110E0760,110E0760,Remove Beam Guardrail Trailing End Terminal,Each,false
110E0770,110E0770,Remove W Beam Guardrail Breakaway Cable Terminal,Each,false
110E0780,110E0780,Remove W Beam Guardrail Modified Eccentric Loader Terminal,Each,false
110E0790,110E0790,Remove W Beam Guardrail Deformed End,Each,false
110E0800,110E0800,Remove W Beam Guardrail End Terminal,Each,false
110E0810,110E0810,Remove Rubrail,Ft,false
110E0820,110E0820,Remove Guide Post,Each,false
110E0900,110E0900,Remove Parking Meter Post,Each,false
110E1000,110E1000,Remove Asphalt Concrete Pavement,LS,false
110E1010,110E1010,Remove Asphalt Concrete Pavement,SqYd,false
110E1020,110E1020,Remove Asphalt Concrete Pavement,CuYd,false
110E1030,110E1030,Remove Asphalt Concrete Bridge Deck Overlay,SqYd,false
110E1050,110E1050,Remove Asphalt Concrete Approach Pavement,SqYd,false
110E1100,110E1100,Remove Concrete Pavement,SqYd,false
110E1105,110E1105,Remove Concrete Pavement,CuYd,false
110E1120,110E1120,Remove Concrete Median Pavement,SqYd,false
110E1130,110E1130,Remove Concrete Driveway Pavement,SqYd,false
110E1140,110E1140,Remove Concrete Sidewalk,SqYd,false
110E1150,110E1150,Remove Concrete Median Barrier,Ft,false
110E1160,110E1160,Remove Concrete Barrier,Ft,false
110E1180,110E1180,Remove Spalled Concrete,SqFt,false
110E1185,110E1185,Remove Tie Bar,Each,false
110E1200,110E1200,Remove Paving Brick,SqYd,false
110E1300,110E1300,Remove Concrete Retaining Wall,Ft,false
110E1305,110E1305,Remove Timber Retaining Wall,Ft,false
110E1310,110E1310,Remove Metal Bin Retaining Wall,LS,false
110E1510,110E1510,Remove Luminaire Pole,Each,false
110E1515,110E1515,Remove Luminaire Arm,Each,false
110E1520,110E1520,Remove Signal Equipment,LS,false
110E1530,110E1530,Remove Signal Pole Footing,Each,false
110E1540,110E1540,Remove Luminaire Pole Footing,Each,false
110E1550,110E1550,Remove Light Tower,Each,false
110E1570,110E1570,Remove Pedestrian Push Button Pole,Each,false
110E1595,110E1595,Remove Articulated Concrete Mattress,SqYd,false
110E1600,110E1600,Remove Riprap,SqYd,false
110E1610,110E1610,Remove Riprap,CuYd,false
110E1640,110E1640,Remove Granular Material,CuYd,false
110E1650,110E1650,Remove Bank and Channel Protection Gabion,Each,false
110E1690,110E1690,Remove Sediment,CuYd,false
110E1693,110E1693,Remove Erosion Control Wattle,Ft,false
110E1695,110E1695,Remove Sediment Filter Bag,Ft,false
110E1697,110E1697,Remove Triangular Silt Barrier,Ft,false
110E1700,110E1700,Remove Silt Fence,Ft,false
110E1703,110E1703,Remove Interceptor Ditch,Ft,false
110E1790,110E1790,Remove Concrete Vault Lid,SqFt,false
110E1800,110E1800,Remove Railroad Track,Ft,false
110E1895,110E1895,Remove Brick,Each,false
110E1900,110E1900,Remove Yard Hydrant,Each,false
110E1910,110E1910,Remove Fire Hydrant,Each,false
110E1920,110E1920,Remove Tree Grate,Each,false
110E1930,110E1930,Remove Tree Planter,Each,false
