contract_project_id,contract_id,project_number,project_name,work_type,county_region,route,location,project_award_amount
cdot_2025q4_2670252_499_project_1,cdot_2025q4_2670252_499,2670252-499,I-25:MOBILITY HUB (LONE TREE),Roadway,Colorado / CDOT District 1,,2670252-499 I-25:MOBILITY HUB (LONE TREE),16509889.28
cdot_2025q4_br0402_109_project_1,cdot_2025q4_br0402_109,BR0402-109,US40 MP 108.4 OVER SHELTON DIT,Roadway,Colorado / CDOT District 3,,BR0402-109 US40 MP 108.4 OVER SHELTON DIT,2440781.14
cdot_2025q4_br0704_265_project_1,cdot_2025q4_br0704_265,BR0704-265,I-70 EAST,Roadway,Colorado / CDOT District 1,,BR0704-265 I-70 EAST,7235022.57
cdot_2025q4_br0761_249_project_1,cdot_2025q4_br0761_249,BR0761-249,I-76,Roadway,Colorado / CDOT District 4,,BR0761-249 I-76,3259684.20
cdot_2025q4_brr100_400_project_1,cdot_2025q4_brr100_400,BRR100-400,"VAR LOCATIONS R1 I25, I225 & I",Roadway,Colorado / CDOT District 1,,"BRR100-400 VAR LOCATIONS R1 I25, I225 & I",2684443.68
cdot_2025q4_c0063_067_project_1,cdot_2025q4_c0063_067,C0063-067,US 6 PALISADE IMPROVEMENTS MP,Roadway,Colorado / CDOT District 3,,C0063-067 US 6 PALISADE IMPROVEMENTS MP,7160000.00
cdot_2025q4_c0142_070_project_1,cdot_2025q4_c0142_070,C0142-070,SH 14 MP 75.5-85,Roadway,Colorado / CDOT District 4,,C0142-070 SH 14 MP 75.5-85,196525.00
cdot_2025q4_c0405_042_project_1,cdot_2025q4_c0405_042,C0405-042,"US 40 IN DEER TRAIL, PINE ST T",Roadway,Colorado / CDOT District 1,,"C0405-042 US 40 IN DEER TRAIL, PINE ST T",672753.24
cdot_2025q4_c0821_113_project_1,cdot_2025q4_c0821_113,C0821-113,CO-82 & Catherine Store Signal,Roadway,Colorado / CDOT District 3,,C0821-113 CO-82 & Catherine Store Signal,635240.00
cdot_2025q4_c1601_088_project_1,cdot_2025q4_c1601_088,C1601-088,US 160 SIGNALS MILDRED & HARRI,Roadway,Colorado / CDOT District 5,,C1601-088 US 160 SIGNALS MILDRED & HARRI,1379406.89
cdot_2025q4_cr400_400_project_1,cdot_2025q4_cr400_400,CR400-400,VARIOUS LOCATIONS THROUGHOUT R,Roadway,Colorado / CDOT District 4,,CR400-400 VARIOUS LOCATIONS THROUGHOUT R,2394994.00
cdot_2025q4_cr400_406_project_1,cdot_2025q4_cr400_406,CR400-406,REGION-WIDE,Roadway,Colorado / CDOT District 4,,CR400-406 REGION-WIDE,1864082.67
cdot_2025q4_er060a_028_project_1,cdot_2025q4_er060a_028,ER060A-028,CO 60 (MP 9-10),Roadway,Colorado / CDOT District 4,,ER060A-028 CO 60 (MP 9-10),488198.00
cdot_2025q4_fbr0063_066_project_1,cdot_2025q4_fbr0063_066,FBR0063-066,US 6D IN GARFIELD COUNTY,Roadway,Colorado / CDOT District 3,,FBR0063-066 US 6D IN GARFIELD COUNTY,10092629.21
cdot_2025q4_fbr0703_534_project_1,cdot_2025q4_fbr0703_534,FBR0703-534,I-70,Roadway,Colorado / CDOT District 1,,FBR0703-534 I-70,434861012.42
cdot_2025q4_fbr0704_269_project_1,cdot_2025q4_fbr0704_269,FBR0704-269,I-70 EAST,Roadway,Colorado / CDOT District 1,,FBR0704-269 I-70 EAST,7235022.57
cdot_2025q4_fbr086a_061_project_1,cdot_2025q4_fbr086a_061,FBR086A-061,CO 86 (MP 22.75-22.89),Roadway,Colorado / CDOT District 4,,FBR086A-061 CO 86 (MP 22.75-22.89),5097021.85
cdot_2025q4_fbr2851_014_project_1,cdot_2025q4_fbr2851_014,FBR2851-014,US 50 CONEJOS RIVER BRIDGE STR,Roadway,Colorado / CDOT District 5,,FBR2851-014 US 50 CONEJOS RIVER BRIDGE STR,2866394.00
cdot_2025q4_fsa052a_053_project_1,cdot_2025q4_fsa052a_053,FSA052A-053,SH 52 AND WCR 41 SIGNALIZATION,Roadway,Colorado / CDOT District 4,,FSA052A-053 SH 52 AND WCR 41 SIGNALIZATION,597027.50
cdot_2025q4_itssw03_250_project_1,cdot_2025q4_itssw03_250,ITSSW03-250,FRONT RANGE,Roadway,Colorado / CDOT District 0,,ITSSW03-250 FRONT RANGE,5379255.25
cdot_2025q4_itssw03_417_project_1,cdot_2025q4_itssw03_417,ITSSW03-417,STATEWIDE,Roadway,Colorado / CDOT District 0,,ITSSW03-417 STATEWIDE,5688636.50
cdot_2025q4_mtce0361_135_project_1,cdot_2025q4_mtce0361_135,MTCE0361-135,US-36B FROM MP 0.00-33.76 IN B,Roadway,Colorado / CDOT District 4,,MTCE0361-135 US-36B FROM MP 0.00-33.76 IN B,928777.95
cdot_2025q4_mtce0402_112_project_1,cdot_2025q4_mtce0402_112,MTCE0402-112,REGION 3 STENCIL PROJECT ON HI,Roadway,Colorado / CDOT District 3,,MTCE0402-112 REGION 3 STENCIL PROJECT ON HI,448562.85
cdot_2025q4_mtce0702_434_project_1,cdot_2025q4_mtce0702_434,MTCE0702-434,"I-70 MP 130 TO 168, REGION 3",Roadway,Colorado / CDOT District 3,,"MTCE0702-434 I-70 MP 130 TO 168, REGION 3",656656.00
cdot_2025q4_mtce0703_541_project_1,cdot_2025q4_mtce0703_541,MTCE0703-541,I-70 EISENHOWER-JOHNSON MEMORI,Roadway,Colorado / CDOT District 1,,MTCE0703-541 I-70 EISENHOWER-JOHNSON MEMORI,2769129.65
cdot_2025q4_mtcer100_428_project_1,cdot_2025q4_mtcer100_428,MTCER100-428,"I-25 (DENVER TO MONUMENT), I-7",Roadway,Colorado / CDOT District 1,,"MTCER100-428 I-25 (DENVER TO MONUMENT), I-7",195959.50
