contract_id,letting_id,source_id,state,agency_id,official_contract_id,call_order,letting_status,awarded_vendor,awarded_amount,primary_county,route,work_type,contract_period,dbe_goal,bid_count,location,district,terrain,award_index
cdot_2026q1_star100_429,co_cdot_cost_data_book_2026_q1_20260129,cdot_cost_data_book_2026_q1,CO,co_cdot,STAR100-429,,AWARDED,"CHATO'S CONCRETE, LLC",1576338.00,Colorado / CDOT District 1,,Roadway,,,4,STAR100-429 Various locations on SH83 betw,1,U,91.90
cdot_2026q1_stm006a_076,co_cdot_cost_data_book_2026_q1_20260115,cdot_cost_data_book_2026_q1,CO,co_cdot,STM006A-076,,AWARDED,Harper Brothers Construction LLC,20722238.45,Colorado / CDOT District 4,,Roadway,,,4,STM006A-076 ATWOOD TO STERLING (MP 398.2-4,4,P,100.90
cdot_2026q1_stm086a_059,co_cdot_cost_data_book_2026_q1_20260305,cdot_cost_data_book_2026_q1,CO,co_cdot,STM086A-059,,AWARDED,"BRANNAN SAND AND GRAVEL, LLC",1427814.20,Colorado / CDOT District 4,,Roadway,,,4,STM086A-059 CO86 (MM 15.3-16.3),4,P,102.29
cdot_2026q1_str0241_069,co_cdot_cost_data_book_2026_q1_20260305,cdot_cost_data_book_2026_q1,CO,co_cdot,STR0241-069,,AWARDED,"OLDCASTLE SW GROUP, INC.",12299613.85,Colorado / CDOT District 3,,Roadway,,,1,STR0241-069 SH 24 MP 166 TO 174,3,M,102.28
cdot_2026q1_str1151_043,co_cdot_cost_data_book_2026_q1_20260205,cdot_cost_data_book_2026_q1,CO,co_cdot,STR1151-043,,AWARDED,"ACME CONCRETE PAVING, INC.",3683609.28,Colorado / CDOT District 2,,Roadway,,,4,STR1151-043 SH 115A from M.P 14.0-18.0 thr,2,R,97.06
cdot_2026q1_strr200_289,co_cdot_cost_data_book_2026_q1_20260122,cdot_cost_data_book_2026_q1,CO,co_cdot,STRR200-289,,AWARDED,"TLM CONSTRUCTORS, INC.",1084179.78,Colorado / CDOT District 2,,Roadway,,,6,"STRR200-289 CO 10A, US 50B, CO 69A, CO 165",2,R,57.06
cdot_2026q1_tap0703_530,co_cdot_cost_data_book_2026_q1_20260319,cdot_cost_data_book_2026_q1,CO,co_cdot,TAP0703-530,,AWARDED,RDZ Build,2437169.75,Colorado / CDOT District 1,,Roadway,,,3,TAP0703-530 HOGBACK TRAILS ADJACENT TO I-7,1,M,143.36
cdot_2025q4_2670171_111,co_cdot_cost_data_book_2025_q4_20251204,cdot_cost_data_book_2025_q4,CO,co_cdot,2670171-111,,AWARDED,"OLDCASTLE SW GROUP, INC.",9174121.50,Colorado / CDOT District 5,,Roadway,,,1,2670171-111 SH 17 FROM APPROXIMATE MP 2.4,5,R,105.58
cdot_2025q4_2670252_499,co_cdot_cost_data_book_2025_q4_20250116,cdot_cost_data_book_2025_q4,CO,co_cdot,2670252-499,,AWARDED,"STRUCTURES, INC.",16509889.28,Colorado / CDOT District 1,,Roadway,,,6,2670252-499 I-25:MOBILITY HUB (LONE TREE),1,R,142.33
cdot_2025q4_br0402_109,co_cdot_cost_data_book_2025_q4_20251218,cdot_cost_data_book_2025_q4,CO,co_cdot,BR0402-109,,AWARDED,"OLDCASTLE SW GROUP, INC.",2440781.14,Colorado / CDOT District 3,,Roadway,,,5,BR0402-109 US40 MP 108.4 OVER SHELTON DIT,3,M,152.07
