agency_item_id,state,agency,item_code,official_description,official_abbreviated_description,official_unit,canonical_item_id
co_cdot_202-00100,CO,CDOT,202-00100,Removal of Dome Channelizing Device,Rem of Dome Chan Device,EACH,
co_cdot_202-00120,CO,CDOT,202-00120,Removal of Concrete Box Culvert,Rem CBC,LF,
co_cdot_202-00127,CO,CDOT,202-00127,Removal of Riprap,Rem of Riprap,CY,
co_cdot_202-00150,CO,CDOT,202-00150,Removal of Wall,Rem Wall,EACH,
co_cdot_202-00155,CO,CDOT,202-00155,Removal of Wall,Rem Wall,LF,
co_cdot_202-00160,CO,CDOT,202-00160,Removal of Wall,Rem Wall,SF,
co_cdot_202-00165,CO,CDOT,202-00165,Removal of Wall,Rem Wall,L S,
co_cdot_202-00170,CO,CDOT,202-00170,Grinding And Texturing Concrete Pavement,Grinding And Texturing Conc Pvmt,SY,
co_cdot_202-00172,CO,CDOT,202-00172,Diamond Grinding Concrete Pavement,Diamond Grinding Concrete Pavement,SY,
co_cdot_202-00175,CO,CDOT,202-00175,Removal of Concrete,Rem Concrete,L S,
co_cdot_202-00190,CO,CDOT,202-00190,Removal of Concrete Median Cover Material,Rem of Conc Median Cover Matl,SY,
co_cdot_202-00195,CO,CDOT,202-00195,Removal of Median Cover,Rem of Median Cover,SY,
co_cdot_202-00200,CO,CDOT,202-00200,Removal of Sidewalk,Rem Sidewalk,SY,
co_cdot_202-00201,CO,CDOT,202-00201,Removal of Curb,Rem Curb,LF,
co_cdot_202-00202,CO,CDOT,202-00202,Removal of Gutter,Rem Gutter,LF,
co_cdot_202-00203,CO,CDOT,202-00203,Removal of Curb and Gutter,Rem Curb and Gutter,LF,
co_cdot_202-00204,CO,CDOT,202-00204,"Removal of Curb, Gutter and Sidewalk","Rem C, G and Sidewalk",LF,
co_cdot_202-00205,CO,CDOT,202-00205,Removal of Wheel Stop,Rem Wheel Stop,EACH,
co_cdot_202-00206,CO,CDOT,202-00206,Removal of Concrete Curb Ramp,Rem Conc Curb Ramp,SY,
co_cdot_202-00207,CO,CDOT,202-00207,Removal of Brick Pavers,Rem of Brick Pavers,SY,
co_cdot_202-00210,CO,CDOT,202-00210,Removal of Concrete Pavement,Rem Conc Pavement,SY,
co_cdot_202-00212,CO,CDOT,202-00212,Removal of Concrete Pavement (Special),Rem Conc Pavement (Spec),SY,
co_cdot_202-00215,CO,CDOT,202-00215,Removal of Concrete Pavement (Planing),Rem Conc Pvmt (Planing),SY,
co_cdot_202-00217,CO,CDOT,202-00217,Remove Concrete Pavement (Planing) (Special),Rem Conc Pvmt (Planing) (Spec),SY,
co_cdot_202-00220,CO,CDOT,202-00220,Removal of Asphalt Mat,Rem Asphalt Mat,SY,roadway_pavement_removal
co_cdot_202-00222,CO,CDOT,202-00222,Removal of Detour Pavement,Removal of Detour Pavement,SY,
co_cdot_202-00226,CO,CDOT,202-00226,Removal of Asphalt Mat (Special),Rem of Asph Mat (Special),SY,
co_cdot_202-00240,CO,CDOT,202-00240,Removal of Asphalt Mat (Planing),Rem Asphalt Mat (Planing),SY,
co_cdot_202-00241,CO,CDOT,202-00241,Removal of Asphalt Mat (Planing)(Special),Rem of Asph Mat (Planing)(Spec),CY,
co_cdot_202-00245,CO,CDOT,202-00245,Removal of Asphalt Mat (Planing),Rem Asphalt Mat (Planing),TON,
co_cdot_202-00246,CO,CDOT,202-00246,Removal of Asphalt Mat (Planing) (Special),Rem Asphalt Mat (Planing)(Special),SY,
co_cdot_202-00247,CO,CDOT,202-00247,Removal of Asphalt Mat (Planing),Rem Asphalt Mat (Planing),L S,
co_cdot_202-00248,CO,CDOT,202-00248,Removal of Rumble Strips,Rem Rumble Strips,LF,
co_cdot_202-00250,CO,CDOT,202-00250,Removal of Pavement Marking,Rem Pavement Marking,SF,
co_cdot_202-00251,CO,CDOT,202-00251,Removal of Pavement Marking (Asphalt Grooving),Rem Pvmt Marking (Asph Grooving),SF,
co_cdot_202-00252,CO,CDOT,202-00252,Removal of Pavement Marking (Concrete Grooving),Rem Pvmt Marking (Conc Grooving),SF,
co_cdot_202-00254,CO,CDOT,202-00254,Removal of Pavement Marking (12 Inch),Rem of Pvmt Mkg (12 In),SF,
co_cdot_202-00256,CO,CDOT,202-00256,Removal of Pavement Marking (15 Inch),Rem of Pvmt Mkg (15 In),SF,
co_cdot_202-00260,CO,CDOT,202-00260,Removal of Pavement Marking (On-Call),Rem of Pvmt Mkg (On-Call),SF,
co_cdot_202-00300,CO,CDOT,202-00300,Removal of Building(s),Rem Bldg(s),L S,
