agency_item_id,state,agency,item_code,official_description,official_abbreviated_description,official_unit,canonical_item_id
co_cdot_409-03010,CO,CDOT,409-03010,Cover Coat Material (Type III),CC Matl (Ty III),TON,
co_cdot_409-03050,CO,CDOT,409-03050,Place Cover Coat Material,Place CC Matl,TON,
co_cdot_409-03060,CO,CDOT,409-03060,Furnish Cover Coat Material,Furn CC Matl,TON,
co_cdot_409-04050,CO,CDOT,409-04050,Cover Coat Material (Special),CC Matl (Spec),SY,
co_cdot_409-04060,CO,CDOT,409-04060,Cover Coat Material (Asphalt) (Special),CC Matl (Asph) (Spec),TON,
co_cdot_409-05000,CO,CDOT,409-05000,Ultrathin Bonded Wearing Course,Ultrath Bond Wearing Course,SY,
co_cdot_409-06000,CO,CDOT,409-06000,Surfacing (macro style),Surfacing (macro style),SY,
co_cdot_409-08000,CO,CDOT,409-08000,Squeegee Seal,Squeegee Seal,SY,
co_cdot_409-09000,CO,CDOT,409-09000,Micro-Surfacing Seal Coat,Micro-Surfacing Seal Coat,TON,
co_cdot_409-09010,CO,CDOT,409-09010,Micro-Surfacing Aggregate,Micro-Surfacing Aggregate,TON,
co_cdot_409-09500,CO,CDOT,409-09500,Slurry Seal Material,Slurry Seal Matl,SY,
co_cdot_410-00000,CO,CDOT,410-00000,Slurry Seal Coat,Slurry Seal Coat,SY,
co_cdot_410-00100,CO,CDOT,410-00100,Slurry Seal Coat (Airport),Slurry Seal Coat (Airport),SY,
co_cdot_411-03100,CO,CDOT,411-03100,Asphalt Cement (Scrap Rubber) (Crack Filler),AC Scrap Rub Crack Filler,TON,
co_cdot_411-03110,CO,CDOT,411-03110,Asphalt Cement (Rubberized) (Crack Filler),AC Rubberized Crack Filler,TON,
co_cdot_411-03200,CO,CDOT,411-03200,Asphalt Cement (Polymer Modified) (Special),Asph Cem (Polymer Mod) (Spec),TON,
co_cdot_411-03342,CO,CDOT,411-03342,Asphalt Cement Performance Grade (PG 64-28),Asph Cem (PG 64-28),TON,
co_cdot_411-03345,CO,CDOT,411-03345,Asphalt Cement Performance Grade (PG 76-28),Asph Cem (PG 76-28),TON,
co_cdot_411-03346,CO,CDOT,411-03346,Asphalt Cement Performance Grade (PG 76-34),Asph Cem (PG 76-34),TON,
co_cdot_411-03352,CO,CDOT,411-03352,Asphalt Cement Performance Grade (PG 58-28),Asph Cem (PG 58-28),TON,
co_cdot_411-03354,CO,CDOT,411-03354,Asphalt Cement Performance Grade (PG 64-22),Asph Cem (PG 64-22),TON,
co_cdot_411-03355,CO,CDOT,411-03355,Asphalt Cement Performance Grade (PG 58-34),Asph Cem (PG 58-34),TON,
co_cdot_411-10010,CO,CDOT,411-10010,Emulsified Asphalt (CQS-1HP) (Fog) (Airport),Emul Asph (CQS-1HP) (Fog) (Airport),GAL,
co_cdot_411-10200,CO,CDOT,411-10200,Emulsified Asphalt (CRS-1),Emul Asph (CRS-1),GAL,
co_cdot_411-10216,CO,CDOT,411-10216,Emulsified Asphalt (CRS-2P),Emul Asph (CRS-2P),GAL,
co_cdot_411-10217,CO,CDOT,411-10217,Emulsified Asphalt (CRS-2P),Emulsified Asphalt (CRS-2P),TON,
co_cdot_411-10251,CO,CDOT,411-10251,Emulsified Asphalt (CSS-1),Emul Asph (CSS-1),GAL,
co_cdot_411-10252,CO,CDOT,411-10252,Emulsified Asphalt (CSS-1P),Emul Asph (CSS-1P),GAL,
co_cdot_411-10253,CO,CDOT,411-10253,Emulsified Asphalt (CSS-1H),Emul Asph (CSS-1H),GAL,
co_cdot_411-10255,CO,CDOT,411-10255,Emulsified Asphalt (Slow-Setting),Emul Asph (SS),GAL,
co_cdot_411-10260,CO,CDOT,411-10260,Emulsified Asphalt (Rapid-Setting) (Polymerized),Emul Asph (RS-P),GAL,
co_cdot_411-10262,CO,CDOT,411-10262,Emulsified Asphalt (Medium-Setting) (Polymerized),Emul Asph (MS-P),GAL,
co_cdot_411-10265,CO,CDOT,411-10265,Emulsified Asphalt (Polymerized),Emul Asph (Poly),GAL,
co_cdot_411-10276,CO,CDOT,411-10276,Emulsified Asphalt (HFMS-2SP) (High Float) (Polymerized),Emul Asph (HFMS-2SP),GAL,
co_cdot_411-10300,CO,CDOT,411-10300,Emulsified Asphalt (Prime Coat),Emul Asph (Prime Coat),GAL,
co_cdot_411-10375,CO,CDOT,411-10375,Emulsified Asphalt (HFRS-2P) (High Float) (Polymerized),Emul Asph (HFRS-2P),GAL,
co_cdot_411-90010,CO,CDOT,411-90010,Asphalt Rejuvenating Agent,Asph Rejuvenating Agent,GAL,
co_cdot_411-90040,CO,CDOT,411-90040,Recycling Agent,Recycling Agent,GAL,
co_cdot_412-00000,CO,CDOT,412-00000,Furnish Concrete Pavement,Furn Conc Pvmt,CY,
co_cdot_412-00050,CO,CDOT,412-00050,Place Concrete Pavement,Pl Conc Pvmt,SY,
co_cdot_412-00101,CO,CDOT,412-00101,Portland Cement Concrete Pavement 5 Year Warranty,Port Cem Conc Pvmt 5 Yr War,SY,
co_cdot_412-00110,CO,CDOT,412-00110,Warranted Portland Cement Concrete Pavement (10 Inch),War Port Cem Conc Pvmt (10 In),SY,
co_cdot_412-00111,CO,CDOT,412-00111,Warranted Portland Cement Concrete Pavement (11 Inch),War Port Cem Conc Pvmt (11 In),SY,
co_cdot_412-00113,CO,CDOT,412-00113,Warranted Portland Cement Concrete Pavement (13 Inch),War Port Cem Conc Pvmt (13 In),SY,
co_cdot_412-00125,CO,CDOT,412-00125,Warranted Portland Cement Concrete Pavement (12 1/2 Inch),War Port Cem Conc Pvmt (12 1/2 In),SY,
co_cdot_412-00130,CO,CDOT,412-00130,Warranted Portland Cement Concrete Pavement System,War Port Cem Conc Pvmt Sys,SY,
co_cdot_412-00190,CO,CDOT,412-00190,Concrete Pavement (Patching),Conc Pvmt (Patching),SY,
co_cdot_412-00400,CO,CDOT,412-00400,Concrete Pavement (4 Inch),Conc Pvmt (4 In),SY,
co_cdot_412-00500,CO,CDOT,412-00500,Concrete Pavement (5 Inch),Conc Pvmt (5 In),SY,
co_cdot_412-00505,CO,CDOT,412-00505,Concrete Pavement (5 Inch) (Fast Track),Conc Pvmt (5 In) (Fast Track),SY,
co_cdot_412-00600,CO,CDOT,412-00600,Concrete Pavement (6 Inch),Conc Pvmt (6 In),SY,roadway_concrete_pavement
co_cdot_412-00601,CO,CDOT,412-00601,Concrete Pavement (6 Inch) (Special),Conc Pvmt (6 In) (Spec),SY,
co_cdot_412-00605,CO,CDOT,412-00605,Concrete Pavement (6 Inch) (Fast Track),Conc Pvmt (6 In) (Fast Track),SY,
co_cdot_412-00615,CO,CDOT,412-00615,Concrete Pavement (6 Inch) (Reinforced),Conc Pvmt (6 In) (R),SY,
co_cdot_412-00700,CO,CDOT,412-00700,Concrete Pavement (7 Inch),Conc Pvmt (7 In),SY,
co_cdot_412-00701,CO,CDOT,412-00701,Concrete Pavement (7 Inch) (Special),Conc Pvmt (7 In) (Spec),SY,
co_cdot_412-00750,CO,CDOT,412-00750,Concrete Pavement (7-1/2 Inch),Conc Pvmt (7-1/2 In),SY,
co_cdot_412-00800,CO,CDOT,412-00800,Concrete Pavement (8 Inch),Conc Pvmt (8 In),SY,
co_cdot_412-00801,CO,CDOT,412-00801,Concrete Pavement (8 Inch) (Special),Conc Pvmt (8 In) (Spec),SY,
co_cdot_412-00805,CO,CDOT,412-00805,Concrete Pavement (8 Inch) (Fast Track),Conc Pvmt (8 In) (Fast Track),SY,
co_cdot_412-00815,CO,CDOT,412-00815,Concrete Pavement (8 Inch) (Reinforced),Conc Pvmt (8 In) (R),SY,
co_cdot_412-00825,CO,CDOT,412-00825,Concrete Pavement (8-1/4 Inch),Conc Pvmt (8-1/4 In),SY,
co_cdot_412-00835,CO,CDOT,412-00835,Concrete Pavement (8-1/4 Inch) (Fast Track),Conc Pvmt (8 1/4 In) (Fast Track),SY,
co_cdot_412-00850,CO,CDOT,412-00850,Concrete Pavement (8-1/2 Inch),Conc Pvmt (8-1/2 In),SY,
co_cdot_412-00851,CO,CDOT,412-00851,Concrete Pavement (8-1/2 Inch) (Special),Conc Pvmt (8-1/2 In) (Spec),SY,
co_cdot_412-00870,CO,CDOT,412-00870,Concrete Pavement (8-1/2 Inch) (Fast Track),Conc Pvmt (8-1/2 In) (Fast Track),SY,
co_cdot_412-00875,CO,CDOT,412-00875,Concrete Pavement (8-3/4 Inch),Conc Pvmt (8-3/4 In),SY,
co_cdot_412-00900,CO,CDOT,412-00900,Concrete Pavement (9 Inch),Conc Pvmt (9 In),SY,
co_cdot_412-00901,CO,CDOT,412-00901,Concrete Pavement (9 Inch) (Special),Conc Pvmt (9 In) (Spec),SY,
co_cdot_412-00920,CO,CDOT,412-00920,Concrete Pavement (9 Inch) (Fast Track),Conc Pvmt (9 In) (Fast Track),SY,
co_cdot_412-00927,CO,CDOT,412-00927,Concrete Pavement (9-1/4 Inch) (Fast Track),Conc Pvmt (9-1/4 In) (Fast Track),SY,
co_cdot_412-00950,CO,CDOT,412-00950,Concrete Pavement (9-1/2 Inch),Conc Pvmt (9-1/2 In),SY,
co_cdot_412-00951,CO,CDOT,412-00951,Concrete Pavement (9-1/2 Inch) (Special),Conc Pvmt (9-1/2 In) (Spec),SY,
co_cdot_412-00952,CO,CDOT,412-00952,Concrete Pavement (9 1/2 Inch) (Fast Track),Conc Pvmt (9 1/2 In) (Fast Track),SY,
co_cdot_412-01000,CO,CDOT,412-01000,Concrete Pavement (10 Inch),Conc Pvmt (10 In),SY,
co_cdot_412-01001,CO,CDOT,412-01001,Concrete Pavement (10 Inch) (Special),Conc Pvmt (10 In) (Spec),SY,
co_cdot_412-01020,CO,CDOT,412-01020,Concrete Pavement (10 Inch) (Fast Track),Conc Pvmt (10 In) (Fast Track),SY,
co_cdot_412-01050,CO,CDOT,412-01050,Concrete Pavement (10-1/2 Inch),Conc Pvmt (10-1/2 In),SY,
co_cdot_412-01055,CO,CDOT,412-01055,Concrete Pavement (10-1/2 Inch) (Special),Conc Pvmt (10-1/2 In) (Spec),SY,
co_cdot_412-01060,CO,CDOT,412-01060,Concrete Pavement (10-1/2 Inch) (Fast Track),Conc Pvmt (10-1/2 In) (Fast Track),SY,
co_cdot_412-01100,CO,CDOT,412-01100,Concrete Pavement (11 Inch),Conc Pvmt (11 In),SY,
co_cdot_412-01105,CO,CDOT,412-01105,Concrete Pavement (11 Inch) (Special),Conc Pvmt (11 In) (Spec),SY,
co_cdot_412-01120,CO,CDOT,412-01120,Concrete Pavement (11 Inch) (Fast Track),Conc Pvmt (11 In) (Fast Track),SY,
co_cdot_412-01150,CO,CDOT,412-01150,Concrete Pavement (11-1/2 Inch),Conc Pvmt (11-1/2 In),SY,
co_cdot_412-01155,CO,CDOT,412-01155,Concrete Pavement (11-1/2 Inch) (Special),Conc Pvmt (11-1/2 In) (Spec),SY,
co_cdot_412-01200,CO,CDOT,412-01200,Concrete Pavement (12 Inch),Conc Pvmt (12 In),SY,
co_cdot_412-01220,CO,CDOT,412-01220,Concrete Pavement (12 Inch) (Fast Track),Conc Pvmt (12 In) (Fast Track),SY,
co_cdot_412-01250,CO,CDOT,412-01250,Concrete Pavement (12-1/2 Inch),Conc Pvmt (12-1/2 In),SY,
co_cdot_412-01252,CO,CDOT,412-01252,Concrete Pavement (12 1/2 Inch) (Fast Track),Conc Pvmt (12-1/2 In) (Fast Track),SY,
co_cdot_412-01255,CO,CDOT,412-01255,Concrete Pavement (12 Inch) (Special),Conc Pvmt (12 In) (Spec),SY,
co_cdot_412-01300,CO,CDOT,412-01300,Concrete Pavement (13 Inch),Conc Pvmt (13 In),SY,
co_cdot_412-01325,CO,CDOT,412-01325,Concrete Pavement (13 Inch)(Fast Track),Conc Pvmt (13 In)(Fast Track),SY,
co_cdot_412-01500,CO,CDOT,412-01500,Concrete Pavement (15 Inch),Conc Pvmt (15 In),SY,
co_cdot_412-02000,CO,CDOT,412-02000,Concrete SafetyEdge,Conc SafetyEdge,LF,
co_cdot_412-04000,CO,CDOT,412-04000,Concrete Pavement Panel (Precast),Conc Pvt Pan (Precast),SF,
co_cdot_412-04008,CO,CDOT,412-04008,Concrete Pavement Panel (Precast) (12X8),Conc Pvmt Panel (Precast) (12X8),EACH,
co_cdot_412-04012,CO,CDOT,412-04012,Concrete Pavement Panel (Precast) (12X12),Conc Pvmt Panel (Precast) (12X12),EACH,
co_cdot_412-04998,CO,CDOT,412-04998,Replace Concrete Pavement (PRS),Replace Conc Pvmt (PRS),SY,
co_cdot_412-04999,CO,CDOT,412-04999,Replace Concrete Pavement,Replace Conc Pvmt,SY,
co_cdot_412-05000,CO,CDOT,412-05000,Partial Depth Repair of Concrete Pavement,Partial Depth Repair of Conc Pvmt,SF,
co_cdot_412-05002,CO,CDOT,412-05002,Full Depth Repair of Concrete Pavement,Full Depth Repair of Conc Pavement,SF,
co_cdot_412-05100,CO,CDOT,412-05100,Polyurethane Slab Jacking,Poly Slab Jacking,LB,
co_cdot_412-06060,CO,CDOT,412-06060,Concrete Pavement Thin Whitetopping (6 Inch),Conc Pvmt TWT (6 Inch),SY,
co_cdot_412-10000,CO,CDOT,412-10000,Sawing Concrete Pavement,Sawing Conc Pvmt,LF,
co_cdot_412-11000,CO,CDOT,412-11000,Concrete Pavement Dowel Bar Retrofit,Conc Pave Dowel Bar Retro,EACH,
co_cdot_412-13000,CO,CDOT,412-13000,Concrete Pavement Joint Repair,Conc Pavement Joint Repair,EACH,
co_cdot_412-14000,CO,CDOT,412-14000,Sawing and Sealing Concrete Pavement Joints,Sawing and Sealing Joints,LF,
co_cdot_412-15000,CO,CDOT,412-15000,Routing and Sealing Concrete Pavement Cracks,Routing and Sealing Cracks,LF,
co_cdot_412-15050,CO,CDOT,412-15050,Cross Stitching,Cross Stitching,EACH,
co_cdot_412-15052,CO,CDOT,412-15052,Slot Stitching,Slot Stitching,EACH,
co_cdot_412-15060,CO,CDOT,412-15060,Repair Concrete Cracks (Stitch),Rep Conc Cr (Stitch),EACH,
co_cdot_412-16000,CO,CDOT,412-16000,Cleaning and Sealing Concrete Pavement Joints,Cleaning + Sealing Joints,LF,
co_cdot_412-18000,CO,CDOT,412-18000,Crack and Seat Concrete Pavement,Crack & Seat Conc Pvmt,SY,
co_cdot_412-18010,CO,CDOT,412-18010,Rubbilization of Concrete Pavement (Crack and Seat),Rubbil of Conc Pvmt (Crack and Seat),SY,
co_cdot_412-18050,CO,CDOT,412-18050,Rubbilization of Concrete Pavement,Rubbil of Conc Pvmt,SY,
co_cdot_412-19000,CO,CDOT,412-19000,Hot Poured Concrete Joint Sealant,Hot Conc Joint Sealant,LF,
co_cdot_412-80001,CO,CDOT,412-80001,Shoulder Pavement Alternate,Shoulder Pavement Alternate,SY,
co_cdot_420-00000,CO,CDOT,420-00000,Geomembrane,Geomembrane,SY,
co_cdot_420-00102,CO,CDOT,420-00102,Geotextile (Erosion Control) (Class 1),Geotextile (Er Cont) (CL 1),SY,
co_cdot_420-00103,CO,CDOT,420-00103,Geotextile (Erosion Control) (Class 2),Geotextile (Er Cont) (CL 2),SY,
co_cdot_420-00104,CO,CDOT,420-00104,Geotextile (Erosion Control) (Class 3),Geotextile (Er Cont) (CL 3),SY,
co_cdot_420-00112,CO,CDOT,420-00112,Geotextile (Drainage) (Class 1),Geotextile (Drain) (CL 1),SY,
co_cdot_420-00113,CO,CDOT,420-00113,Geotextile (Drainage) (Class 2),Geotextile (Drain) (CL 2),SY,
co_cdot_420-00114,CO,CDOT,420-00114,Geotextile (Drainage) (Class 3),Geotextile (Drain) (CL 3),SY,
co_cdot_420-00132,CO,CDOT,420-00132,Geotextile (Separator) (Class 1),Geotextile (Separator) (CL 1),SY,
co_cdot_420-00133,CO,CDOT,420-00133,Geotextile (Separator) (Class 2),Geotextile (Separator) (CL 2),SY,
co_cdot_420-00134,CO,CDOT,420-00134,Geotextile (Separator) (Class 3),Geotextile (Separator) (CL 3),SY,
co_cdot_420-00200,CO,CDOT,420-00200,Geotextile (Weed Barrier),Geotextile (Weed Barrier),SY,
co_cdot_420-00255,CO,CDOT,420-00255,Geotextile (Interlayer)(Special),Geotextile (Interlayer)(Spec),SY,
co_cdot_420-00300,CO,CDOT,420-00300,Geotextile (Reinforcement),Geotextile (Reinforcement),SY,
co_cdot_420-00500,CO,CDOT,420-00500,Geotextile (Paving),Geotextile (Paving),SY,
co_cdot_420-00510,CO,CDOT,420-00510,Geotextile (Crack Reduction) (High Density),Geotextile (Cr Reduc) (H D),SY,
co_cdot_420-00511,CO,CDOT,420-00511,Asphalt Reinforcement Geogrid,Asphalt Reinforcement Geogrid,SY,
co_cdot_420-00520,CO,CDOT,420-00520,Geogrid Pavement Reinforcement,Geogrid Pvmt Reinf,SY,
co_cdot_420-00526,CO,CDOT,420-00526,Cellular Geogrid,Cellular Geogrid,SY,
co_cdot_501-00000,CO,CDOT,501-00000,Steel Sheet Piling (Type I),Steel Sheet Pile (Ty I),SF,
co_cdot_501-00200,CO,CDOT,501-00200,Steel Sheet Piling (Type II),Steel Sheet Pile (Ty II),SF,
co_cdot_501-00210,CO,CDOT,501-00210,Steel Sheet Piling Cap,Steel Sheet Piling Cap,LF,
co_cdot_502-00100,CO,CDOT,502-00100,Drilling Hole to Facilitate Pile Driving,Drill Hole Fac Pile Driving,LF,
co_cdot_502-00150,CO,CDOT,502-00150,Blast Hole to Facilitate Pile Driving,Blast Hole to Fac Pile Driving,EACH,
co_cdot_502-00200,CO,CDOT,502-00200,Drive Steel Piling,Drive Steel Piling,LF,
co_cdot_502-00210,CO,CDOT,502-00210,Drive Timber Piling,Drive Timber Piling,LF,
co_cdot_502-00400,CO,CDOT,502-00400,End Plate,End Plate,EACH,
co_cdot_502-00460,CO,CDOT,502-00460,Pile Tip,Pile Tip,EACH,
co_cdot_502-00500,CO,CDOT,502-00500,Complete Joint Penetration (CJP) Splice,CJP Splice,EACH,
co_cdot_502-01100,CO,CDOT,502-01100,Retapping,Retapping,EACH,
co_cdot_502-01120,CO,CDOT,502-01120,Restriking Pile,Restriking Pile,EACH,
co_cdot_502-02000,CO,CDOT,502-02000,Dynamic Load Testing,Dynamic Load Testing,L S,
co_cdot_502-02010,CO,CDOT,502-02010,Dynamic Pile Test,Dynamic Pile Test,EACH,
co_cdot_502-02012,CO,CDOT,502-02012,Static Pile Load Test,Static Pile Load Test,EACH,
co_cdot_502-08250,CO,CDOT,502-08250,Steel Pipe Piling (12-3/4 X 0.250 Inch),SP Pile (12-3/4x0.250 In),LF,
co_cdot_502-08330,CO,CDOT,502-08330,Steel Pipe Piling (12-3/4 X 0.330 Inch),SP Pile (12-3/4x0.330 In),LF,
co_cdot_502-08500,CO,CDOT,502-08500,Steel Pipe Piling (12-3/4 X 0.500 Inch),SP Pile (12-3/4x0.500 In),LF,
co_cdot_502-10836,CO,CDOT,502-10836,Steel Piling (HP 8x36),Steel Pile (HP 8x36),LF,
co_cdot_502-11057,CO,CDOT,502-11057,Steel Piling (HP 10x57),Steel Pile (HP 10x57),LF,
co_cdot_502-11253,CO,CDOT,502-11253,Steel Piling (HP 12x53),Steel Pile (HP 12x53),LF,
co_cdot_502-11254,CO,CDOT,502-11254,Steel Piling (HP 12X53) (Install Only),Steel Piling (HP 12X53) (Install Only),LF,
co_cdot_502-11263,CO,CDOT,502-11263,Steel Piling (HP 12x63),Steel Pile (HP 12x63),LF,
co_cdot_502-11274,CO,CDOT,502-11274,Steel Piling (HP 12x74),Steel Pile (HP 12x74),LF,
co_cdot_502-11275,CO,CDOT,502-11275,Steel Piling (HP 12X74) (Install Only),Steel Piling (HP 12X74) (Install Only),LF,
co_cdot_502-11284,CO,CDOT,502-11284,Steel Piling (HP 12x84),Steel Pile (HP 12x84),LF,
co_cdot_502-11473,CO,CDOT,502-11473,Steel Piling (HP 14x73),Steel Pile (HP 14x73),LF,
co_cdot_502-11489,CO,CDOT,502-11489,Steel Piling (HP 14x89),Steel Pile (HP 14x89),LF,
co_cdot_502-11490,CO,CDOT,502-11490,Steel Piling (HP 14X89) (Install Only),Steel Piling (HP 14X89) (Install Only),LF,
co_cdot_502-14102,CO,CDOT,502-14102,Steel Piling (HP 14x102),Steel Pile (HP 14x102),LF,
co_cdot_502-14117,CO,CDOT,502-14117,Steel Piling (HP 14x117),Steel Pile (HP 14x117),LF,
co_cdot_502-20209,CO,CDOT,502-20209,Corrugated Steel Pipe Piling (8x14x0.2092 Inch),Corr SP Pile (8x14x0.2092),LF,
co_cdot_502-29000,CO,CDOT,502-29000,Structure Foundation System (Alternates),Str Foundation Sys (Alternates),EACH,
co_cdot_503-00000,CO,CDOT,503-00000,Ground Improvement,Ground Improvement,SF,
co_cdot_503-00002,CO,CDOT,503-00002,Ground Improvement,Ground Improvement,CY,
co_cdot_503-00012,CO,CDOT,503-00012,Drilled Shaft (12 Inch),Drilled Shaft (12 In),LF,
co_cdot_503-00018,CO,CDOT,503-00018,Drilled Shaft (18 Inch),Drilled Shaft (18 In),LF,
co_cdot_503-00024,CO,CDOT,503-00024,Drilled Shaft (24 Inch),Drilled Shaft (24 In),LF,
co_cdot_503-00030,CO,CDOT,503-00030,Drilled Shaft (30 Inch),Drilled Shaft (30 In),LF,
co_cdot_503-00036,CO,CDOT,503-00036,Drilled Shaft (36 Inch),Drilled Shaft (36 In),LF,
co_cdot_503-00037,CO,CDOT,503-00037,Drilled Shaft (36 Inch)(Special),Drilled Shaft (36 In)(Spec),LF,
co_cdot_503-00042,CO,CDOT,503-00042,Drilled Shaft (42 Inch),Drilled Shaft (42 In),LF,
co_cdot_503-00043,CO,CDOT,503-00043,Drilled Shaft (43 Inch),Drilled Shaft (43 In),LF,
co_cdot_503-00048,CO,CDOT,503-00048,Drilled Shaft (48 Inch),Drilled Shaft (48 In),LF,
co_cdot_503-00054,CO,CDOT,503-00054,Drilled Shaft (54 Inch),Drilled Shaft (54 In),LF,
co_cdot_503-00060,CO,CDOT,503-00060,Drilled Shaft (60 Inch),Drilled Shaft (60 In),LF,
co_cdot_503-00066,CO,CDOT,503-00066,Drilled Shaft (66 Inch),Drilled Shaft (66 In),LF,
co_cdot_503-00072,CO,CDOT,503-00072,Drilled Shaft (72 Inch),Drilled Shaft (72 In),LF,
co_cdot_503-00078,CO,CDOT,503-00078,Drilled Shaft (78 Inch),Drilled Shaft (78 In),LF,
co_cdot_503-00084,CO,CDOT,503-00084,Drilled Shaft (84 Inch),Drilled Shaft (84 In),LF,
co_cdot_503-00096,CO,CDOT,503-00096,Drilled Shaft (96 Inch),Drilled Shaft (96 In),LF,
co_cdot_503-00200,CO,CDOT,503-00200,Caisson (Special),Caisson (Special),LF,
co_cdot_503-00211,CO,CDOT,503-00211,Aggregate Column Ground Improvement,Agg Column Ground Improvement,LF,
co_cdot_503-00212,CO,CDOT,503-00212,Soil Mixing,Soil Mixing,CY,
co_cdot_503-00214,CO,CDOT,503-00214,Soil Mixing (Overtopping),Soil Mixing (Overtopping),CY,
co_cdot_503-00300,CO,CDOT,503-00300,Drilled Shaft Load Test,Drilled Shaft Load Test,EACH,
co_cdot_503-00310,CO,CDOT,503-00310,Crosshole Sonic Logging Testing,CSL Testing,EACH,
co_cdot_503-00320,CO,CDOT,503-00320,Thermal Integrity Profiling Testing,TIP Testing,EACH,
co_cdot_503-01060,CO,CDOT,503-01060,Micropile (6 Inch),M pile (6 In),LF,
co_cdot_503-01070,CO,CDOT,503-01070,Micropile (7 Inch),M Pile (7 In),LF,
co_cdot_503-01080,CO,CDOT,503-01080,Micropile (8 Inch),M Pile (8 In),LF,
co_cdot_503-01100,CO,CDOT,503-01100,Micropile (10 Inch),M Pile (10 In),LF,
co_cdot_503-01120,CO,CDOT,503-01120,Micropile (12 Inch),M Pile (12 In),LF,
co_cdot_503-02000,CO,CDOT,503-02000,Verification Test Pile,Verification Test Pile,EACH,
co_cdot_504-03311,CO,CDOT,504-03311,Retaining Wall (1)(Alternative Systems),Retaining Wall (1)(Alternative Systems),L S,
co_cdot_504-03312,CO,CDOT,504-03312,Retaining Wall (2)(Alternative Systems),Retaining Wall (2)(Alternative Systems),L S,
co_cdot_504-03313,CO,CDOT,504-03313,Retaining Wall (3)(Alternative Systems),Retaining Wall (3)(Alternative Systems),L S,
co_cdot_504-03314,CO,CDOT,504-03314,Retaining Wall (4)(Alternative Systems),Retaining Wall (4)(Alternative Systems),L S,
co_cdot_504-03315,CO,CDOT,504-03315,Retaining Wall (5)(Alternative Systems),Retaining Wall (5)(Alternative Systems),L S,
co_cdot_504-03316,CO,CDOT,504-03316,Retaining Wall (6)(Alternative Systems),Retaining Wall (6)(Alternative Systems),L S,
co_cdot_504-03317,CO,CDOT,504-03317,Retaining Wall (7)(Alternative Systems),Retaining Wall (7)(Alternative Systems),L S,
co_cdot_504-03318,CO,CDOT,504-03318,Retaining Wall (8)(Alternative Systems),Retaining Wall (8)(Alternative Systems),L S,
co_cdot_504-03319,CO,CDOT,504-03319,Retaining Wall (9)(Alternative Systems),Retaining Wall (9)(Alternative Systems),L S,
co_cdot_504-03320,CO,CDOT,504-03320,Retaining Wall (10)(Alternative Systems),Retaining Wall (10)(Alternative Systems),L S,
co_cdot_504-03321,CO,CDOT,504-03321,Retaining Wall (11)(Alternative Systems),Retaining Wall (11)(Alternative Systems),L S,
co_cdot_504-03322,CO,CDOT,504-03322,Retaining Wall (12)(Alternative Systems),Retaining Wall (12)(Alternative Systems),L S,
co_cdot_504-03323,CO,CDOT,504-03323,Retaining Wall (13)(Alternative Systems),Retaining Wall (13)(Alternative Systems),L S,
co_cdot_504-03324,CO,CDOT,504-03324,Retaining Wall (14)(Alternative Systems),Retaining Wall (14)(Alternative Systems),L S,
co_cdot_504-03325,CO,CDOT,504-03325,Retaining Wall (15)(Alternative Systems),Retaining Wall (15)(Alternative Systems),L S,
co_cdot_504-03326,CO,CDOT,504-03326,Retaining Wall (16)(Alternative Systems),Retaining Wall (16)(Alternative Systems),L S,
co_cdot_504-03327,CO,CDOT,504-03327,Retaining Wall (17)(Alternative Systems),Retaining Wall (17)(Alternative Systems),L S,
co_cdot_504-03328,CO,CDOT,504-03328,Retaining Wall (18)(Alternative Systems),Retaining Wall (18)(Alternative Systems),L S,
co_cdot_504-03329,CO,CDOT,504-03329,Retaining Wall (19)(Alternative Systems),Retaining Wall (19)(Alternative Systems),L S,
co_cdot_504-03330,CO,CDOT,504-03330,Retaining Wall (20)(Alternative Systems),Retaining Wall (20)(Alternative Systems),L S,
co_cdot_504-03331,CO,CDOT,504-03331,Retaining Wall (21)(Alternative Systems),Retaining Wall (21)(Alternative Systems),L S,
co_cdot_504-03332,CO,CDOT,504-03332,Retaining Wall (22)(Alternative Systems),Retaining Wall (22)(Alternative Systems),L S,
co_cdot_504-03333,CO,CDOT,504-03333,Retaining Wall (23)(Alternative Systems),Retaining Wall (23)(Alternative Systems),L S,
co_cdot_504-03334,CO,CDOT,504-03334,Retaining Wall (24)(Alternative Systems),Retaining Wall (24)(Alternative Systems),L S,
co_cdot_504-03335,CO,CDOT,504-03335,Retaining Wall (25)(Alternative Systems),Retaining Wall (25)(Alternative Systems),L S,
co_cdot_504-03336,CO,CDOT,504-03336,Retaining Wall (26)(Alternative Systems),Retaining Wall (26)(Alternative Systems),L S,
co_cdot_504-03337,CO,CDOT,504-03337,Retaining Wall (27)(Alternative Systems),Retaining Wall (27)(Alternative Systems),L S,
co_cdot_504-03338,CO,CDOT,504-03338,Retaining Wall (28)(Alternative Systems),Retaining Wall (28)(Alternative Systems),L S,
co_cdot_504-03339,CO,CDOT,504-03339,Retaining Wall (29)(Alternative Systems),Retaining Wall (29)(Alternative Systems),L S,
co_cdot_504-03340,CO,CDOT,504-03340,Retaining Wall (30)(Alternative Systems),Retaining Wall (30)(Alternative Systems),L S,
