section_prefix,division_prefix,division_title,section_title,source_year,source_url
612,600,Miscellaneous Construction,Delineators and Reflectors,2026,https://www.codot.gov/business/eema/itemcodebook
613,600,Miscellaneous Construction,Lighting,2026,https://www.codot.gov/business/eema/itemcodebook
614,600,Miscellaneous Construction,Traffic Control Devices,2026,https://www.codot.gov/business/eema/itemcodebook
615,600,Miscellaneous Construction,Water Control Devices,2026,https://www.codot.gov/business/eema/itemcodebook
616,600,Miscellaneous Construction,Siphons,2026,https://www.codot.gov/business/eema/itemcodebook
618,600,Miscellaneous Construction,Prestressed Concrete,2026,https://www.codot.gov/business/eema/itemcodebook
619,600,Miscellaneous Construction,Water Lines,2026,https://www.codot.gov/business/eema/itemcodebook
620,600,Miscellaneous Construction,Field Facilities,2026,https://www.codot.gov/business/eema/itemcodebook
621,600,Miscellaneous Construction,Detours and Temporary Structures,2026,https://www.codot.gov/business/eema/itemcodebook
622,600,Miscellaneous Construction,Rest Areas and Buildings,2026,https://www.codot.gov/business/eema/itemcodebook
623,600,Miscellaneous Construction,Irrigation System,2026,https://www.codot.gov/business/eema/itemcodebook
624,600,Miscellaneous Construction,Drainage Pipe,2026,https://www.codot.gov/business/eema/itemcodebook
625,600,Miscellaneous Construction,Construction Surveying,2026,https://www.codot.gov/business/eema/itemcodebook
626,600,Miscellaneous Construction,Mobilization,2026,https://www.codot.gov/business/eema/itemcodebook
627,600,Miscellaneous Construction,Pavement Marking,2026,https://www.codot.gov/business/eema/itemcodebook
628,600,Miscellaneous Construction,Bridge Girder and Deck Units,2026,https://www.codot.gov/business/eema/itemcodebook
629,600,Miscellaneous Construction,Survey Monumentation,2026,https://www.codot.gov/business/eema/itemcodebook
630,600,Miscellaneous Construction,Construction Zone Traffic Control,2026,https://www.codot.gov/business/eema/itemcodebook
631,600,Miscellaneous Construction,Design and Construction Allowances,2026,https://www.codot.gov/business/eema/itemcodebook
632,600,Miscellaneous Construction,Night Work Lighting,2026,https://www.codot.gov/business/eema/itemcodebook
637,600,Miscellaneous Construction,Roadway Sweeping,2026,https://www.codot.gov/business/eema/itemcodebook
641,600,Miscellaneous Construction,Shotcrete,2026,https://www.codot.gov/business/eema/itemcodebook
642,600,Miscellaneous Construction,Avalanche Control Equipment,2026,https://www.codot.gov/business/eema/itemcodebook
660,600,Miscellaneous Construction,Special Systems,2026,https://www.codot.gov/business/eema/itemcodebook
670,600,Miscellaneous Construction,Electrical Systems,2026,https://www.codot.gov/business/eema/itemcodebook
680,600,Miscellaneous Construction,Lighting Systems,2026,https://www.codot.gov/business/eema/itemcodebook
699,600,Miscellaneous Construction,Fixed Fee,2026,https://www.codot.gov/business/eema/itemcodebook
700,700,Materials,Force Account,2026,https://www.codot.gov/business/eema/itemcodebook
800,800,Owner-Furnished and Right-of-Way Items,Owner-Furnished Materials and Right-of-Way,2026,https://www.codot.gov/business/eema/itemcodebook
900,900,Added Items and Project Controls,Added Items,2026,https://www.codot.gov/business/eema/itemcodebook
950,900,Added Items and Project Controls,Project Control Accounts,2026,https://www.codot.gov/business/eema/itemcodebook
