source_id,source_type,agency,state,source_label,data_year,notes
cdot_cost_data_book_2026_q1,public_cost_book,CDOT,CO,CDOT 2026 Q1 Cost Data Book,2026,Public CDOT Cost Data Book 2026 Q1 item-level project rows promoted from reviewed staging CSV.
cdot_cost_data_book_2025_q4,public_cost_book,CDOT,CO,CDOT 2025 Q4 Cost Data Book,2025,Public CDOT Cost Data Book 2025 Q4 item-level project rows promoted from reviewed staging CSV.
cdot_cost_data_book_2024_q4,public_cost_book,CDOT,CO,CDOT 2024 Q4 Cost Data Book,2024,Public CDOT Cost Data Book 2024 Q4 item-level project rows promoted from reviewed staging CSV.
cdot_cost_data_book_2023_q4,public_cost_book,CDOT,CO,CDOT 2023 Q4 Cost Data Book,2023,Public CDOT Cost Data Book 2023 Q4 item-level project rows promoted from reviewed staging CSV.
cdot_cost_data_book_2022_q4,public_cost_book,CDOT,CO,CDOT 2022 Q4 Cost Data Book,2022,Public CDOT Cost Data Book 2022 Q4 item-level project rows promoted from reviewed staging CSV.
fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,public_bid_tab,Arapahoe County,CO,FHU Civil Group Bid Tabs - Arapahoe Road over Big Dry Creek,2021,Public bid tab workbook promoted from 2021 09 21 Bids Arapahoe Road over Big Dry Creek_BID FORM.xlsx. Apparent low is not confirmed award.
fhu_bid_tab_watson_ave_roundabout_2021_12_16,public_bid_tab,Town of Breckenridge,CO,FHU Civil Group Bid Tabs - Watson Avenue Roundabout,2021,Public bid tab workbook promoted from 2021 12 16 Bid Tabs Watson Ave Roundabout.xlsx. Apparent low is not confirmed award.
