agency_item_version_id,agency_item_id,effective_from,effective_to,official_description,official_abbreviated_description,official_unit,spec_reference_code,source_id,is_current
ne_ndot_version_3076.50_current,ne_ndot_3076.50,,,"10"" CONCRETE PAVEMENT, CLASS 47BX-3000",,SQ YD,603.00,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3076.51_current,ne_ndot_3076.51,,,"10"" CONCRETE PAVEMENT, CLASS BX-3000",,SQ YD,603.00,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3076.60_historical,ne_ndot_3076.60,,,"10"" CONCRETE PAVEMENT, CLASS 47B-4000",,SY,,ne_ndot_aup_july_june_2020_2021,false
ne_ndot_version_3076.65_historical,ne_ndot_3076.65,,,"11"" DOWELED CONCRETE PAVEMENT, CLASS 47B-4000",,SY,,ne_ndot_aup_july_june_2022_2023,false
ne_ndot_version_3089.25_current,ne_ndot_3089.25,,,TEMPORARY SURFACING,,SQ YD,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3089.40_current,ne_ndot_3089.40,,,GROUT,,SQ YD,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3089.42_historical,ne_ndot_3089.42,,,PAVEMENT LIFTING AND STABILIZATION,,LB,,ne_ndot_aup_july_june_2024_2025,false
ne_ndot_version_3089.46_current,ne_ndot_3089.46,,,SHOT BLASTING,,SQ YD,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3089.50_current,ne_ndot_3089.50,,,SURFACE PREPARATION,,SQ YD,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3089.54_current,ne_ndot_3089.54,,,SECONDARY SURFACE PREPARATION,,SQ YD,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3089.65_current,ne_ndot_3089.65,,,UNBONDED CONCRETE OVERLAY,,CU YD,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3089.67_current,ne_ndot_3089.67,,,BONDED CONCRETE OVERLAY,,CU YD,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3089.70_current,ne_ndot_3089.70,,,FIBER REINFORCED CONCRETE OVERLAY,,CU YD,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3089.75_current,ne_ndot_3089.75,,,CONCRETE OVERLAY PLACEMENT,,SQ YD,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3089.76_current,ne_ndot_3089.76,,,PLACEMENT OF CONCRETE PAVEMENT,,SQ YD,,ne_ndot_english_standard_item_list_2010,true
