bidder_item_observation_id,bid_tab_item_id,bid_id,project_id,source_id,agency_item_code,description_raw,unit_raw,unit_normalized,quantity,unit_price,extended_price
fhu_lincoln_jordan_20250218_row_0006_sema_construction_inc,fhu_lincoln_jordan_20250218_row_0006,fhu_lincoln_jordan_20250218_sema_construction_inc,fhu_bid_tab_lincoln_jordan_2025_02_18,fhu_bid_tab_lincoln_jordan_2025_02_18,202-00021,REMOVAL OF MANHOLE,Each,EACH,1,2000.00,2000.00
fhu_lincoln_jordan_20250218_row_0006_structures_inc,fhu_lincoln_jordan_20250218_row_0006,fhu_lincoln_jordan_20250218_structures_inc,fhu_bid_tab_lincoln_jordan_2025_02_18,fhu_bid_tab_lincoln_jordan_2025_02_18,202-00021,REMOVAL OF MANHOLE,Each,EACH,1,1498.75,1498.75
fhu_lincoln_jordan_20250218_row_0007_fnf_construction_inc,fhu_lincoln_jordan_20250218_row_0007,fhu_lincoln_jordan_20250218_fnf_construction_inc,fhu_bid_tab_lincoln_jordan_2025_02_18,fhu_bid_tab_lincoln_jordan_2025_02_18,202-00035,REMOVAL OF PIPE,Linear Foot/Feet,LINEAR FOOT/FEET,509,56.00,28504.00
fhu_lincoln_jordan_20250218_row_0007_hei_civil,fhu_lincoln_jordan_20250218_row_0007,fhu_lincoln_jordan_20250218_hei_civil,fhu_bid_tab_lincoln_jordan_2025_02_18,fhu_bid_tab_lincoln_jordan_2025_02_18,202-00035,REMOVAL OF PIPE,Linear Foot/Feet,LINEAR FOOT/FEET,509,29.25,14888.25
fhu_lincoln_jordan_20250218_row_0007_hamon_infrastructure,fhu_lincoln_jordan_20250218_row_0007,fhu_lincoln_jordan_20250218_hamon_infrastructure,fhu_bid_tab_lincoln_jordan_2025_02_18,fhu_bid_tab_lincoln_jordan_2025_02_18,202-00035,REMOVAL OF PIPE,Linear Foot/Feet,LINEAR FOOT/FEET,509,26.25,13361.25
fhu_lincoln_jordan_20250218_row_0007_sema_construction_inc,fhu_lincoln_jordan_20250218_row_0007,fhu_lincoln_jordan_20250218_sema_construction_inc,fhu_bid_tab_lincoln_jordan_2025_02_18,fhu_bid_tab_lincoln_jordan_2025_02_18,202-00035,REMOVAL OF PIPE,Linear Foot/Feet,LINEAR FOOT/FEET,509,53.00,26977.00
fhu_lincoln_jordan_20250218_row_0007_structures_inc,fhu_lincoln_jordan_20250218_row_0007,fhu_lincoln_jordan_20250218_structures_inc,fhu_bid_tab_lincoln_jordan_2025_02_18,fhu_bid_tab_lincoln_jordan_2025_02_18,202-00035,REMOVAL OF PIPE,Linear Foot/Feet,LINEAR FOOT/FEET,509,41.97,21362.73
fhu_lincoln_jordan_20250218_row_0008_fnf_construction_inc,fhu_lincoln_jordan_20250218_row_0008,fhu_lincoln_jordan_20250218_fnf_construction_inc,fhu_bid_tab_lincoln_jordan_2025_02_18,fhu_bid_tab_lincoln_jordan_2025_02_18,202-00037,REMOVAL OF END SECTION,Each,EACH,9,379.00,3411.00
fhu_lincoln_jordan_20250218_row_0008_hei_civil,fhu_lincoln_jordan_20250218_row_0008,fhu_lincoln_jordan_20250218_hei_civil,fhu_bid_tab_lincoln_jordan_2025_02_18,fhu_bid_tab_lincoln_jordan_2025_02_18,202-00037,REMOVAL OF END SECTION,Each,EACH,9,275.00,2475.00
fhu_lincoln_jordan_20250218_row_0008_hamon_infrastructure,fhu_lincoln_jordan_20250218_row_0008,fhu_lincoln_jordan_20250218_hamon_infrastructure,fhu_bid_tab_lincoln_jordan_2025_02_18,fhu_bid_tab_lincoln_jordan_2025_02_18,202-00037,REMOVAL OF END SECTION,Each,EACH,9,678.00,6102.00
fhu_lincoln_jordan_20250218_row_0008_sema_construction_inc,fhu_lincoln_jordan_20250218_row_0008,fhu_lincoln_jordan_20250218_sema_construction_inc,fhu_bid_tab_lincoln_jordan_2025_02_18,fhu_bid_tab_lincoln_jordan_2025_02_18,202-00037,REMOVAL OF END SECTION,Each,EACH,9,360.00,3240.00
fhu_lincoln_jordan_20250218_row_0008_structures_inc,fhu_lincoln_jordan_20250218_row_0008,fhu_lincoln_jordan_20250218_structures_inc,fhu_bid_tab_lincoln_jordan_2025_02_18,fhu_bid_tab_lincoln_jordan_2025_02_18,202-00037,REMOVAL OF END SECTION,Each,EACH,9,599.50,5395.50
fhu_lincoln_jordan_20250218_row_0009_fnf_construction_inc,fhu_lincoln_jordan_20250218_row_0009,fhu_lincoln_jordan_20250218_fnf_construction_inc,fhu_bid_tab_lincoln_jordan_2025_02_18,fhu_bid_tab_lincoln_jordan_2025_02_18,202-00155,REMOVAL OF WALL,Linear Foot/Feet,LINEAR FOOT/FEET,486,54.00,26244.00
fhu_lincoln_jordan_20250218_row_0009_hei_civil,fhu_lincoln_jordan_20250218_row_0009,fhu_lincoln_jordan_20250218_hei_civil,fhu_bid_tab_lincoln_jordan_2025_02_18,fhu_bid_tab_lincoln_jordan_2025_02_18,202-00155,REMOVAL OF WALL,Linear Foot/Feet,LINEAR FOOT/FEET,486,40.00,19440.00
fhu_lincoln_jordan_20250218_row_0009_hamon_infrastructure,fhu_lincoln_jordan_20250218_row_0009,fhu_lincoln_jordan_20250218_hamon_infrastructure,fhu_bid_tab_lincoln_jordan_2025_02_18,fhu_bid_tab_lincoln_jordan_2025_02_18,202-00155,REMOVAL OF WALL,Linear Foot/Feet,LINEAR FOOT/FEET,486,40.25,19561.50
fhu_lincoln_jordan_20250218_row_0009_sema_construction_inc,fhu_lincoln_jordan_20250218_row_0009,fhu_lincoln_jordan_20250218_sema_construction_inc,fhu_bid_tab_lincoln_jordan_2025_02_18,fhu_bid_tab_lincoln_jordan_2025_02_18,202-00155,REMOVAL OF WALL,Linear Foot/Feet,LINEAR FOOT/FEET,486,57.00,27702.00
fhu_lincoln_jordan_20250218_row_0009_structures_inc,fhu_lincoln_jordan_20250218_row_0009,fhu_lincoln_jordan_20250218_structures_inc,fhu_bid_tab_lincoln_jordan_2025_02_18,fhu_bid_tab_lincoln_jordan_2025_02_18,202-00155,REMOVAL OF WALL,Linear Foot/Feet,LINEAR FOOT/FEET,486,11.99,5827.14
fhu_lincoln_jordan_20250218_row_0010_fnf_construction_inc,fhu_lincoln_jordan_20250218_row_0010,fhu_lincoln_jordan_20250218_fnf_construction_inc,fhu_bid_tab_lincoln_jordan_2025_02_18,fhu_bid_tab_lincoln_jordan_2025_02_18,202-00195,REMOVAL OF MEDIAN COVER MATERIAL,Square Yard,SY,374,25.00,9350.00
fhu_lincoln_jordan_20250218_row_0010_hei_civil,fhu_lincoln_jordan_20250218_row_0010,fhu_lincoln_jordan_20250218_hei_civil,fhu_bid_tab_lincoln_jordan_2025_02_18,fhu_bid_tab_lincoln_jordan_2025_02_18,202-00195,REMOVAL OF MEDIAN COVER MATERIAL,Square Yard,SY,374,18.00,6732.00
fhu_lincoln_jordan_20250218_row_0010_hamon_infrastructure,fhu_lincoln_jordan_20250218_row_0010,fhu_lincoln_jordan_20250218_hamon_infrastructure,fhu_bid_tab_lincoln_jordan_2025_02_18,fhu_bid_tab_lincoln_jordan_2025_02_18,202-00195,REMOVAL OF MEDIAN COVER MATERIAL,Square Yard,SY,374,18.50,6919.00
fhu_lincoln_jordan_20250218_row_0010_sema_construction_inc,fhu_lincoln_jordan_20250218_row_0010,fhu_lincoln_jordan_20250218_sema_construction_inc,fhu_bid_tab_lincoln_jordan_2025_02_18,fhu_bid_tab_lincoln_jordan_2025_02_18,202-00195,REMOVAL OF MEDIAN COVER MATERIAL,Square Yard,SY,374,22.00,8228.00
fhu_lincoln_jordan_20250218_row_0010_structures_inc,fhu_lincoln_jordan_20250218_row_0010,fhu_lincoln_jordan_20250218_structures_inc,fhu_bid_tab_lincoln_jordan_2025_02_18,fhu_bid_tab_lincoln_jordan_2025_02_18,202-00195,REMOVAL OF MEDIAN COVER MATERIAL,Square Yard,SY,374,16.79,6279.46
fhu_lincoln_jordan_20250218_row_0011_fnf_construction_inc,fhu_lincoln_jordan_20250218_row_0011,fhu_lincoln_jordan_20250218_fnf_construction_inc,fhu_bid_tab_lincoln_jordan_2025_02_18,fhu_bid_tab_lincoln_jordan_2025_02_18,202-00200,REMOVAL OF SIDEWALK,Square Yard,SY,6658,19.00,126502.00
fhu_lincoln_jordan_20250218_row_0011_hei_civil,fhu_lincoln_jordan_20250218_row_0011,fhu_lincoln_jordan_20250218_hei_civil,fhu_bid_tab_lincoln_jordan_2025_02_18,fhu_bid_tab_lincoln_jordan_2025_02_18,202-00200,REMOVAL OF SIDEWALK,Square Yard,SY,6658,17.00,113186.00
fhu_lincoln_jordan_20250218_row_0011_hamon_infrastructure,fhu_lincoln_jordan_20250218_row_0011,fhu_lincoln_jordan_20250218_hamon_infrastructure,fhu_bid_tab_lincoln_jordan_2025_02_18,fhu_bid_tab_lincoln_jordan_2025_02_18,202-00200,REMOVAL OF SIDEWALK,Square Yard,SY,6658,15.00,99870.00
fhu_lincoln_jordan_20250218_row_0011_sema_construction_inc,fhu_lincoln_jordan_20250218_row_0011,fhu_lincoln_jordan_20250218_sema_construction_inc,fhu_bid_tab_lincoln_jordan_2025_02_18,fhu_bid_tab_lincoln_jordan_2025_02_18,202-00200,REMOVAL OF SIDEWALK,Square Yard,SY,6658,14.00,93212.00
fhu_lincoln_jordan_20250218_row_0011_structures_inc,fhu_lincoln_jordan_20250218_row_0011,fhu_lincoln_jordan_20250218_structures_inc,fhu_bid_tab_lincoln_jordan_2025_02_18,fhu_bid_tab_lincoln_jordan_2025_02_18,202-00200,REMOVAL OF SIDEWALK,Square Yard,SY,6658,13.19,87819.02
fhu_lincoln_jordan_20250218_row_0012_fnf_construction_inc,fhu_lincoln_jordan_20250218_row_0012,fhu_lincoln_jordan_20250218_fnf_construction_inc,fhu_bid_tab_lincoln_jordan_2025_02_18,fhu_bid_tab_lincoln_jordan_2025_02_18,202-00202,REMOVAL OF GUTTER,Linear Foot/Feet,LINEAR FOOT/FEET,33,68.00,2244.00
fhu_lincoln_jordan_20250218_row_0012_hei_civil,fhu_lincoln_jordan_20250218_row_0012,fhu_lincoln_jordan_20250218_hei_civil,fhu_bid_tab_lincoln_jordan_2025_02_18,fhu_bid_tab_lincoln_jordan_2025_02_18,202-00202,REMOVAL OF GUTTER,Linear Foot/Feet,LINEAR FOOT/FEET,33,11.00,363.00
fhu_lincoln_jordan_20250218_row_0012_hamon_infrastructure,fhu_lincoln_jordan_20250218_row_0012,fhu_lincoln_jordan_20250218_hamon_infrastructure,fhu_bid_tab_lincoln_jordan_2025_02_18,fhu_bid_tab_lincoln_jordan_2025_02_18,202-00202,REMOVAL OF GUTTER,Linear Foot/Feet,LINEAR FOOT/FEET,33,26.75,882.75
fhu_lincoln_jordan_20250218_row_0012_sema_construction_inc,fhu_lincoln_jordan_20250218_row_0012,fhu_lincoln_jordan_20250218_sema_construction_inc,fhu_bid_tab_lincoln_jordan_2025_02_18,fhu_bid_tab_lincoln_jordan_2025_02_18,202-00202,REMOVAL OF GUTTER,Linear Foot/Feet,LINEAR FOOT/FEET,33,20.00,660.00
fhu_lincoln_jordan_20250218_row_0012_structures_inc,fhu_lincoln_jordan_20250218_row_0012,fhu_lincoln_jordan_20250218_structures_inc,fhu_bid_tab_lincoln_jordan_2025_02_18,fhu_bid_tab_lincoln_jordan_2025_02_18,202-00202,REMOVAL OF GUTTER,Linear Foot/Feet,LINEAR FOOT/FEET,33,11.99,395.67
fhu_lincoln_jordan_20250218_row_0013_fnf_construction_inc,fhu_lincoln_jordan_20250218_row_0013,fhu_lincoln_jordan_20250218_fnf_construction_inc,fhu_bid_tab_lincoln_jordan_2025_02_18,fhu_bid_tab_lincoln_jordan_2025_02_18,202-00203,REMOVAL OF CURB AND GUTTER,Linear Foot/Feet,LINEAR FOOT/FEET,13669,17.00,232373.00
fhu_lincoln_jordan_20250218_row_0013_hei_civil,fhu_lincoln_jordan_20250218_row_0013,fhu_lincoln_jordan_20250218_hei_civil,fhu_bid_tab_lincoln_jordan_2025_02_18,fhu_bid_tab_lincoln_jordan_2025_02_18,202-00203,REMOVAL OF CURB AND GUTTER,Linear Foot/Feet,LINEAR FOOT/FEET,13669,17.25,235790.25
