bid_tab_item_id,source_item_code,source_item_description,unit_normalized,candidate_agency_item_code,candidate_description,candidate_unit,candidate_count,suggestion_status
fhu_west_colfax_phase_1_20241003_row_0049,250-00200,Material Handling (Stockpile),CY,250-00200,Material Handling (Stockpile),CY,1,single_exact_description_unit_candidate
fhu_west_colfax_phase_1_20241003_row_0050,250-00210,Solid Waste Disposal,CY,250-00210,Solid Waste Disposal,CY,1,single_exact_description_unit_candidate
fhu_west_colfax_phase_1_20241003_row_0051,304-06007,Aggregate Base Course (Class 6),CY,304-06007,Aggregate Base Course (Class 6),CY,1,single_exact_description_unit_candidate
fhu_west_colfax_phase_1_20241003_row_0052,403-00720,Hot Mix Asphalt (Patching) (Asphalt),TON,403-00720,Hot Mix Asphalt (Patching) (Asphalt),TON,1,single_exact_description_unit_candidate
fhu_west_colfax_phase_1_20241003_row_0053,503-00018,Drilled Shaft (18 Inch),LF,503-00018,Drilled Shaft (18 Inch),LF,1,single_exact_description_unit_candidate
fhu_west_colfax_phase_1_20241003_row_0054,503-00036,Drilled Shaft (36 Inch),LF,503-00036,Drilled Shaft (36 Inch),LF,1,single_exact_description_unit_candidate
fhu_west_colfax_phase_1_20241003_row_0056,601-03055,Concrete Class D (Wall) (Special),CY,601-03055,Concrete Class D (Wall) (Special),CY,1,single_exact_description_unit_candidate
fhu_west_colfax_phase_1_20241003_row_0057,603-01185,18 Inch Reinforced Concrete Pipe (Complete In Place),LF,603-01185,18 Inch Reinforced Concrete Pipe (Complete In Place),LF,1,single_exact_description_unit_candidate
fhu_west_colfax_phase_1_20241003_row_0058,603-02365,45x29 Inch Reinforced Concrete Pipe Elliptical (Complete In Place),LF,603-02365,45x29 Inch Reinforced Concrete Pipe Elliptical (Complete In Place),LF,1,single_exact_description_unit_candidate
fhu_west_colfax_phase_1_20241003_row_0059,604-30010,Manhole Slab Base (10 Foot),EACH,604-30010,Manhole Slab Base (10 Foot),EACH,1,single_exact_description_unit_candidate
