project_id,project_name,agency_owner,state,county_region,work_type,estimate_let_date,source_id,project_number,project_location_raw,contractor,district,terrain,bid_count,awarded_bid_total,award_index
cdot_2024q4_c014a_004,CO 14 & LCR 5 South,CDOT,CO,Colorado / CDOT District 4,Roadway,2024-10-24,cdot_cost_data_book_2024_q4,C014A-004,C014A-004 CO 14 & LCR 5 South,Adiona Transportation Solutions LLC,4,P,5,430695.90,86.14
cdot_2024q4_c0402_101,US 40 AND DOWNHILL DRIVE IN ST,CDOT,CO,Colorado / CDOT District 3,Roadway,2024-01-11,cdot_cost_data_book_2024_q4,C0402-101,C0402-101 US 40 AND DOWNHILL DRIVE IN ST,"OLDCASTLE SW GROUP, INC.",3,R,1,7587094.00,135.49
cdot_2024q4_c0502_089,US 50/US 285 INTERSECTION & US,CDOT,CO,Colorado / CDOT District 5,Roadway,2024-01-18,cdot_cost_data_book_2024_q4,C0502-089,C0502-089 US 50/US 285 INTERSECTION & US,"OLDCASTLE SW GROUP, INC.",5,M,2,7358619.25,97.91
cdot_2024q4_c052a_051,SH52 MP 54.58 TO 60.753,CDOT,CO,Colorado / CDOT District 4,Roadway,2024-10-31,cdot_cost_data_book_2024_q4,C052A-051,C052A-051 SH52 MP 54.58 TO 60.753,AB Underground,4,P,5,5188517.45,100.48
cdot_2024q4_c0761_251,I-76 & E-470,CDOT,CO,Colorado / CDOT District 6,Roadway,2024-03-15,cdot_cost_data_book_2024_q4,C0761-251,C0761-251 I-76 & E-470,"AMERICAN WEST CONSTRUCTION, LLC",6,U,1,159400.00,159.40
cdot_2024q4_c0821_119,R3 SH 82 GARFIELD COUNTY RED H,CDOT,CO,Colorado / CDOT District 3,Roadway,2024-11-21,cdot_cost_data_book_2024_q4,C0821-119,C0821-119 R3 SH 82 GARFIELD COUNTY RED H,ROCK SUPREMACY LLC,3,M,7,1589246.45,84.52
cdot_2024q4_c0841_009,SH 84 EMBANKMENT SLOPE FAILURE,CDOT,CO,Colorado / CDOT District 5,Roadway,2024-02-29,cdot_cost_data_book_2024_q4,C0841-009,C0841-009 SH 84 EMBANKMENT SLOPE FAILURE,"DRILL TECH DRILLING & SHORING, INC.",5,M,4,4430539.30,92.32
cdot_2024q4_c133a_054,SH133 Rockfall Mitigation MP21,CDOT,CO,Colorado / CDOT District 3,Roadway,2024-05-09,cdot_cost_data_book_2024_q4,C133A-054,C133A-054 SH133 Rockfall Mitigation MP21,Access Limited Construction,3,M,3,1961623.67,64.69
cdot_2024q4_c1601_085,US 160D MANCOS CO,CDOT,CO,Colorado / CDOT District 5,Roadway,2024-12-19,cdot_cost_data_book_2024_q4,C1601-085,C1601-085 US 160D MANCOS CO,"MORTON ELECTRIC, INC.",5,R,2,2172249.50,117.51
cdot_2024q4_c1602_191,US 160 MP 174.0 WOLF CREEK TUN,CDOT,CO,Colorado / CDOT District 5,Roadway,2024-08-08,cdot_cost_data_book_2024_q4,C1602-191,C1602-191 US 160 MP 174.0 WOLF CREEK TUN,WILLIAMS CONSTRUCTION CONTRACTORS,5,M,1,986914.05,86.65
cdot_2024q4_c2852_024,"HWY 24, 50, 160, & 285",CDOT,CO,Colorado / CDOT District 5,Roadway,2024-01-25,cdot_cost_data_book_2024_q4,C2852-024,"C2852-024 HWY 24, 50, 160, & 285","AMERICAN WEST CONSTRUCTION, LLC",5,R,2,1957891.00,111.09
cdot_2024q4_c5502_113,US 550 WALL MP 56.7 & DEER CRE,CDOT,CO,Colorado / CDOT District 5,Roadway,2024-11-14,cdot_cost_data_book_2024_q4,C5502-113,C5502-113 US 550 WALL MP 56.7 & DEER CRE,"Myers & Sons Construction, LLC",5,M,4,3486780.52,80.65
cdot_2024q4_c5502_114,US 550 & 14TH ST DURANGO- MP 2,CDOT,CO,Colorado / CDOT District 5,Roadway,2024-02-15,cdot_cost_data_book_2024_q4,C5502-114,C5502-114 US 550 & 14TH ST DURANGO- MP 2,"MORTON ELECTRIC, INC.",5,U,2,1469215.00,110.99
