bid_tab_item_id,source_item_code,source_item_description,unit_normalized,candidate_agency_item_code,candidate_description,candidate_unit,candidate_count,suggestion_status
fhu_lincoln_jordan_20250218_row_0063,210-00831,RESET TRAFFIC SIGNAL HEAD,EACH,210-00831,Reset Traffic Signal Head,EACH,1,single_exact_description_unit_candidate
fhu_lincoln_jordan_20250218_row_0064,210-00860,RESET PEDESTRIAN PUSH BUTTON,EACH,210-00860,Reset Pedestrian Push Button,EACH,1,single_exact_description_unit_candidate
fhu_lincoln_jordan_20250218_row_0065,210-00867,RESET FIRE PREEMPTION UNIT,EACH,210-00867,Reset Fire Preemption Unit,EACH,1,single_exact_description_unit_candidate
fhu_lincoln_jordan_20250218_row_0066,210-00890,RESET INTERSECTION DETECTION SYSTEM (CAMERA),EACH,210-00890,Reset Intersection Detection System (Camera),EACH,1,single_exact_description_unit_candidate
fhu_lincoln_jordan_20250218_row_0068,210-04010,ADJUST MANHOLE,EACH,210-04010,Adjust Manhole,EACH,1,single_exact_description_unit_candidate
fhu_lincoln_jordan_20250218_row_0069,210-04015,MODIFY MANHOLE,EACH,210-04015,Modify Manhole,EACH,1,single_exact_description_unit_candidate
fhu_lincoln_jordan_20250218_row_0070,210-04050,ADJUST VALVE BOX,EACH,210-04050,Adjust Valve Box,EACH,1,single_exact_description_unit_candidate
fhu_lincoln_jordan_20250218_row_0071,210-04060,ADJUST WATER METER,EACH,210-04060,Adjust Water Meter,EACH,1,single_exact_description_unit_candidate
fhu_lincoln_jordan_20250218_row_0072,211-03005,DEWATERING,L S,211-03005,Dewatering,L S,1,single_exact_description_unit_candidate
fhu_lincoln_jordan_20250218_row_0077,213-00070,LANDSCAPE WEED BARRIER FABRIC,SY,213-00070,Landscape Weed Barrier Fabric,SY,1,single_exact_description_unit_candidate
fhu_lincoln_jordan_20250218_row_0080,213-00700,LANDSCAPE BOULDER,EACH,213-00700,Landscape Boulder,EACH,1,single_exact_description_unit_candidate
fhu_lincoln_jordan_20250218_row_0084,217-00020,HERBICIDE TREATMENT,HOUR,217-00020,Herbicide Treatment,HOUR,1,single_exact_description_unit_candidate
fhu_lincoln_jordan_20250218_row_0085,240-00000,WILDLIFE BIOLOGIST,HOUR,240-00000,Wildlife Biologist,HOUR,1,single_exact_description_unit_candidate
fhu_lincoln_jordan_20250218_row_0086,240-00010,REMOVAL OF NESTS,HOUR,240-00010,Removal of Nests,HOUR,1,single_exact_description_unit_candidate
fhu_lincoln_jordan_20250218_row_0087,240-00020,NETTING,SY,240-00020,Netting,SY,1,single_exact_description_unit_candidate
fhu_lincoln_jordan_20250218_row_0088,240-00100,PRAIRIE DOG MANAGEMENT,L S,240-00100,Prairie Dog Management,L S,1,single_exact_description_unit_candidate
fhu_lincoln_jordan_20250218_row_0089,304-06000,AGGREGATE BASE COURSE (CLASS 6),TON,304-06000,Aggregate Base Course (Class 6),TON,1,single_exact_description_unit_candidate
fhu_lincoln_jordan_20250218_row_0090,403-00721,HOT MIX ASPHALT (PATCHING) (ASPHALT),SY,403-00721,Hot Mix Asphalt (Patching) (Asphalt),SY,1,single_exact_description_unit_candidate
fhu_lincoln_jordan_20250218_row_0092,403-33741,HOT MIX ASPHALT (GRADING S) (75) (PG 64-22),TON,403-33741,Hot Mix Asphalt (Grading S) (75) (PG 64-22),TON,1,single_exact_description_unit_candidate
fhu_lincoln_jordan_20250218_row_0093,403-34741,HOT MIX ASPHALT (GRADING SX) (75) (PG 64-22),TON,403-34741,Hot Mix Asphalt (Grading SX) (75) (PG 64-22),TON,1,single_exact_description_unit_candidate
fhu_lincoln_jordan_20250218_row_0095,412-00900,CONCRETE PAVEMENT (9 INCH),SY,412-00900,Concrete Pavement (9 Inch),SY,1,single_exact_description_unit_candidate
fhu_lincoln_jordan_20250218_row_0096,420-00520,GEOGRID PAVEMENT REINFORCEMENT,SY,420-00520,Geogrid Pavement Reinforcement,SY,1,single_exact_description_unit_candidate
fhu_lincoln_jordan_20250218_row_0097,502-00460,PILE TIP,EACH,502-00460,Pile Tip,EACH,1,single_exact_description_unit_candidate
fhu_lincoln_jordan_20250218_row_0098,502-00500,COMPLETE JOINT PENETRATION (CJP) SPLICE,EACH,502-00500,Complete Joint Penetration (CJP) Splice,EACH,1,single_exact_description_unit_candidate
fhu_lincoln_jordan_20250218_row_0099,502-02010,DYNAMIC PILE TEST,EACH,502-02010,Dynamic Pile Test,EACH,1,single_exact_description_unit_candidate
fhu_lincoln_jordan_20250218_row_0107,506-00209,RIPRAP (9 INCH),CY,506-00209,Riprap (9 Inch),CY,1,single_exact_description_unit_candidate
fhu_lincoln_jordan_20250218_row_0108,506-00212,RIPRAP (12 INCH),CY,506-00212,Riprap (12 Inch),CY,1,single_exact_description_unit_candidate
fhu_lincoln_jordan_20250218_row_0109,506-00409,SOIL RIPRAP (9 INCH),CY,506-00409,Soil Riprap (9 Inch),CY,1,single_exact_description_unit_candidate
fhu_lincoln_jordan_20250218_row_0110,507-00000,CONCRETE SLOPE AND DITCH PAVING,CY,507-00000,Concrete Slope and Ditch Paving,CY,1,single_exact_description_unit_candidate
fhu_lincoln_jordan_20250218_row_0112,515-00120,WATERPROOFING (MEMBRANE),SY,515-00120,Waterproofing (Membrane),SY,1,single_exact_description_unit_candidate
fhu_lincoln_jordan_20250218_row_0113,515-00400,CONCRETE SEALER,SY,515-00400,Concrete Sealer,SY,1,single_exact_description_unit_candidate
fhu_lincoln_jordan_20250218_row_0115,601-03040,CONCRETE CLASS D (BRIDGE),CY,601-03040,Concrete Class D (Bridge),CY,1,single_exact_description_unit_candidate
fhu_lincoln_jordan_20250218_row_0116,601-03050,CONCRETE CLASS D (WALL),CY,601-03050,Concrete Class D (Wall),CY,1,single_exact_description_unit_candidate
fhu_lincoln_jordan_20250218_row_0120,601-40300,STRUCTURAL CONCRETE COATING,SY,601-40300,Structural Concrete Coating,SY,1,single_exact_description_unit_candidate
fhu_lincoln_jordan_20250218_row_0121,602-00000,REINFORCING STEEL,LB,602-00000,Reinforcing Steel,LB,1,single_exact_description_unit_candidate
fhu_lincoln_jordan_20250218_row_0122,602-00020,REINFORCING STEEL (EPOXY COATED),LB,602-00020,Reinforcing Steel (Epoxy Coated),LB,1,single_exact_description_unit_candidate
fhu_lincoln_jordan_20250218_row_0128,603-05018,18 INCH REINFORCED CONCRETE END SECTION,EACH,603-05018,18 Inch Reinforced Concrete End Section,EACH,1,single_exact_description_unit_candidate
fhu_lincoln_jordan_20250218_row_0129,603-05024,24 INCH REINFORCED CONCRETE END SECTION,EACH,603-05024,24 Inch Reinforced Concrete End Section,EACH,1,single_exact_description_unit_candidate
fhu_lincoln_jordan_20250218_row_0130,603-05060,60 INCH REINFORCED CONCRETE END SECTION,EACH,603-05060,60 Inch Reinforced Concrete End Section,EACH,1,single_exact_description_unit_candidate
fhu_lincoln_jordan_20250218_row_0131,604-00305,INLET TYPE C (5 FOOT),EACH,604-00305,Inlet Type C (5 Foot),EACH,1,single_exact_description_unit_candidate
fhu_lincoln_jordan_20250218_row_0132,604-00310,INLET TYPE C (10 FOOT),EACH,604-00310,Inlet Type C (10 Foot),EACH,1,single_exact_description_unit_candidate
fhu_lincoln_jordan_20250218_row_0133,604-00550,INLET TYPE D (SPECIAL),EACH,604-00550,Inlet Type D (Special),EACH,1,single_exact_description_unit_candidate
fhu_lincoln_jordan_20250218_row_0136,604-19105,INLET TYPE R L 5 (5 FOOT),EACH,604-19105,Inlet Type R L 5 (5 Foot),EACH,1,single_exact_description_unit_candidate
fhu_lincoln_jordan_20250218_row_0137,604-19110,INLET TYPE R L 5 (10 FOOT),EACH,604-19110,Inlet Type R L 5 (10 Foot),EACH,1,single_exact_description_unit_candidate
fhu_lincoln_jordan_20250218_row_0138,604-19205,INLET TYPE R L 10 (5 FOOT),EACH,604-19205,Inlet Type R L 10 (5 Foot),EACH,1,single_exact_description_unit_candidate
fhu_lincoln_jordan_20250218_row_0139,604-19210,INLET TYPE R L 10 (10 FOOT),EACH,604-19210,Inlet Type R L 10 (10 Foot),EACH,1,single_exact_description_unit_candidate
fhu_lincoln_jordan_20250218_row_0140,604-19305,INLET TYPE R L 15 (5 FOOT),EACH,604-19305,Inlet Type R L 15 (5 Foot),EACH,1,single_exact_description_unit_candidate
