project_id,project_name,agency_owner,state,county_region,work_type,estimate_let_date,source_id,project_number,project_location_raw,contractor,district,terrain,bid_count,awarded_bid_total,award_index
cdot_2025q4_2670171_111,SH 17 FROM APPROXIMATE MP 2.4,CDOT,CO,Colorado / CDOT District 5,Roadway,2025-12-04,cdot_cost_data_book_2025_q4,2670171-111,2670171-111 SH 17 FROM APPROXIMATE MP 2.4,"OLDCASTLE SW GROUP, INC.",5,R,1,9174121.50,105.58
cdot_2025q4_2670252_499,I-25:MOBILITY HUB (LONE TREE),CDOT,CO,Colorado / CDOT District 1,Roadway,2025-01-16,cdot_cost_data_book_2025_q4,2670252-499,2670252-499 I-25:MOBILITY HUB (LONE TREE),"STRUCTURES, INC.",1,R,6,16509889.28,142.33
cdot_2025q4_br0402_109,US40 MP 108.4 OVER SHELTON DIT,CDOT,CO,Colorado / CDOT District 3,Roadway,2025-12-18,cdot_cost_data_book_2025_q4,BR0402-109,BR0402-109 US40 MP 108.4 OVER SHELTON DIT,"OLDCASTLE SW GROUP, INC.",3,M,5,2440781.14,152.07
cdot_2025q4_br0704_265,I-70 EAST,CDOT,CO,Colorado / CDOT District 1,Roadway,2025-07-24,cdot_cost_data_book_2025_q4,BR0704-265,BR0704-265 I-70 EAST,"STRUCTURES, INC.",1,R,4,7235022.57,99.21
cdot_2025q4_br0761_249,I-76,CDOT,CO,Colorado / CDOT District 4,Roadway,2025-02-27,cdot_cost_data_book_2025_q4,BR0761-249,BR0761-249 I-76,RDZ Build,4,U,6,3259684.20,101.57
cdot_2025q4_brr100_400,"VAR LOCATIONS R1 I25, I225 & I",CDOT,CO,Colorado / CDOT District 1,Roadway,2025-02-06,cdot_cost_data_book_2025_q4,BRR100-400,"BRR100-400 VAR LOCATIONS R1 I25, I225 & I",Native Sun Materials Inc,1,U,4,2684443.68,76.70
cdot_2025q4_c0063_067,US 6 PALISADE IMPROVEMENTS MP,CDOT,CO,Colorado / CDOT District 3,Roadway,2025-10-30,cdot_cost_data_book_2025_q4,C0063-067,C0063-067 US 6 PALISADE IMPROVEMENTS MP,"KSK, LLC",3,U,6,7160000.00,84.32
cdot_2025q4_c0142_070,SH 14 MP 75.5-85,CDOT,CO,Colorado / CDOT District 4,Roadway,2025-08-14,cdot_cost_data_book_2025_q4,C0142-070,C0142-070 SH 14 MP 75.5-85,"SUBSURFACE, INC",4,M,3,196525.00,71.58
cdot_2025q4_c0405_042,"US 40 IN DEER TRAIL, PINE ST T",CDOT,CO,Colorado / CDOT District 1,Roadway,2025-06-05,cdot_cost_data_book_2025_q4,C0405-042,"C0405-042 US 40 IN DEER TRAIL, PINE ST T","Myers & Sons Construction, LLC",1,R,5,672753.24,140.16
cdot_2025q4_c0821_113,CO-82 & Catherine Store Signal,CDOT,CO,Colorado / CDOT District 3,Roadway,2025-04-17,cdot_cost_data_book_2025_q4,C0821-113,C0821-113 CO-82 & Catherine Store Signal,"MORTON ELECTRIC, INC.",3,M,1,635240.00,103.20
