bid_tab_item_id,project_id,source_id,source_file,sheet_name,workbook_row,project_number,source_item_number,source_item_code,source_item_code_system,source_spec_raw,source_item_description,item_code,item_description,unit_raw,unit_normalized,quantity,engineer_estimate_unit_price,average_bid_unit_price,matched_agency_item_code,match_status,date_basis
fhu_arapahoe_big_dry_creek_20210924_row_0014,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,2021 09 21 Bids Arapahoe Road over Big Dry Creek_BID FORM.xlsx,Bid Form,14,IFB 21-09-02,,202-00202,CDOT,202-00202,REMOVAL OF GUTTER,202-00202,REMOVAL OF GUTTER,LF,LF,99.00,20.00,13.96,202-00202,matched,2021-09-24
fhu_arapahoe_big_dry_creek_20210924_row_0015,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,2021 09 21 Bids Arapahoe Road over Big Dry Creek_BID FORM.xlsx,Bid Form,15,IFB 21-09-02,,202-00203,CDOT,202-00203,REMOVAL OF CURB AND GUTTER,202-00203,REMOVAL OF CURB AND GUTTER,LF,LF,1759.00,10.00,7.62,202-00203,matched,2021-09-24
fhu_arapahoe_big_dry_creek_20210924_row_0016,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,2021 09 21 Bids Arapahoe Road over Big Dry Creek_BID FORM.xlsx,Bid Form,16,IFB 21-09-02,,202-00206,CDOT,202-00206,REMOVAL OF CONCRETE CURB RAMP,202-00206,REMOVAL OF CONCRETE CURB RAMP,SY,SY,36.00,30.00,29.76,202-00206,matched,2021-09-24
fhu_arapahoe_big_dry_creek_20210924_row_0017,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,2021 09 21 Bids Arapahoe Road over Big Dry Creek_BID FORM.xlsx,Bid Form,17,IFB 21-09-02,,202-00210,CDOT,202-00210,REMOVAL OF CONCRETE PAVEMENT,202-00210,REMOVAL OF CONCRETE PAVEMENT,SY,SY,20.00,60.00,34.57,202-00210,matched,2021-09-24
fhu_arapahoe_big_dry_creek_20210924_row_0018,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,2021 09 21 Bids Arapahoe Road over Big Dry Creek_BID FORM.xlsx,Bid Form,18,IFB 21-09-02,,202-00220,CDOT,202-00220,REMOVAL OF ASPHALT MAT,202-00220,REMOVAL OF ASPHALT MAT,SY,SY,8880.00,6.00,10.23,202-00220,matched,2021-09-24
fhu_arapahoe_big_dry_creek_20210924_row_0019,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,2021 09 21 Bids Arapahoe Road over Big Dry Creek_BID FORM.xlsx,Bid Form,19,IFB 21-09-02,,202-00250,CDOT,202-00250,REMOVAL OF PAVEMENT MARKING,202-00250,REMOVAL OF PAVEMENT MARKING,SF,SF,456.00,1.50,4.55,202-00250,matched,2021-09-24
fhu_arapahoe_big_dry_creek_20210924_row_0020,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,2021 09 21 Bids Arapahoe Road over Big Dry Creek_BID FORM.xlsx,Bid Form,20,IFB 21-09-02,,202-00400,CDOT,202-00400,REMOVAL OF BRIDGE,202-00400,REMOVAL OF BRIDGE,EA,EACH,1.00,40000.00,116645.72,202-00400,matched,2021-09-24
fhu_arapahoe_big_dry_creek_20210924_row_0021,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,2021 09 21 Bids Arapahoe Road over Big Dry Creek_BID FORM.xlsx,Bid Form,21,IFB 21-09-02,,202-00810,CDOT,202-00810,REMOVAL OF GROUND SIGN,202-00810,REMOVAL OF GROUND SIGN,EACH,EACH,15.00,75.00,154.42,202-00810,matched,2021-09-24
fhu_arapahoe_big_dry_creek_20210924_row_0022,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,2021 09 21 Bids Arapahoe Road over Big Dry Creek_BID FORM.xlsx,Bid Form,22,IFB 21-09-02,,202-01000,CDOT,202-01000,REMOVAL OF FENCE,202-01000,REMOVAL OF FENCE,LF,LF,72.00,10.00,20.12,202-01000,matched,2021-09-24
fhu_arapahoe_big_dry_creek_20210924_row_0023,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,2021 09 21 Bids Arapahoe Road over Big Dry Creek_BID FORM.xlsx,Bid Form,23,IFB 21-09-02,,202-01175,CDOT,202-01175,REMOVAL OF GUARDRAIL (SPECIAL),202-01175,REMOVAL OF GUARDRAIL (SPECIAL),LF,LF,248.00,50.00,20.17,202-01175,matched,2021-09-24
