bid_tab_item_id,project_id,source_id,source_file,sheet_name,workbook_row,project_number,source_item_number,source_item_code,source_item_code_system,source_spec_raw,source_item_description,item_code,item_description,unit_raw,unit_normalized,quantity,engineer_estimate_unit_price,average_bid_unit_price,matched_agency_item_code,match_status,date_basis,engineer_estimate_quantity,audit_estimate_unit_price,audit_estimate_extended_price
fhu_lincoln_jordan_20250218_row_0016,fhu_bid_tab_lincoln_jordan_2025_02_18,fhu_bid_tab_lincoln_jordan_2025_02_18,Cost Estimate Data Tracking-MASTER.xlsx,Lincoln-Jordan,16,FHU-LINCOLN-JORDAN,14,202-00212,CDOT,202-00212,REMOVAL OF CONCRETE (SPECIAL),202-00212,REMOVAL OF CONCRETE (SPECIAL),Square Yard,SY,359,70.00,28.50,202-00212,matched,2025-02-18,359,,
fhu_lincoln_jordan_20250218_row_0017,fhu_bid_tab_lincoln_jordan_2025_02_18,fhu_bid_tab_lincoln_jordan_2025_02_18,Cost Estimate Data Tracking-MASTER.xlsx,Lincoln-Jordan,17,FHU-LINCOLN-JORDAN,15,202-00220,CDOT,202-00220,REMOVAL OF ASPHALT MAT,202-00220,REMOVAL OF ASPHALT MAT,Square Yard,SY,7141,12.00,21.39,202-00220,matched,2025-02-18,7141,,
fhu_lincoln_jordan_20250218_row_0018,fhu_bid_tab_lincoln_jordan_2025_02_18,fhu_bid_tab_lincoln_jordan_2025_02_18,Cost Estimate Data Tracking-MASTER.xlsx,Lincoln-Jordan,18,FHU-LINCOLN-JORDAN,16,202-00240,CDOT,202-00240,REMOVAL OF ASPHALT MAT (PLANING),202-00240,REMOVAL OF ASPHALT MAT (PLANING),Square Yard,SY,604,4.00,13.32,202-00240,matched,2025-02-18,604,,
fhu_lincoln_jordan_20250218_row_0019,fhu_bid_tab_lincoln_jordan_2025_02_18,fhu_bid_tab_lincoln_jordan_2025_02_18,Cost Estimate Data Tracking-MASTER.xlsx,Lincoln-Jordan,19,FHU-LINCOLN-JORDAN,17,202-00495,CDOT,202-00495,REMOVAL OF PORTIONS OF PRESENT STRUCTURE,202-00495,REMOVAL OF PORTIONS OF PRESENT STRUCTURE,Lump-Sum,L S,0.7,30000.00,444468.09,202-00495,matched,2025-02-18,0.7,,
fhu_lincoln_jordan_20250218_row_0020,fhu_bid_tab_lincoln_jordan_2025_02_18,fhu_bid_tab_lincoln_jordan_2025_02_18,Cost Estimate Data Tracking-MASTER.xlsx,Lincoln-Jordan,20,FHU-LINCOLN-JORDAN,18,202-00810,CDOT,202-00810,REMOVAL OF GROUND SIGN,202-00810,REMOVAL OF GROUND SIGN,Each,EACH,39,200.00,124.81,202-00810,matched,2025-02-18,39,,
fhu_lincoln_jordan_20250218_row_0021,fhu_bid_tab_lincoln_jordan_2025_02_18,fhu_bid_tab_lincoln_jordan_2025_02_18,Cost Estimate Data Tracking-MASTER.xlsx,Lincoln-Jordan,21,FHU-LINCOLN-JORDAN,19,202-00828,CDOT,202-00828,REMOVAL OF TRAFFIC SIGNAL EQUIPMENT,202-00828,REMOVAL OF TRAFFIC SIGNAL EQUIPMENT,Lump-Sum,L S,1,25000.00,55272.43,202-00828,matched,2025-02-18,1,,
fhu_lincoln_jordan_20250218_row_0022,fhu_bid_tab_lincoln_jordan_2025_02_18,fhu_bid_tab_lincoln_jordan_2025_02_18,Cost Estimate Data Tracking-MASTER.xlsx,Lincoln-Jordan,22,FHU-LINCOLN-JORDAN,20,202-01130,CDOT,202-01130,REMOVAL OF GUARDRAIL TYPE 3,202-01130,REMOVAL OF GUARDRAIL TYPE 3,Linear Foot/Feet,LINEAR FOOT/FEET,1690,12.00,10.69,202-01130,matched,2025-02-18,1690,,
fhu_lincoln_jordan_20250218_row_0023,fhu_bid_tab_lincoln_jordan_2025_02_18,fhu_bid_tab_lincoln_jordan_2025_02_18,Cost Estimate Data Tracking-MASTER.xlsx,Lincoln-Jordan,23,FHU-LINCOLN-JORDAN,21,202-01300,CDOT,202-01300,REMOVAL OF END ANCHORAGE,202-01300,REMOVAL OF END ANCHORAGE,Each,EACH,8,400.00,429.14,202-01300,matched,2025-02-18,8,,
fhu_lincoln_jordan_20250218_row_0024,fhu_bid_tab_lincoln_jordan_2025_02_18,fhu_bid_tab_lincoln_jordan_2025_02_18,Cost Estimate Data Tracking-MASTER.xlsx,Lincoln-Jordan,24,FHU-LINCOLN-JORDAN,22,203-00010,CDOT,203-00010,UNCLASSIFIED EXCAVATION (COMPLETE IN PLACE),203-00010,UNCLASSIFIED EXCAVATION (COMPLETE IN PLACE),Cubic Yard,CY,23500,25.00,26.53,203-00010,matched,2025-02-18,23500,,
fhu_lincoln_jordan_20250218_row_0025,fhu_bid_tab_lincoln_jordan_2025_02_18,fhu_bid_tab_lincoln_jordan_2025_02_18,Cost Estimate Data Tracking-MASTER.xlsx,Lincoln-Jordan,25,FHU-LINCOLN-JORDAN,23,203-00050,CDOT,203-00050,UNSUITABLE MATERIAL,203-00050,UNSUITABLE MATERIAL,Cubic Yard,CY,300,60.00,52.55,203-00050,matched,2025-02-18,300,,
fhu_lincoln_jordan_20250218_row_0026,fhu_bid_tab_lincoln_jordan_2025_02_18,fhu_bid_tab_lincoln_jordan_2025_02_18,Cost Estimate Data Tracking-MASTER.xlsx,Lincoln-Jordan,26,FHU-LINCOLN-JORDAN,24,203-01597,CDOT,203-01597,POTHOLING,203-01597,POTHOLING,Hour,HOUR,100,400.00,340.58,203-01597,matched,2025-02-18,100,,
fhu_lincoln_jordan_20250218_row_0027,fhu_bid_tab_lincoln_jordan_2025_02_18,fhu_bid_tab_lincoln_jordan_2025_02_18,Cost Estimate Data Tracking-MASTER.xlsx,Lincoln-Jordan,27,FHU-LINCOLN-JORDAN,25,206-00000,CDOT,206-00000,STRUCTURE EXCAVATION,206-00000,STRUCTURE EXCAVATION,Cubic Yard,CY,1405,20.00,55.68,206-00000,matched,2025-02-18,1405,,
