project_id,project_name,agency_owner,state,county_region,work_type,estimate_let_date,source_id,project_number,project_location_raw,contractor,district,terrain,bid_count,awarded_bid_total,award_index
cdot_2023q4_2670831_129,SH 83 AT SH 88,CDOT,CO,Colorado / CDOT District 1,Roadway,2023-09-28,cdot_cost_data_book_2023_q4,2670831-129,2670831-129 SH 83 AT SH 88,"TechCon Infrastructure, LLC",1,U,6,1094668.00,91.22
cdot_2023q4_brm322_040,US34 EAST OF LAIRD,CDOT,CO,Colorado / CDOT District 4,Roadway,2023-11-28,cdot_cost_data_book_2023_q4,BRM322-040,BRM322-040 US34 EAST OF LAIRD,LAWRENCE CONSTRUCTION CO.,4,P,1,7895616.07,101.38
cdot_2023q4_brm322_041,US 34 EAST OF LAIRD,CDOT,CO,Colorado / CDOT District 4,Roadway,2023-11-28,cdot_cost_data_book_2023_q4,BRM322-041,BRM322-041 US 34 EAST OF LAIRD,LAWRENCE CONSTRUCTION CO.,4,P,1,7895616.07,101.38
cdot_2023q4_c_0063_061,"US6B MM 31 - MM 32.6, MESA COU",CDOT,CO,Colorado / CDOT District 3,Roadway,2023-09-07,cdot_cost_data_book_2023_q4,C 0063-061,"C 0063-061 US6B MM 31 - MM 32.6, MESA COU","MORTON ELECTRIC, INC.",3,U,2,2940328.00,98.94
cdot_2023q4_c_1601_086,MAPLE & CHESTNUT SIGNALS AT IN,CDOT,CO,Colorado / CDOT District 5,Roadway,2023-02-16,cdot_cost_data_book_2023_q4,C 1601-086,C 1601-086 MAPLE & CHESTNUT SIGNALS AT IN,"Bixby Electric, Inc.",5,U,1,1634083.00,125.39
cdot_2023q4_c0342_066,US 034A (MP 113-150),CDOT,CO,Colorado / CDOT District 4,Roadway,2023-02-02,cdot_cost_data_book_2023_q4,C0342-066,C0342-066 US 034A (MP 113-150),Lumin8 Transportation Tech.,4,P,3,558097.50,117.53
cdot_2023q4_c0701_226,"OFF OF I-70, EXIT 105, AT THE",CDOT,CO,Colorado / CDOT District 3,Roadway,2023-11-30,cdot_cost_data_book_2023_q4,C0701-226,"C0701-226 OFF OF I-70, EXIT 105, AT THE","JOHNSON CONSTRUCTION, INC.",3,M,4,6735433.99,81.63
cdot_2023q4_c0703_496,I-70 FROM I-76 TO PECOS IN DEN,CDOT,CO,Colorado / CDOT District 6,Roadway,2023-12-07,cdot_cost_data_book_2023_q4,C0703-496,C0703-496 I-70 FROM I-76 TO PECOS IN DEN,"HAMON INFRASTRUCTURE, INC.",6,U,7,18405711.55,107.01
cdot_2023q4_c0703_498,EISENHOWER JOHNSON MEMORIAL TU,CDOT,CO,Colorado / CDOT District 1,Roadway,2023-02-16,cdot_cost_data_book_2023_q4,C0703-498,C0703-498 EISENHOWER JOHNSON MEMORIAL TU,"AMERICAN WEST CONSTRUCTION, LLC",1,M,3,6596527.00,119.84
cdot_2023q4_c0703_529,EISENHOWER-JOHNSON MEMORIAL TU,CDOT,CO,Colorado / CDOT District 1,Roadway,2023-07-19,cdot_cost_data_book_2023_q4,C0703-529,C0703-529 EISENHOWER-JOHNSON MEMORIAL TU,ENGINEERING AND CONSTRUCTION,1,M,2,23979880.00,111.51
cdot_2023q4_c0881_036,R1 CURB RAMPS-SH88B & US285D,CDOT,CO,Colorado / CDOT District 6,Roadway,2023-02-16,cdot_cost_data_book_2023_q4,C0881-036,C0881-036 R1 CURB RAMPS-SH88B & US285D,"KSK, LLC",6,U,4,2475000.00,68.75
cdot_2023q4_c133a_052,SH 133 ROCKFALL N OF MCCLURE P,CDOT,CO,Colorado / CDOT District 3,Roadway,2023-02-16,cdot_cost_data_book_2023_q4,C133A-052,C133A-052 SH 133 ROCKFALL N OF MCCLURE P,Meridian Engineering Co.,3,M,4,3896461.00,130.03
cdot_2023q4_c133a_055,SH133 SLOPE STABILIZATION MP21,CDOT,CO,Colorado / CDOT District 3,Roadway,2023-05-11,cdot_cost_data_book_2023_q4,C133A-055,C133A-055 SH133 SLOPE STABILIZATION MP21,WILLIAMS CONSTRUCTION CONTRACTORS,3,M,2,3369252.14,94.35
cdot_2023q4_c133a_057,SH 133 MP 16.2,CDOT,CO,Colorado / CDOT District 3,Roadway,2023-05-16,cdot_cost_data_book_2023_q4,C133A-057,C133A-057 SH 133 MP 16.2,"RALPH L. WADSWORTH CONSTRUCTION CO., LLC",3,M,1,1982586.35,280.13
cdot_2023q4_c145a_082,OPHIR,CDOT,CO,Colorado / CDOT District 5,Roadway,2023-11-09,cdot_cost_data_book_2023_q4,C145A-082,C145A-082 OPHIR,WILLIAMS CONSTRUCTION CONTRACTORS,5,M,5,2276811.91,90.74
cdot_2023q4_c1601_084,US 160 SECTION3 PRIORITY CULVE,CDOT,CO,Colorado / CDOT District 5,Roadway,2023-02-16,cdot_cost_data_book_2023_q4,C1601-084,C1601-084 US 160 SECTION3 PRIORITY CULVE,"AMERICAN WEST CONSTRUCTION, LLC",5,M,2,2095832.00,104.61
cdot_2023q4_c5502_110,US550 MP 109.5 TO MP 116.5 IN,CDOT,CO,Colorado / CDOT District 5,Roadway,2023-12-07,cdot_cost_data_book_2023_q4,C5502-110,C5502-110 US550 MP 109.5 TO MP 116.5 IN,"FNF CONSTRUCTION, INC.",5,R,3,7017550.00,72.65
cdot_2023q4_cr100_378,US 285: US 85 TO SH 177,CDOT,CO,Colorado / CDOT District 1,Roadway,2023-10-26,cdot_cost_data_book_2023_q4,CR100-378,CR100-378 US 285: US 85 TO SH 177,"LIGHTHOUSE TRANSPORTATION GROUP, LLC",1,U,3,1202622.29,85.90
cdot_2023q4_cr400_393,LONGMONT,CDOT,CO,Colorado / CDOT District 4,Roadway,2023-07-20,cdot_cost_data_book_2023_q4,CR400-393,CR400-393 LONGMONT,"STURGEON ELECTRIC COMPANY, INC",4,U,4,1190000.00,86.70
