warning
Resolved short agency item code 201 for CLEARING AND GRUBBING (L S) to 201-00000.
Resolved short agency item code 202 for REMOVAL OF TREE (EACH) to 202-00010.
Resolved short agency item code 202 for REMOVAL OF MEDIAN COVER (SY) to 202-00195.
Resolved short agency item code 202 for REMOVAL OF SIDEWALK (SY) to 202-00200.
Preserved nonstandard item code 202 for REMOVAL OF CURB (LINEAR FOOT/FEET); no exact compatible CDOT item match.
Preserved nonstandard item code 202 for REMOVAL OF CURB AND GUTTER (LINEAR FOOT/FEET); no exact compatible CDOT item match.
Resolved short agency item code 202 for REMOVAL OF CONCRETE CURB RAMP (SY) to 202-00206.
Resolved short agency item code 202 for REMOVAL OF CONCRETE PAVEMENT (SY) to 202-00210.
Resolved short agency item code 202 for REMOVAL OF LIGHT STANDARD (EACH) to 202-00700.
Resolved short agency item code 202 for REMOVAL OF GROUND SIGN (EACH) to 202-00810.
Resolved short agency item code 202 for REMOVAL OF PULL BOX (EACH) to 202-00827.
Resolved short agency item code 202 for REMOVAL OF TRAFFIC SIGNAL HEAD (EACH) to 202-00831.
Resolved short agency item code 202 for REMOVAL OF TRAFFIC SIGNAL POLE (EACH) to 202-00840.
Resolved short agency item code 203 for UNCLASSIFIED EXCAVATION (COMPLETE IN PLACE) (CY) to 203-00010.
Resolved short agency item code 203 for UNSUITABLE MATERIAL (CY) to 203-00050.
Resolved short agency item code 203 for POTHOLING (HOUR) to 203-01597.
Resolved short agency item code 207 for TOPSOIL (CY) to 207-00205.
Preserved nonstandard item code 208 for INLET PROTECTION CURB ON GRADE (EACH); no exact compatible CDOT item match.
Preserved nonstandard item code 208 for CULVERT PROTECTION (EACH); no exact compatible CDOT item match.
Resolved short agency item code 208 for CONCRETE WASHOUT STRUCTURE (EACH) to 208-00045.
Preserved nonstandard item code 208 for PORTABLE TOILET PROTECTION (EACH); no exact compatible CDOT item match.
Preserved nonstandard item code 208 for VEHICLE TRACKING CONTROL (PORTABLE) (EACH); no exact compatible CDOT item match.
Preserved nonstandard item code 208 for STABILIZED STAGING AREA (EACH); no exact compatible CDOT item match.
Preserved nonstandard item code 208 for SEDIMENT REMOVAL AND DISPOSAL (HOUR); no exact compatible CDOT item match.
Resolved short agency item code 208 for EROSION CONTROL MANAGEMENT (DAY) to 208-00207.
Resolved short agency item code 210 for RESET LUMINAIRE (EACH) to 210-00760.
Resolved short agency item code 210 for RESET GROUND SIGN (EACH) to 210-00810.
Resolved short agency item code 210 for RESET SIGN PANEL (SPECIAL) (EACH) to 210-00816.
Resolved short agency item code 210 for RESET PULL BOX (EACH) to 210-00827.
Resolved short agency item code 210 for RESET PEDESTRIAN PUSH BUTTON (EACH) to 210-00860.
Resolved short agency item code 210 for RESET AIR VENT (EACH) to 210-01720.
Resolved short agency item code 210 for MODIFY INLET (EACH) to 210-04020.
Resolved short agency item code 210 for ADJUST VALVE BOX (EACH) to 210-04050.
Preserved nonstandard item code 212 for SOD (SQUARE FOOT/FEET); no exact compatible CDOT item match.
Preserved nonstandard item code 213 for MULCHING (WOOD CHIP) (CUBIC FOOT/FEET); no exact compatible CDOT item match.
Resolved short agency item code 213 for LANDSCAPE WEED BARRIER FABRIC (SY) to 213-00070.
Preserved nonstandard item code 213 for DECIDUOUS TREE (2 INCH CALIPER) (EACH); no exact compatible CDOT item match.
Preserved nonstandard item code 214 for DECIDUOUS SHRUB (5 GALLON) (EACH); no exact compatible CDOT item match.
