bid_tab_item_id,source_item_code,source_item_description,unit_normalized,candidate_agency_item_code,candidate_description,candidate_unit,candidate_count,suggestion_status
fhu_west_colfax_phase_2_20260123_row_0041,208-00051,STORM DRAIN INLET PROTECTION (TYPE I),LF,208-00051,Storm Drain Inlet Protection (Type I),LF,1,single_exact_description_unit_candidate
fhu_west_colfax_phase_2_20260123_row_0042,208-00052,STORM DRAIN INLET PROTECTION (TYPE II),LF,208-00052,Storm Drain Inlet Protection (Type II),LF,1,single_exact_description_unit_candidate
fhu_west_colfax_phase_2_20260123_row_0043,208-00075,PRE-FABRICATED VEHICLE TRACKING PAD,EACH,208-00075,Pre-fabricated Vehicle Tracking Pad,EACH,1,single_exact_description_unit_candidate
fhu_west_colfax_phase_2_20260123_row_0044,208-00106,SWEEPING (SEDIMENT REMOVAL),HOUR,208-00106,Sweeping (Sediment Removal),HOUR,1,single_exact_description_unit_candidate
fhu_west_colfax_phase_2_20260123_row_0045,210-00001,RESET STRUCTURE,EACH,210-00001,Reset Structure,EACH,1,single_exact_description_unit_candidate
fhu_west_colfax_phase_2_20260123_row_0046,210-00050,RESET FIRE HYDRANT,EACH,210-00050,Reset Fire Hydrant,EACH,1,single_exact_description_unit_candidate
fhu_west_colfax_phase_2_20260123_row_0047,210-00473,RESET TV CAMERAS,EACH,210-00473,Reset TV Cameras,EACH,1,single_exact_description_unit_candidate
fhu_west_colfax_phase_2_20260123_row_0048,210-00479,RESET RADIO COMMUNICATION ANTENNA,EACH,210-00479,Reset Radio Communication Antenna,EACH,1,single_exact_description_unit_candidate
fhu_west_colfax_phase_2_20260123_row_0049,210-00530,REBUILD PORTIONS OF PRESENT STRUCTURE,SF,210-00530,Rebuild Portions of Present Structure,SF,1,single_exact_description_unit_candidate
fhu_west_colfax_phase_2_20260123_row_0050,210-00815,RESET SIGN PANEL,EACH,210-00815,Reset Sign Panel,EACH,1,single_exact_description_unit_candidate
fhu_west_colfax_phase_2_20260123_row_0051,210-00867,RESET FIRE PREEMPTION UNIT,EACH,210-00867,Reset Fire Preemption Unit,EACH,1,single_exact_description_unit_candidate
fhu_west_colfax_phase_2_20260123_row_0052,210-00882,RESET TRAFFIC SIGNAL VEHICLE DETECTOR,EACH,210-00882,Reset Traffic Signal Vehicle Detector,EACH,1,single_exact_description_unit_candidate
fhu_west_colfax_phase_2_20260123_row_0053,210-04010,ADJUST MANHOLE,EACH,210-04010,Adjust Manhole,EACH,1,single_exact_description_unit_candidate
fhu_west_colfax_phase_2_20260123_row_0054,210-04015,MODIFY MANHOLE,EACH,210-04015,Modify Manhole,EACH,1,single_exact_description_unit_candidate
fhu_west_colfax_phase_2_20260123_row_0055,210-04020,MODIFY INLET,EACH,210-04020,Modify Inlet,EACH,1,single_exact_description_unit_candidate
fhu_west_colfax_phase_2_20260123_row_0056,210-04050,ADJUST VALVE BOX,EACH,210-04050,Adjust Valve Box,EACH,1,single_exact_description_unit_candidate
fhu_west_colfax_phase_2_20260123_row_0057,210-04060,ADJUST WATER METER,EACH,210-04060,Adjust Water Meter,EACH,1,single_exact_description_unit_candidate
fhu_west_colfax_phase_2_20260123_row_0058,211-03005,DEWATERING,L S,211-03005,Dewatering,L S,1,single_exact_description_unit_candidate
fhu_west_colfax_phase_2_20260123_row_0059,212-00032,SOIL CONDITIONING,ACRE,212-00032,Soil Conditioning,ACRE,1,single_exact_description_unit_candidate
fhu_west_colfax_phase_2_20260123_row_0060,212-00706,SEEDING (NATIVE) DRILL,ACRE,212-00706,Seeding (Native) Drill,ACRE,1,single_exact_description_unit_candidate
fhu_west_colfax_phase_2_20260123_row_0061,212-00708,SEEDING (NATIVE) BROADCAST,ACRE,212-00708,Seeding (Native) Broadcast,ACRE,1,single_exact_description_unit_candidate
fhu_west_colfax_phase_2_20260123_row_0062,213-00004,MULCHING (WEED FREE STRAW),ACRE,213-00004,Mulching (Weed Free Straw),ACRE,1,single_exact_description_unit_candidate
fhu_west_colfax_phase_2_20260123_row_0063,213-00061,MULCH TACKIFIER,LB,213-00061,Mulch Tackifier,LB,1,single_exact_description_unit_candidate
fhu_west_colfax_phase_2_20260123_row_0064,213-00067,ROCK MULCH (WEED FREE),SF,213-00067,Rock Mulch (Weed Free),SF,1,single_exact_description_unit_candidate
fhu_west_colfax_phase_2_20260123_row_0065,214-00000,LANDSCAPE MAINTENANCE,L S,214-00000,Landscape Maintenance,L S,1,single_exact_description_unit_candidate
fhu_west_colfax_phase_2_20260123_row_0068,216-00042,SOIL RETENTION BLANKET (BIODEGRADABLE STRAW/COCONUT),SY,216-00042,Soil Retention Blanket (Biodegradable Straw/Coconut),SY,1,single_exact_description_unit_candidate
