source_file,source_period,page_number,item_code,item_description,unit_raw,unit_normalized,project_location_raw,date_let,quantity,engineer_estimate_unit_price,average_bid_unit_price,awarded_bid_unit_price,raw_text
CDOTRM_EEMA_Cost_Data_Book_-_2026_-_1st_Qtr_-_4-29-2026.pdf,2026 Q1,8,201-00000,Clear and Grub,Lump Sum,L S,NHPP0741-026 SH 74 DOWNTOWN EVERGREEN TO C,2026-01-08,1.00,30000.00,39259.95,14460.00,NHPP0741-026 SH 74 DOWNTOWN EVERGREEN TO C 01/08/26 1.00 30000.00 39259.95 14460.00
CDOTRM_EEMA_Cost_Data_Book_-_2026_-_1st_Qtr_-_4-29-2026.pdf,2026 Q1,8,201-00000,Clear and Grub,Lump Sum,L S,STM006A-076 ATWOOD TO STERLING (MP 398.2- | FBR006A-078 ATWOOD TO STERLING (MP 398.2-,2026-01-15,1.00,23078.47,57070.60,14123.00,STM006A-076 ATWOOD TO STERLING (MP 398.2- 01/15/26 1.00 23078.47 57070.60 14123.00 | FBR006A-078 ATWOOD TO STERLING (MP 398.2-
CDOTRM_EEMA_Cost_Data_Book_-_2026_-_1st_Qtr_-_4-29-2026.pdf,2026 Q1,8,201-00000,Clear and Grub,Lump Sum,L S,NHPP0702-422 I-70 AND SH 9 IN FRISCO,2026-02-05,1.00,80000.00,314116.86,315500.00,NHPP0702-422 I-70 AND SH 9 IN FRISCO 02/05/26 1.00 80000.00 314116.86 315500.00
CDOTRM_EEMA_Cost_Data_Book_-_2026_-_1st_Qtr_-_4-29-2026.pdf,2026 Q1,8,201-00000,Clear and Grub,Lump Sum,L S,SFTYR400-413 MULTIPLE CULVERTS IN REGION 4,2026-02-05,1.00,23747.61,21300.00,2200.00,SFTYR400-413 MULTIPLE CULVERTS IN REGION 4 02/05/26 1.00 23747.61 21300.00 2200.00
CDOTRM_EEMA_Cost_Data_Book_-_2026_-_1st_Qtr_-_4-29-2026.pdf,2026 Q1,8,201-00000,Clear and Grub,Lump Sum,L S,NHPP4701-139 C-470 KEN CARYL TO WADSORTH,2026-02-19,1.00,26552.73,670434.91,535000.00,NHPP4701-139 C-470 KEN CARYL TO WADSORTH 02/19/26 1.00 26552.73 670434.91 535000.00
CDOTRM_EEMA_Cost_Data_Book_-_2026_-_1st_Qtr_-_4-29-2026.pdf,2026 Q1,8,201-00000,Clear and Grub,Lump Sum,L S,STR0241-069 SH 24 MP 166 TO 174,2026-03-05,1.00,30000.00,30000.00,30000.00,STR0241-069 SH 24 MP 166 TO 174 03/05/26 1.00 30000.00 30000.00 30000.00
CDOTRM_EEMA_Cost_Data_Book_-_2026_-_1st_Qtr_-_4-29-2026.pdf,2026 Q1,8,201-00001,Clear and Grub,Acre,ACRE,STR1151-043 SH 115A from M.P 14.0-18.0 th,2026-02-05,0.20,57711.40,20075.00,11000.00,STR1151-043 SH 115A from M.P 14.0-18.0 th 02/05/26 0.20 57711.40 20075.00 11000.00
CDOTRM_EEMA_Cost_Data_Book_-_2026_-_1st_Qtr_-_4-29-2026.pdf,2026 Q1,8,201-00001,Clear and Grub,Acre,ACRE,FSA0252-509 I25 FROM MP 108.5 TO 115,2026-02-05,13.50,2500.00,3250.00,5000.00,FSA0252-509 I25 FROM MP 108.5 TO 115 02/05/26 13.50 2500.00 3250.00 5000.00
CDOTRM_EEMA_Cost_Data_Book_-_2026_-_1st_Qtr_-_4-29-2026.pdf,2026 Q1,8,201-00005,Rem of Debris,Lump Sum,L S,NHPP0702-422 I-70 AND SH 9 IN FRISCO,2026-02-05,1.00,10000.00,32927.08,5000.00,NHPP0702-422 I-70 AND SH 9 IN FRISCO 02/05/26 1.00 10000.00 32927.08 5000.00
CDOTRM_EEMA_Cost_Data_Book_-_2026_-_1st_Qtr_-_4-29-2026.pdf,2026 Q1,9,201-00009,Rem of Debris,Cubic Yard,CY,NHPP0403-072 MM 221.5-226 US 40 GRAND COUN,2026-02-19,203.00,50.00,131.20,220.00,NHPP0403-072 MM 221.5-226 US 40 GRAND COUN 02/19/26 203.00 50.00 131.20 220.00
CDOTRM_EEMA_Cost_Data_Book_-_2026_-_1st_Qtr_-_4-29-2026.pdf,2026 Q1,9,201-00009,Rem of Debris,Cubic Yard,CY,NHPP4701-139 C-470 KEN CARYL TO WADSORTH,2026-02-19,17.00,400.00,372.59,305.00,NHPP4701-139 C-470 KEN CARYL TO WADSORTH 02/19/26 17.00 400.00 372.59 305.00
CDOTRM_EEMA_Cost_Data_Book_-_2026_-_1st_Qtr_-_4-29-2026.pdf,2026 Q1,9,201-00009,Rem of Debris,Cubic Yard,CY,NHPP0403-076 US 40 & TONN VALLEY DRIVE,2026-03-02,10.00,2000.00,986.50,475.00,NHPP0403-076 US 40 & TONN VALLEY DRIVE 03/02/26 10.00 2000.00 986.50 475.00
CDOTRM_EEMA_Cost_Data_Book_-_2026_-_1st_Qtr_-_4-29-2026.pdf,2026 Q1,9,202-00000,Rem Str and Obstructions,Lump Sum,L S,STR0241-069 SH 24 MP 166 TO 174,2026-03-05,1.00,30000.00,5000.00,5000.00,STR0241-069 SH 24 MP 166 TO 174 03/05/26 1.00 30000.00 5000.00 5000.00
