bid_tab_item_id,project_id,source_id,source_file,sheet_name,workbook_row,project_number,source_item_number,source_item_code,source_item_code_system,source_spec_raw,source_item_description,item_code,item_description,unit_raw,unit_normalized,quantity,engineer_estimate_unit_price,average_bid_unit_price,matched_agency_item_code,match_status,date_basis,engineer_estimate_quantity,audit_estimate_unit_price,audit_estimate_extended_price
fhu_west_colfax_phase_1_20241003_row_0022,fhu_bid_tab_west_colfax_phase_1_2024_10_03_bid_6039,fhu_bid_tab_west_colfax_phase_1_2024_10_03,Cost Estimate Data Tracking-MASTER.xlsx,W Colfax Ph1,22,Bid No. 6039,15,208-00035,CDOT,208-00035,Aggregate Bag,208-00035,Aggregate Bag,LF,LF,29,12.00,26.40,208-00035,matched,2024-10-03,29,,
fhu_west_colfax_phase_1_20241003_row_0023,fhu_bid_tab_west_colfax_phase_1_2024_10_03_bid_6039,fhu_bid_tab_west_colfax_phase_1_2024_10_03,Cost Estimate Data Tracking-MASTER.xlsx,W Colfax Ph1,23,Bid No. 6039,16,208-00046,CDOT,208-00046,Pre-fabricated Concrete Washout Structure (Type 1),208-00046,Pre-fabricated Concrete Washout Structure (Type 1),EACH,EACH,5,1000.00,3850.00,208-00046,matched,2024-10-03,5,,
fhu_west_colfax_phase_1_20241003_row_0024,fhu_bid_tab_west_colfax_phase_1_2024_10_03_bid_6039,fhu_bid_tab_west_colfax_phase_1_2024_10_03,Cost Estimate Data Tracking-MASTER.xlsx,W Colfax Ph1,24,Bid No. 6039,17,208-00051,CDOT,208-00051,Storm Drain Inlet Protection (Type I),208-00051,Storm Drain Inlet Protection (Type I),LF,LF,160,10.00,25.80,208-00051,matched,2024-10-03,160,,
fhu_west_colfax_phase_1_20241003_row_0025,fhu_bid_tab_west_colfax_phase_1_2024_10_03_bid_6039,fhu_bid_tab_west_colfax_phase_1_2024_10_03,Cost Estimate Data Tracking-MASTER.xlsx,W Colfax Ph1,25,Bid No. 6039,18,208-00052,CDOT,208-00052,Storm Drain Inlet Protection (Type II),208-00052,Storm Drain Inlet Protection (Type II),LF,LF,368,10.00,143.00,208-00052,matched,2024-10-03,368,,
fhu_west_colfax_phase_1_20241003_row_0026,fhu_bid_tab_west_colfax_phase_1_2024_10_03_bid_6039,fhu_bid_tab_west_colfax_phase_1_2024_10_03,Cost Estimate Data Tracking-MASTER.xlsx,W Colfax Ph1,26,Bid No. 6039,19,208-00103,CDOT,208-00103,Removal and Disposal of Sediment (Labor),208-00103,Removal and Disposal of Sediment (Labor),HOUR,HOUR,8,60.00,113.60,208-00103,matched,2024-10-03,8,,
fhu_west_colfax_phase_1_20241003_row_0027,fhu_bid_tab_west_colfax_phase_1_2024_10_03_bid_6039,fhu_bid_tab_west_colfax_phase_1_2024_10_03,Cost Estimate Data Tracking-MASTER.xlsx,W Colfax Ph1,27,Bid No. 6039,20,208-00106,CDOT,208-00106,Sweeping (Sediment Removal),208-00106,Sweeping (Sediment Removal),HOUR,HOUR,32,100.00,208.60,208-00106,matched,2024-10-03,32,,
fhu_west_colfax_phase_1_20241003_row_0028,fhu_bid_tab_west_colfax_phase_1_2024_10_03_bid_6039,fhu_bid_tab_west_colfax_phase_1_2024_10_03,Cost Estimate Data Tracking-MASTER.xlsx,W Colfax Ph1,28,Bid No. 6039,21,208-00107,CDOT,208-00107,Removal of Trash,208-00107,Removal of Trash,HOUR,HOUR,8,50.00,112.40,208-00107,matched,2024-10-03,8,,
fhu_west_colfax_phase_1_20241003_row_0029,fhu_bid_tab_west_colfax_phase_1_2024_10_03_bid_6039,fhu_bid_tab_west_colfax_phase_1_2024_10_03,Cost Estimate Data Tracking-MASTER.xlsx,W Colfax Ph1,29,Bid No. 6039,22,208-00207,CDOT,208-00207,Erosion Control Management,208-00207,Erosion Control Management,DAY,DAY,30,100.00,757.80,208-00207,matched,2024-10-03,30,,
fhu_west_colfax_phase_1_20241003_row_0030,fhu_bid_tab_west_colfax_phase_1_2024_10_03_bid_6039,fhu_bid_tab_west_colfax_phase_1_2024_10_03,Cost Estimate Data Tracking-MASTER.xlsx,W Colfax Ph1,30,Bid No. 6039,23,210-00001,CDOT,210-00001,Reset Structure,210-00001,Reset Structure,EACH,EACH,1,10000.00,5736.00,210-00001,matched,2024-10-03,1,,
fhu_west_colfax_phase_1_20241003_row_0031,fhu_bid_tab_west_colfax_phase_1_2024_10_03_bid_6039,fhu_bid_tab_west_colfax_phase_1_2024_10_03,Cost Estimate Data Tracking-MASTER.xlsx,W Colfax Ph1,31,Bid No. 6039,24,210-00831,CDOT,210-00831,Reset Traffic Signal Head,210-00831,Reset Traffic Signal Head,EACH,EACH,16,2000.00,659.80,210-00831,matched,2024-10-03,16,,
