project_id,project_name,agency_owner,state,county_region,work_type,estimate_let_date,source_id,project_number,project_location_raw,contractor,district,terrain,bid_count,awarded_bid_total,award_index
cdot_2022q4_2670403_065,US40_FLOYD HILL ROUNDABOUTS,CDOT,CO,Colorado / CDOT District 1,Roadway,2022-09-15,cdot_cost_data_book_2022_q4,2670403-065,2670403-065 US40_FLOYD HILL ROUNDABOUTS,"AMERICAN CIVIL CONSTRUCTORS, LLC dba A",1,M,3,9157473.00,109.66
cdot_2022q4_2670703_479,I-70 BRIDGE OVER HARLAN,CDOT,CO,Colorado / CDOT District 1,Roadway,2022-05-05,cdot_cost_data_book_2022_q4,2670703-479,2670703-479 I-70 BRIDGE OVER HARLAN,"AMERICAN CIVIL CONSTRUCTORS, LLC dba A",1,R,6,17879000.00,107.64
cdot_2022q4_2670703_487,I-70 BRIDGES OVER WARD ROAD- B,CDOT,CO,Colorado / CDOT District 1,Roadway,2022-12-01,cdot_cost_data_book_2022_q4,2670703-487,2670703-487 I-70 BRIDGES OVER WARD ROAD- B,"Lobato Construction, LLC",1,U,5,16387878.20,101.16
cdot_2022q4_2670703_497,I-70_GENESEE WILDLIFE XING,CDOT,CO,Colorado / CDOT District 1,Roadway,2022-09-15,cdot_cost_data_book_2022_q4,2670703-497,2670703-497 I-70_GENESEE WILDLIFE XING,LAWRENCE CONSTRUCTION CO.,1,M,7,9900432.72,99.00
cdot_2022q4_br012a_048,CO 12 STRUCTURE P-17-F AT MP 4,CDOT,CO,Colorado / CDOT District 2,Roadway,2022-12-22,cdot_cost_data_book_2022_q4,BR012A-048,BR012A-048 CO 12 STRUCTURE P-17-F AT MP 4,"Siete, Inc.",2,M,2,4696233.75,111.82
cdot_2022q4_br0343_046,US 34 TIMBER BRIDGE REPL. PKG.,CDOT,CO,Colorado / CDOT District 4,Roadway,2022-08-31,cdot_cost_data_book_2022_q4,BR0343-046,BR0343-046 US 34 TIMBER BRIDGE REPL. PKG.,LAWRENCE CONSTRUCTION CO.,4,P,1,4432957.09,103.02
cdot_2022q4_br2854_148,INTERSECTION OF US 285 & SH 9,CDOT,CO,Colorado / CDOT District 2,Roadway,2022-12-01,cdot_cost_data_book_2022_q4,BR2854-148,BR2854-148 INTERSECTION OF US 285 & SH 9,"AMERICAN CIVIL CONSTRUCTORS, LLC dba A",2,R,4,24091000.00,133.10
cdot_2022q4_brc040_057,,CDOT,CO,Colorado / CDOT District 2,Roadway,2022-03-17,cdot_cost_data_book_2022_q4,BRC040-057,BRC040-057,"Myers & Sons Construction, LLC",2,U,4,4120979.48,124.88
cdot_2022q4_c0703_499,EJMT GROUT BED REPAIR AND PANE,CDOT,CO,Colorado / CDOT District 1,Roadway,2022-03-31,cdot_cost_data_book_2022_q4,C0703-499,C0703-499 EJMT GROUT BED REPAIR AND PANE,"ABCO CONTRACTING, INC.",1,M,2,1341361.00,148.29
cdot_2022q4_c0761_239,,CDOT,CO,Colorado / CDOT District 1,Roadway,2022-03-10,cdot_cost_data_book_2022_q4,C0761-239,C0761-239,"FLATIRON CONSTRUCTORS, INC.",1,R,8,25426004.45,87.29
cdot_2022q4_c0762_055,,CDOT,CO,Colorado / CDOT District 4,Roadway,2022-02-17,cdot_cost_data_book_2022_q4,C0762-055,C0762-055,MCATEE CONSTRUCTION CO.,4,R,4,13997628.23,109.36
cdot_2022q4_c0831_126,SH83 EL PASO COUNTY TO BAYOU G,CDOT,CO,Colorado / CDOT District 1,Roadway,2022-10-13,cdot_cost_data_book_2022_q4,C0831-126,C0831-126 SH83 EL PASO COUNTY TO BAYOU G,"WORK ZONE TRAFFIC CONTROL, LLC",1,R,2,512963.00,102.17
cdot_2022q4_c0852_120,Rehabilitation of Culvert by s,CDOT,CO,Colorado / CDOT District 1,Roadway,2022-05-26,cdot_cost_data_book_2022_q4,C0852-120,C0852-120 Rehabilitation of Culvert by s,"AMERICAN WEST CONSTRUCTION, LLC",1,R,1,749206.00,68.11
cdot_2022q4_c1211_099,SH 121 NORTH SGA SIGNALS,CDOT,CO,Colorado / CDOT District 1,Roadway,2022-08-25,cdot_cost_data_book_2022_q4,C1211-099,C1211-099 SH 121 NORTH SGA SIGNALS,"STURGEON ELECTRIC COMPANY, INC",1,U,2,3855000.00,80.00
cdot_2022q4_c170a_002,CRITICAL CULVERT CONST. PKG D,CDOT,CO,Colorado / CDOT District 4,Roadway,2022-10-27,cdot_cost_data_book_2022_q4,C170A-002,C170A-002 CRITICAL CULVERT CONST. PKG D,"TRICON 2, LLC",4,U,4,679000.00,88.68
cdot_2022q4_c5502_097,US550 MP 117.28-126.06,CDOT,CO,Colorado / CDOT District 3,Roadway,2022-11-17,cdot_cost_data_book_2022_q4,C5502-097,C5502-097 US550 MP 117.28-126.06,"Kilgore Companies, LLC dba Elam Construc",3,R,3,18991815.84,99.30
cdot_2022q4_c5502_111,US 550 MP 81 AND 89 RED MOUNTA,CDOT,CO,Colorado / CDOT District 5,Roadway,2022-10-27,cdot_cost_data_book_2022_q4,C5502-111,C5502-111 US 550 MP 81 AND 89 RED MOUNTA,"Geovert, LLC",5,M,2,744942.00,132.84
cdot_2022q4_cc030_081,ADA RAMP AND CURBS - FT. LUPTO,CDOT,CO,Colorado / CDOT District 4,Roadway,2022-04-14,cdot_cost_data_book_2022_q4,CC030-081,CC030-081 ADA RAMP AND CURBS - FT. LUPTO,"KSK, LLC",4,U,3,2035000.00,82.70
cdot_2022q4_cm760_047,COLFAX AND QUAIL,CDOT,CO,Colorado / CDOT District 1,Roadway,2022-05-12,cdot_cost_data_book_2022_q4,CM760-047,CM760-047 COLFAX AND QUAIL,INTERFACE COMMUNICATIONS COMPANY,1,U,5,706289.00,130.08
cdot_2022q4_cr100_362,,CDOT,CO,Colorado / CDOT District 1,Roadway,2022-03-14,cdot_cost_data_book_2022_q4,CR100-362,CR100-362,"IHC Scott, Inc.",1,U,1,4644427.21,100.00
cdot_2022q4_er007a_035,,CDOT,CO,Colorado / CDOT District 4,Roadway,2022-03-15,cdot_cost_data_book_2022_q4,ER007A-035,ER007A-035,KIEWIT INFRASTRUCTURE CO.,4,M,1,5520588.70,107.47
cdot_2022q4_er0253_297,WCR 34 BRIDGE OVER I-25(MM 245,CDOT,CO,Colorado / CDOT District 4,Roadway,2022-09-14,cdot_cost_data_book_2022_q4,ER0253-297,ER0253-297 WCR 34 BRIDGE OVER I-25(MM 245,"RALPH L. WADSWORTH CONSTRUCTION CO., LLC",4,R,4,224907.20,54.37
cdot_2022q4_er0502_092,US 50 MP 204 EB MONARCH TRUCK,CDOT,CO,Colorado / CDOT District 5,Roadway,2022-08-29,cdot_cost_data_book_2022_q4,ER0502-092,ER0502-092 US 50 MP 204 EB MONARCH TRUCK,WILLIAMS CONSTRUCTION CONTRACTORS,5,M,3,1024007.51,87.33
cdot_2022q4_er0702_420,PR I-70 GWC MATERIAL FLOWS 202,CDOT,CO,Colorado / CDOT District 3,Roadway,2022-05-06,cdot_cost_data_book_2022_q4,ER0702-420,ER0702-420 PR I-70 GWC MATERIAL FLOWS 202,LAWRENCE CONSTRUCTION CO.,3,M,2,3888046.00,121.16
cdot_2022q4_fbr0343_047,US 6/US 34 TIMBER BRIDGE REPL.,CDOT,CO,Colorado / CDOT District 4,Roadway,2022-08-31,cdot_cost_data_book_2022_q4,FBR0343-047,FBR0343-047 US 6/US 34 TIMBER BRIDGE REPL.,LAWRENCE CONSTRUCTION CO.,4,P,1,4432957.09,103.02
cdot_2022q4_fbr0702_423,VAIL PASS AUX BE F-12-AT PHASE,CDOT,CO,Colorado / CDOT District 3,Roadway,2022-07-08,cdot_cost_data_book_2022_q4,FBR0702-423,FBR0702-423 VAIL PASS AUX BE F-12-AT PHASE,KIEWIT INFRASTRUCTURE CO.,3,M,1,47957757.02,100.00
cdot_2022q4_fbr0761_236,I-76 OVER CLR CRK SCOUR MIT,CDOT,CO,Colorado / CDOT District 1,Roadway,2022-08-25,cdot_cost_data_book_2022_q4,FBR0761-236,FBR0761-236 I-76 OVER CLR CRK SCOUR MIT,"ZAK DIRT, INC.",1,R,3,1677136.45,83.86
cdot_2022q4_fsa052a_046,SH52 WCR 37 INTERSECTION IMPRO,CDOT,CO,Colorado / CDOT District 4,Roadway,2022-06-09,cdot_cost_data_book_2022_q4,FSA052A-046,FSA052A-046 SH52 WCR 37 INTERSECTION IMPRO,AB Underground,4,R,5,3098847.35,84.58
cdot_2022q4_fsa052a_057,SH52 BOX CULVERT EXTENSION (MP,CDOT,CO,Colorado / CDOT District 4,Roadway,2022-08-04,cdot_cost_data_book_2022_q4,FSA052A-057,FSA052A-057 SH52 BOX CULVERT EXTENSION (MP,"MOUNTAIN CONSTRUCTORS, INC.",4,R,3,704678.03,108.34
cdot_2022q4_fsa0702_409,I-70 VAIL WILDLIFE FENCE PHASE,CDOT,CO,Colorado / CDOT District 3,Roadway,2022-05-26,cdot_cost_data_book_2022_q4,FSA0702-409,FSA0702-409 I-70 VAIL WILDLIFE FENCE PHASE,CC ENTRPRS TRAFFIC CONTROL SPECIALISTS,3,M,1,3032752.00,98.81
cdot_2022q4_fsa0853_122,"WCR14.5 AND US-85, FORT LUPTON",CDOT,CO,Colorado / CDOT District 4,Roadway,2022-12-15,cdot_cost_data_book_2022_q4,FSA0853-122,"FSA0853-122 WCR14.5 AND US-85, FORT LUPTON","MOUNTAIN CONSTRUCTORS, INC.",4,R,3,289870.00,82.11
cdot_2022q4_fsa3921_019,SH 392 AND WCR 55 ISLANDS,CDOT,CO,Colorado / CDOT District 4,Roadway,2022-06-02,cdot_cost_data_book_2022_q4,FSA3921-019,FSA3921-019 SH 392 AND WCR 55 ISLANDS,"MOUNTAIN CONSTRUCTORS, INC.",4,P,3,174037.00,105.44
cdot_2022q4_fsam240_200,SH21B CO SPRINGS SIGNAL REPLAC,CDOT,CO,Colorado / CDOT District 2,Roadway,2022-10-27,cdot_cost_data_book_2022_q4,FSAM240-200,FSAM240-200 SH21B CO SPRINGS SIGNAL REPLAC,"ARROW ELECTRIC SERVICE, INC.",2,P,4,2720098.85,100.74
cdot_2022q4_im025a_050,I25-MP103.9 - INTERSECTION DRE,CDOT,CO,Colorado / CDOT District 2,Roadway,2022-12-01,cdot_cost_data_book_2022_q4,IM025A-050,IM025A-050 I25-MP103.9 - INTERSECTION DRE,"SEMA CONSTRUCTION, INC.",2,,3,10512989.35,126.66
cdot_2022q4_its_0741_024,VMS SIGN INSTALLATIONS AND VSL,CDOT,CO,Colorado / CDOT District 1,Roadway,2022-06-02,cdot_cost_data_book_2022_q4,ITS 0741-024,ITS 0741-024 VMS SIGN INSTALLATIONS AND VSL,"MORTON ELECTRIC, INC.",1,M,2,2152940.00,142.77
cdot_2022q4_its0703_477,ITS EQUIPMENT UPGRADE AT EJMT,CDOT,CO,Colorado / CDOT District 00,Roadway,2022-01-06,cdot_cost_data_book_2022_q4,ITS0703-477,ITS0703-477 ITS EQUIPMENT UPGRADE AT EJMT,"STURGEON ELECTRIC COMPANY, INC",00,M,1,8447636.00,163.49
cdot_2022q4_m_r100_351,FY22 R1 SIGN STRUCTURE REPLACE,CDOT,CO,Colorado / CDOT District 1,Roadway,2022-03-17,cdot_cost_data_book_2022_q4,M R100-351,M R100-351 FY22 R1 SIGN STRUCTURE REPLACE,"KRAEMER NORTH AMERICA, LLC",1,U,2,1217455.60,101.45
cdot_2022q4_mp0503_098,,CDOT,CO,Colorado / CDOT District 2,Roadway,2022-03-24,cdot_cost_data_book_2022_q4,MP0503-098,MP0503-098,"MORTON ELECTRIC, INC.",2,U,2,646748.00,77.92
cdot_2022q4_mpr200_278,R2 - VARIOUS LOCATIONS,CDOT,CO,Colorado / CDOT District 2,Roadway,2022-06-09,cdot_cost_data_book_2022_q4,MPR200-278,MPR200-278 R2 - VARIOUS LOCATIONS,"ROADSAFE TRAFFIC SYSTEMS, INC",2,R,3,2824931.56,95.98
cdot_2022q4_mpr200_279,FY 23 STENCIL MARKING PROJECT,CDOT,CO,Colorado / CDOT District 2,Roadway,2022-06-09,cdot_cost_data_book_2022_q4,MPR200-279,MPR200-279 FY 23 STENCIL MARKING PROJECT,"ROADSAFE TRAFFIC SYSTEMS, INC",2,R,3,448255.86,93.48
cdot_2022q4_mpr200_280,PUEBLO AREA,CDOT,CO,Colorado / CDOT District 2,Roadway,2022-11-17,cdot_cost_data_book_2022_q4,MPR200-280,MPR200-280 PUEBLO AREA,"WORK ZONE TRAFFIC CONTROL, LLC",2,R,2,894364.00,99.37
cdot_2022q4_mtce_072a_045,SH 72B MP 37.00 TO MP 45.3 NEA,CDOT,CO,Colorado / CDOT District 4,Roadway,2022-07-07,cdot_cost_data_book_2022_q4,MTCE 072A-045,MTCE 072A-045 SH 72B MP 37.00 TO MP 45.3 NEA,A-1 CHIPSEAL COMPANY,4,M,1,1096643.80,95.41
cdot_2022q4_mtce_r100_380,REGION 1 FY 23/24 PAVEMENT MAR,CDOT,CO,Colorado / CDOT District 1,Roadway,2022-06-30,cdot_cost_data_book_2022_q4,MTCE R100-380,MTCE R100-380 REGION 1 FY 23/24 PAVEMENT MAR,"ROADSAFE TRAFFIC SYSTEMS, INC",1,U,1,11849087.88,98.74
cdot_2022q4_mtce_r500_218,,CDOT,CO,Colorado / CDOT District 5,Roadway,2022-01-06,cdot_cost_data_book_2022_q4,MTCE R500-218,MTCE R500-218,"ROADSAFE TRAFFIC SYSTEMS, INC",5,U,2,1168613.00,87.75
cdot_2022q4_mtce_r500_219,,CDOT,CO,Colorado / CDOT District 5,Roadway,2022-01-06,cdot_cost_data_book_2022_q4,MTCE R500-219,MTCE R500-219,"Straight Stripe Painting, Inc.",5,R,3,2256065.00,102.19
cdot_2022q4_mtce0253_281,MTCE FY23 I-25 CONC PANEL REPL,CDOT,CO,Colorado / CDOT District 4,Roadway,2022-10-06,cdot_cost_data_book_2022_q4,MTCE0253-281,MTCE0253-281 MTCE FY23 I-25 CONC PANEL REPL,"ABCO CONTRACTING, INC.",4,R,4,1351993.00,107.06
cdot_2022q4_mtce0253_291,I-25 SIGN REPLACEMENT PHASE 2B,CDOT,CO,Colorado / CDOT District 4,Roadway,2022-06-16,cdot_cost_data_book_2022_q4,MTCE0253-291,MTCE0253-291 I-25 SIGN REPLACEMENT PHASE 2B,"RALPH L. WADSWORTH CONSTRUCTION CO., LLC",4,R,2,2499779.84,131.35
cdot_2022q4_mtce0702_426,I70 FROM MP 155 TO 180 AND MP,CDOT,CO,Colorado / CDOT District 3,Roadway,2022-07-07,cdot_cost_data_book_2022_q4,MTCE0702-426,MTCE0702-426 I70 FROM MP 155 TO 180 AND MP,AMERICAN STRIPING COMPANY LLC,3,M,4,693730.00,91.82
cdot_2022q4_mtce2873_204,MTCE FY22 SH287 CONC PANEL REP,CDOT,CO,Colorado / CDOT District 4,Roadway,2022-05-05,cdot_cost_data_book_2022_q4,MTCE2873-204,MTCE2873-204 MTCE FY22 SH287 CONC PANEL REP,"RALPH L. WADSWORTH CONSTRUCTION CO., LLC",4,U,2,693896.87,98.15
cdot_2022q4_mtcer300_262,,CDOT,CO,Colorado / CDOT District 3,Roadway,2022-02-03,cdot_cost_data_book_2022_q4,MTCER300-262,MTCER300-262,CC ENTRPRS TRAFFIC CONTROL SPECIALISTS,3,M,3,1742097.00,82.96
cdot_2022q4_mtcer300_272,REGION 3 ROUNDABOUT STRIPING A,CDOT,CO,Colorado / CDOT District 3,Roadway,2022-07-07,cdot_cost_data_book_2022_q4,MTCER300-272,MTCER300-272 REGION 3 ROUNDABOUT STRIPING A,KOLBE STRIPING INC.,3,M,3,324225.00,89.44
cdot_2022q4_mtcer300_273,"I-70 MM 75-116, OTHER REGION 3",CDOT,CO,Colorado / CDOT District 3,Roadway,2022-07-07,cdot_cost_data_book_2022_q4,MTCER300-273,"MTCER300-273 I-70 MM 75-116, OTHER REGION 3",KOLBE STRIPING INC.,3,M,3,1518388.73,97.40
cdot_2022q4_mtcer400_391,VARIOUS HIGHWAY SEGMENTS ACROS,CDOT,CO,Colorado / CDOT District 4,Roadway,2022-01-13,cdot_cost_data_book_2022_q4,MTCER400-391,MTCER400-391 VARIOUS HIGHWAY SEGMENTS ACROS,"ROADSAFE TRAFFIC SYSTEMS, INC",4,R,4,1564170.00,101.46
cdot_2022q4_mtcer400_396,REGION 4,CDOT,CO,Colorado / CDOT District 4,Roadway,2022-08-25,cdot_cost_data_book_2022_q4,MTCER400-396,MTCER400-396 REGION 4,AMERICAN STRIPING COMPANY LLC,4,R,3,1225327.30,87.91
cdot_2022q4_nh0504_910,US50B L-24-B MIN REP AT MP 406,CDOT,CO,Colorado / CDOT District 2,Roadway,2022-01-13,cdot_cost_data_book_2022_q4,NH0504-910,NH0504-910 US50B L-24-B MIN REP AT MP 406,"TRICON 2, LLC",2,P,8,1697000.00,80.81
