bid_tab_item_id,project_id,source_id,source_file,sheet_name,workbook_row,project_number,source_item_number,source_item_code,source_item_code_system,source_spec_raw,source_item_description,item_code,item_description,unit_raw,unit_normalized,quantity,engineer_estimate_unit_price,average_bid_unit_price,matched_agency_item_code,match_status,date_basis
fhu_watson_20211216_row_0033,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,2021 12 16 Bid Tabs Watson Ave Roundabout.xlsx,SAQ,33,320150,,202-00821,CDOT,202-00821,REMOVAL OF SIGN PANEL,202-00821,REMOVAL OF SIGN PANEL,EACH,EACH,3.00,100.00,57.30,202-00821,matched,2021-12-16
fhu_watson_20211216_row_0034,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,2021 12 16 Bid Tabs Watson Ave Roundabout.xlsx,SAQ,34,320150,,202-00827,CDOT,202-00827,REMOVAL OF PULL BOX,202-00827,REMOVAL OF PULL BOX,EACH,EACH,1.00,400.00,308.37,202-00827,matched,2021-12-16
fhu_watson_20211216_row_0035,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,2021 12 16 Bid Tabs Watson Ave Roundabout.xlsx,SAQ,35,320150,,202-01130,CDOT,202-01130,REMOVAL OF GUARDRAIL TYPE 3,202-01130,REMOVAL OF GUARDRAIL TYPE 3,LF,LF,90.00,20.00,17.86,202-01130,matched,2021-12-16
fhu_watson_20211216_row_0036,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,2021 12 16 Bid Tabs Watson Ave Roundabout.xlsx,SAQ,36,320150,,202-01300,CDOT,202-01300,REMOVAL OF END ANCHORAGE,202-01300,REMOVAL OF END ANCHORAGE,EACH,EACH,2.00,800.00,401.26,202-01300,matched,2021-12-16
fhu_watson_20211216_row_0037,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,2021 12 16 Bid Tabs Watson Ave Roundabout.xlsx,SAQ,37,320150,,202-04002,CDOT,202-04002,CLEAN CULVERT,202-04002,CLEAN CULVERT,EACH,EACH,17.00,500.00,837.74,202-04002,matched,2021-12-16
fhu_watson_20211216_row_0038,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,2021 12 16 Bid Tabs Watson Ave Roundabout.xlsx,SAQ,38,320150,,202-04005,CDOT,202-04005,CLEAN VALVE BOX,202-04005,CLEAN VALVE BOX,EACH,EACH,2.00,400.00,678.84,202-04005,matched,2021-12-16
fhu_watson_20211216_row_0039,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,2021 12 16 Bid Tabs Watson Ave Roundabout.xlsx,SAQ,39,320150,,202-05026,CDOT,202-05026,SAWING ASPHALT MATERIAL (6 INCH),202-05026,SAWING ASPHALT MATERIAL (6 INCH),LF,LF,730.00,4.00,4.51,202-05026,matched,2021-12-16
fhu_watson_20211216_row_0040,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,2021 12 16 Bid Tabs Watson Ave Roundabout.xlsx,SAQ,40,320150,,203-00010,CDOT,203-00010,UNCLASSIFIED EXCAVATION (COMPLETE IN PLACE),203-00010,UNCLASSIFIED EXCAVATION (COMPLETE IN PLACE),CY,CY,3560.00,50.00,48.20,203-00010,matched,2021-12-16
fhu_watson_20211216_row_0041,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,2021 12 16 Bid Tabs Watson Ave Roundabout.xlsx,SAQ,41,320150,,203-00100,CDOT,203-00100,MUCK EXCAVATION,203-00100,MUCK EXCAVATION,CY,CY,300.00,50.00,26.59,203-00100,matched,2021-12-16
fhu_watson_20211216_row_0042,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,2021 12 16 Bid Tabs Watson Ave Roundabout.xlsx,SAQ,42,320150,,203-01597,CDOT,203-01597,POTHOLING,203-01597,POTHOLING,HOUR,HOUR,50.00,400.00,505.62,203-01597,matched,2021-12-16
fhu_watson_20211216_row_0043,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,2021 12 16 Bid Tabs Watson Ave Roundabout.xlsx,SAQ,43,320150,,206-00530,CDOT,206-00530,FILTER MATERIAL (CLASS C),206-00530,FILTER MATERIAL (CLASS C),CY,CY,14.00,150.00,125.23,206-00530,matched,2021-12-16
fhu_watson_20211216_row_0044,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,2021 12 16 Bid Tabs Watson Ave Roundabout.xlsx,SAQ,44,320150,,207-00205,CDOT,207-00205,TOPSOIL,207-00205,TOPSOIL,CY,CY,1266.00,75.00,94.08,207-00205,matched,2021-12-16
fhu_watson_20211216_row_0045,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,2021 12 16 Bid Tabs Watson Ave Roundabout.xlsx,SAQ,45,320150,,208-00002,CDOT,208-00002,EROSION LOG TYPE 1 (12 INCH),208-00002,EROSION LOG TYPE 1 (12 INCH),LF,LF,340.00,8.00,5.90,208-00002,matched,2021-12-16
fhu_watson_20211216_row_0046,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,2021 12 16 Bid Tabs Watson Ave Roundabout.xlsx,SAQ,46,320150,,208-00009,CDOT,208-00009,EROSION LOG TYPE 2 (18 INCH),208-00009,EROSION LOG TYPE 2 (18 INCH),LF,LF,580.00,10.00,15.57,208-00009,matched,2021-12-16
fhu_watson_20211216_row_0047,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,2021 12 16 Bid Tabs Watson Ave Roundabout.xlsx,SAQ,47,320150,,208-00035,CDOT,208-00035,AGGREGATE BAG,208-00035,AGGREGATE BAG,LF,LF,204.00,10.00,17.30,208-00035,matched,2021-12-16
fhu_watson_20211216_row_0048,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,2021 12 16 Bid Tabs Watson Ave Roundabout.xlsx,SAQ,48,320150,,208-00046,CDOT,208-00046,PRE-FABRICATED CONCRETE WASHOUT STRUCTURE (TYPE 1),208-00046,PRE-FABRICATED CONCRETE WASHOUT STRUCTURE (TYPE 1),EACH,EACH,3.00,2500.00,3815.91,208-00046,matched,2021-12-16
fhu_watson_20211216_row_0049,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,2021 12 16 Bid Tabs Watson Ave Roundabout.xlsx,SAQ,49,320150,,208-00051,CDOT,208-00051,STORM DRAIN INLET PROTECTION (TYPE I),208-00051,STORM DRAIN INLET PROTECTION (TYPE I),LF,LF,70.00,15.00,18.05,208-00051,matched,2021-12-16
fhu_watson_20211216_row_0050,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,2021 12 16 Bid Tabs Watson Ave Roundabout.xlsx,SAQ,50,320150,,208-00052,CDOT,208-00052,STORM DRAIN INLET PROTECTION (TYPE II),208-00052,STORM DRAIN INLET PROTECTION (TYPE II),LF,LF,90.00,100.00,68.25,208-00052,matched,2021-12-16
fhu_watson_20211216_row_0051,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,2021 12 16 Bid Tabs Watson Ave Roundabout.xlsx,SAQ,51,320150,,208-00075,CDOT,208-00075,PRE-FABRICATED VEHICLE TRACKING PAD,208-00075,PRE-FABRICATED VEHICLE TRACKING PAD,EACH,EACH,3.00,4000.00,8828.24,208-00075,matched,2021-12-16
fhu_watson_20211216_row_0052,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,2021 12 16 Bid Tabs Watson Ave Roundabout.xlsx,SAQ,52,320150,,208-00103,CDOT,208-00103,REMOVAL AND DISPOSAL OF SEDIMENT (LABOR),208-00103,REMOVAL AND DISPOSAL OF SEDIMENT (LABOR),HOUR,HOUR,16.00,80.00,94.46,208-00103,matched,2021-12-16
fhu_watson_20211216_row_0053,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,2021 12 16 Bid Tabs Watson Ave Roundabout.xlsx,SAQ,53,320150,,208-00105,CDOT,208-00105,REMOVAL AND DISPOSAL OF SEDIMENT (EQUIPMENT),208-00105,REMOVAL AND DISPOSAL OF SEDIMENT (EQUIPMENT),HOUR,HOUR,16.00,130.00,177.80,208-00105,matched,2021-12-16
fhu_watson_20211216_row_0054,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,2021 12 16 Bid Tabs Watson Ave Roundabout.xlsx,SAQ,54,320150,,208-00106,CDOT,208-00106,SWEEPING (SEDIMENT REMOVAL),208-00106,SWEEPING (SEDIMENT REMOVAL),HOUR,HOUR,16.00,150.00,274.15,208-00106,matched,2021-12-16
fhu_watson_20211216_row_0055,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,2021 12 16 Bid Tabs Watson Ave Roundabout.xlsx,SAQ,55,320150,,208-00107,CDOT,208-00107,REMOVAL OF TRASH,208-00107,REMOVAL OF TRASH,HOUR,HOUR,8.00,100.00,106.70,208-00107,matched,2021-12-16
