bid_tab_item_id,source_item_code,source_item_description,unit_normalized,candidate_agency_item_code,candidate_description,candidate_unit,candidate_count,suggestion_status
fhu_colorado_blvd_20260601_row_0047,608-00010,CONCRETE CURB RAMP,SY,608-00010,Concrete Curb Ramp,SY,1,single_exact_description_unit_candidate
fhu_colorado_blvd_20260601_row_0048,609-20010,CURB TYPE 2 (SECTION B),LF,609-20010,Curb Type 2 (Section B),LF,1,single_exact_description_unit_candidate
fhu_colorado_blvd_20260601_row_0049,609-21020,CURB AND GUTTER TYPE 2 (SECTION II-B),LF,609-21020,Curb and Gutter Type 2 (Section II-B),LF,1,single_exact_description_unit_candidate
fhu_colorado_blvd_20260601_row_0050,609-21021,CURB AND GUTTER TYPE 2 (SECTION II-M),LF,609-21021,Curb and Gutter Type 2 (Section II-M),LF,1,single_exact_description_unit_candidate
fhu_colorado_blvd_20260601_row_0051,609-24008,GUTTER TYPE 2 (8 FOOT),LF,609-24008,Gutter Type 2 (8 Foot),LF,1,single_exact_description_unit_candidate
fhu_colorado_blvd_20260601_row_0052,610-00020,MEDIAN COVER MATERIAL (PATTERNED CONCRETE),SF,610-00020,Median Cover Material (Patterned Concrete),SF,1,single_exact_description_unit_candidate
fhu_colorado_blvd_20260601_row_0054,202-00019,REMOVAL OF INLET,EACH,202-00019,Removal of Inlet,EACH,1,single_exact_description_unit_candidate
fhu_colorado_blvd_20260601_row_0055,202-00021,REMOVAL OF MANHOLE,EACH,202-00021,Removal of Manhole,EACH,1,single_exact_description_unit_candidate
fhu_colorado_blvd_20260601_row_0056,202-00035,REMOVAL OF PIPE,LF,202-00035,Removal of Pipe,LF,1,single_exact_description_unit_candidate
fhu_colorado_blvd_20260601_row_0057,603-01185,18 INCH REINFORCED CONCRETE PIPE (COMPLETE IN PLACE),LF,603-01185,18 Inch Reinforced Concrete Pipe (Complete In Place),LF,1,single_exact_description_unit_candidate
fhu_colorado_blvd_20260601_row_0058,603-01425,42 INCH REINFORCED CONCRETE PIPE (COMPLETE IN PLACE),LF,603-01425,42 Inch Reinforced Concrete Pipe (Complete In Place),LF,1,single_exact_description_unit_candidate
fhu_colorado_blvd_20260601_row_0059,603-01485,48 INCH REINFORCED CONCRETE PIPE (COMPLETE IN PLACE),LF,603-01485,48 Inch Reinforced Concrete Pipe (Complete In Place),LF,1,single_exact_description_unit_candidate
fhu_colorado_blvd_20260601_row_0060,603-02185,23X14 INCH REINFORCED CONCRETE PIPE ELLIPTICAL (COMPLETE IN PLACE),LF,603-02185,23x14 Inch Reinforced Concrete Pipe Elliptical (Complete In Place),LF,1,single_exact_description_unit_candidate
fhu_colorado_blvd_20260601_row_0061,603-02245,30X19 INCH REINFORCED CONCRETE PIPE ELLIPTICAL (COMPLETE IN PLACE),LF,603-02245,30x19 Inch Reinforced Concrete Pipe Elliptical (Complete In Place),LF,1,single_exact_description_unit_candidate
