bid_tab_item_id,project_id,source_id,source_file,sheet_name,workbook_row,project_number,source_item_number,source_item_code,source_item_code_system,source_spec_raw,source_item_description,item_code,item_description,unit_raw,unit_normalized,quantity,engineer_estimate_unit_price,average_bid_unit_price,matched_agency_item_code,match_status,date_basis,engineer_estimate_quantity,audit_estimate_unit_price,audit_estimate_extended_price
fhu_west_colfax_phase_2_20260123_row_0018,fhu_estimate_west_colfax_phase_2_2026_01_23,fhu_estimate_west_colfax_phase_2_2026_01_23,Cost Estimate Data Tracking-MASTER.xlsx,W Colfasx Ph2,18,FHU-W-COLFAX-PH2,14,202-00220,CDOT,202-00220,REMOVAL OF ASPHALT MAT,202-00220,REMOVAL OF ASPHALT MAT,SY,SY,13974,22.00,,202-00220,matched,2026-01-23,13974,,
fhu_west_colfax_phase_2_20260123_row_0019,fhu_estimate_west_colfax_phase_2_2026_01_23,fhu_estimate_west_colfax_phase_2_2026_01_23,Cost Estimate Data Tracking-MASTER.xlsx,W Colfasx Ph2,19,FHU-W-COLFAX-PH2,15,202-00226,CDOT,202-00226,REMOVAL OF ASPHALT MAT (SPECIAL),202-00226,REMOVAL OF ASPHALT MAT (SPECIAL),SY,SY,4473,25.00,,202-00226,matched,2026-01-23,4473,,
fhu_west_colfax_phase_2_20260123_row_0020,fhu_estimate_west_colfax_phase_2_2026_01_23,fhu_estimate_west_colfax_phase_2_2026_01_23,Cost Estimate Data Tracking-MASTER.xlsx,W Colfasx Ph2,20,FHU-W-COLFAX-PH2,16,202-00250,CDOT,202-00250,REMOVAL OF PAVEMENT MARKING,202-00250,REMOVAL OF PAVEMENT MARKING,SF,SF,1026,4.00,,202-00250,matched,2026-01-23,1026,,
fhu_west_colfax_phase_2_20260123_row_0021,fhu_estimate_west_colfax_phase_2_2026_01_23,fhu_estimate_west_colfax_phase_2_2026_01_23,Cost Estimate Data Tracking-MASTER.xlsx,W Colfasx Ph2,21,FHU-W-COLFAX-PH2,17,202-00810,CDOT,202-00810,REMOVAL OF GROUND SIGN,202-00810,REMOVAL OF GROUND SIGN,EACH,EACH,14,200.00,,202-00810,matched,2026-01-23,14,,
fhu_west_colfax_phase_2_20260123_row_0022,fhu_estimate_west_colfax_phase_2_2026_01_23,fhu_estimate_west_colfax_phase_2_2026_01_23,Cost Estimate Data Tracking-MASTER.xlsx,W Colfasx Ph2,22,FHU-W-COLFAX-PH2,18,202-00821,CDOT,202-00821,REMOVAL OF SIGN PANEL,202-00821,REMOVAL OF SIGN PANEL,EACH,EACH,2,200.00,,202-00821,matched,2026-01-23,2,,
fhu_west_colfax_phase_2_20260123_row_0023,fhu_estimate_west_colfax_phase_2_2026_01_23,fhu_estimate_west_colfax_phase_2_2026_01_23,Cost Estimate Data Tracking-MASTER.xlsx,W Colfasx Ph2,23,FHU-W-COLFAX-PH2,19,202-00828,CDOT,202-00828,REMOVAL OF TRAFFIC SIGNAL EQUIPMENT,202-00828,REMOVAL OF TRAFFIC SIGNAL EQUIPMENT,L S,L S,1,30000.00,,202-00828,matched,2026-01-23,1,,
fhu_west_colfax_phase_2_20260123_row_0024,fhu_estimate_west_colfax_phase_2_2026_01_23,fhu_estimate_west_colfax_phase_2_2026_01_23,Cost Estimate Data Tracking-MASTER.xlsx,W Colfasx Ph2,24,FHU-W-COLFAX-PH2,20,202-01000,CDOT,202-01000,REMOVAL OF FENCE,202-01000,REMOVAL OF FENCE,LF,LF,590,30.00,,202-01000,matched,2026-01-23,590,,
fhu_west_colfax_phase_2_20260123_row_0025,fhu_estimate_west_colfax_phase_2_2026_01_23,fhu_estimate_west_colfax_phase_2_2026_01_23,Cost Estimate Data Tracking-MASTER.xlsx,W Colfasx Ph2,25,FHU-W-COLFAX-PH2,21,202-04002,CDOT,202-04002,CLEAN CULVERT,202-04002,CLEAN CULVERT,EACH,EACH,21,500.00,,202-04002,matched,2026-01-23,21,,
fhu_west_colfax_phase_2_20260123_row_0026,fhu_estimate_west_colfax_phase_2_2026_01_23,fhu_estimate_west_colfax_phase_2_2026_01_23,Cost Estimate Data Tracking-MASTER.xlsx,W Colfasx Ph2,26,FHU-W-COLFAX-PH2,22,202-04005,CDOT,202-04005,CLEAN VALVE BOX,202-04005,CLEAN VALVE BOX,EACH,EACH,132,100.00,,202-04005,matched,2026-01-23,132,,
fhu_west_colfax_phase_2_20260123_row_0027,fhu_estimate_west_colfax_phase_2_2026_01_23,fhu_estimate_west_colfax_phase_2_2026_01_23,Cost Estimate Data Tracking-MASTER.xlsx,W Colfasx Ph2,27,FHU-W-COLFAX-PH2,23,203-00060,CDOT,203-00060,EMBANKMENT MATERIAL (COMPLETE IN PLACE),203-00060,EMBANKMENT MATERIAL (COMPLETE IN PLACE),CY,CY,2744,50.00,,203-00060,matched,2026-01-23,2744,,
