project_id,project_name,agency_owner,state,county_region,work_type,estimate_let_date,source_id,project_number,project_location_raw,contractor,district,terrain,bid_count,awarded_bid_total,award_index
cdot_2026q1_c_0852_130,SB SANTA FE TO EASTBOUND C470,CDOT,CO,Colorado / CDOT District 1,Roadway,2026-02-11,cdot_cost_data_book_2026_q1,C 0852-130,C 0852-130 SB SANTA FE TO EASTBOUND C470,"AMES CONSTRUCTION, INC.",1,U,3,1251000.00,59.90
cdot_2026q1_cm570_071,GREELEY & EVANS,CDOT,CO,Colorado / CDOT District 4,Roadway,2026-03-26,cdot_cost_data_book_2026_q1,CM570-071,CM570-071 GREELEY & EVANS,RDZ Build,4,P,8,739593.00,106.51
cdot_2026q1_cr400_408,CO157A - MP 0.277; 036B - MP 3,CDOT,CO,Colorado / CDOT District 4,Roadway,2026-01-08,cdot_cost_data_book_2026_q1,CR400-408,CR400-408 CO157A - MP 0.277; 036B - MP 3,Lumin8 Transportation Tech.,4,U,6,885349.00,89.14
cdot_2026q1_er0852_129,SB SANTA FE TO EASTBOUND C470,CDOT,CO,Colorado / CDOT District 1,Roadway,2026-01-30,cdot_cost_data_book_2026_q1,ER0852-129,ER0852-129 SB SANTA FE TO EASTBOUND C470,"AMES CONSTRUCTION, INC.",1,U,3,1251000.00,120.40
cdot_2026q1_fbr006a_078,ATWOOD TO STERLING (MP 398.2-4,CDOT,CO,Colorado / CDOT District 4,Roadway,2026-01-15,cdot_cost_data_book_2026_q1,FBR006A-078,FBR006A-078 ATWOOD TO STERLING (MP 398.2-4,Harper Brothers Construction LLC,4,P,4,20722238.45,100.90
cdot_2026q1_fsa0252_509,I25 FROM MP 108.5 TO 115,CDOT,CO,Colorado / CDOT District 2,Roadway,2026-02-05,cdot_cost_data_book_2026_q1,FSA0252-509,FSA0252-509 I25 FROM MP 108.5 TO 115,"Siete, Inc.",2,R,2,3558000.00,114.77
cdot_2026q1_im025a_056,TRINIDAD,CDOT,CO,Colorado / CDOT District 2,Roadway,2026-02-19,cdot_cost_data_book_2026_q1,IM025A-056,IM025A-056 TRINIDAD,CONCRETE WORKS OF COLORADO INC.,2,U,5,2368693.10,87.73
cdot_2026q1_mtcer300_289,REGION 3,CDOT,CO,Colorado / CDOT District 3,Roadway,2026-03-05,cdot_cost_data_book_2026_q1,MTCER300-289,MTCER300-289 REGION 3,"ROADSAFE TRAFFIC SYSTEMS, INC",3,M,2,288898.50,85.50
cdot_2026q1_mtcer500_236,REGION 5,CDOT,CO,Colorado / CDOT District 5,Roadway,2026-01-08,cdot_cost_data_book_2026_q1,MTCER500-236,MTCER500-236 REGION 5,"ROADSAFE TRAFFIC SYSTEMS, INC",5,R,3,1674227.00,96.06
cdot_2026q1_nhfpr100_433,R3 - Loma - 070A - MM 13.6,CDOT,CO,Colorado / CDOT District 1,Roadway,2026-03-12,cdot_cost_data_book_2026_q1,NHFPR100-433,NHFPR100-433 R3 - Loma - 070A - MM 13.6,Drivewyze Ltd.,1,,5,2511351.69,125.57
cdot_2026q1_nhpp006a_080,US 6 MP 20-26 Resurfacing,CDOT,CO,Colorado / CDOT District 3,Roadway,2026-03-19,cdot_cost_data_book_2026_q1,NHPP006A-080,NHPP006A-080 US 6 MP 20-26 Resurfacing,"OLDCASTLE SW GROUP, INC.",3,U,2,3067017.50,75.57
cdot_2026q1_nhpp0403_072,MM 221.5-226 US 40 GRAND COUNT,CDOT,CO,Colorado / CDOT District 3,Roadway,2026-02-19,cdot_cost_data_book_2026_q1,NHPP0403-072,NHPP0403-072 MM 221.5-226 US 40 GRAND COUNT,"OLDCASTLE SW GROUP, INC.",3,M,2,4716276.25,111.22
cdot_2026q1_nhpp0403_076,US 40 & TONN VALLEY DRIVE,CDOT,CO,Colorado / CDOT District 1,Roadway,2026-03-02,cdot_cost_data_book_2026_q1,NHPP0403-076,NHPP0403-076 US 40 & TONN VALLEY DRIVE,"CONCRETE EXPRESS, INC.",1,M,2,433473.20,114.07
cdot_2026q1_nhpp0501_081,"US50 MP 108-MP113, MONTROSE CO",CDOT,CO,Colorado / CDOT District 3,Roadway,2026-01-29,cdot_cost_data_book_2026_q1,NHPP0501-081,"NHPP0501-081 US50 MP 108-MP113, MONTROSE CO","AMERICAN WEST CONSTRUCTION, LLC",3,R,4,593455.00,47.82
cdot_2026q1_nhpp0702_422,I-70 AND SH 9 IN FRISCO,CDOT,CO,Colorado / CDOT District 3,Roadway,2026-02-05,cdot_cost_data_book_2026_q1,NHPP0702-422,NHPP0702-422 I-70 AND SH 9 IN FRISCO,"ZAK DIRT, INC.",3,M,6,27114489.40,94.01
