bidder_item_observation_id,bid_id,project_id,source_id,agency_item_code,description_raw,unit_raw,unit_normalized,quantity,unit_price,extended_price
fhu_arapahoe_big_dry_creek_20210924_row_0005_flatiron,fhu_arapahoe_big_dry_creek_20210924_flatiron,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,202-00019,REMOVAL OF INLET,EACH,EACH,3.00,1200.00,3600.00
fhu_arapahoe_big_dry_creek_20210924_row_0005_acc,fhu_arapahoe_big_dry_creek_20210924_acc,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,202-00019,REMOVAL OF INLET,EACH,EACH,3.00,990.00,2970.00
fhu_arapahoe_big_dry_creek_20210924_row_0006_hamon,fhu_arapahoe_big_dry_creek_20210924_hamon,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,202-00021,REMOVAL OF MANHOLE,EACH,EACH,1.00,1160.00,1160.00
fhu_arapahoe_big_dry_creek_20210924_row_0006_jalisco,fhu_arapahoe_big_dry_creek_20210924_jalisco,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,202-00021,REMOVAL OF MANHOLE,EACH,EACH,1.00,5352.42,5352.42
fhu_arapahoe_big_dry_creek_20210924_row_0006_zak_dirt,fhu_arapahoe_big_dry_creek_20210924_zak_dirt,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,202-00021,REMOVAL OF MANHOLE,EACH,EACH,1.00,4300.00,4300.00
fhu_arapahoe_big_dry_creek_20210924_row_0006_flatiron,fhu_arapahoe_big_dry_creek_20210924_flatiron,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,202-00021,REMOVAL OF MANHOLE,EACH,EACH,1.00,900.00,900.00
fhu_arapahoe_big_dry_creek_20210924_row_0006_acc,fhu_arapahoe_big_dry_creek_20210924_acc,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,202-00021,REMOVAL OF MANHOLE,EACH,EACH,1.00,700.00,700.00
fhu_arapahoe_big_dry_creek_20210924_row_0007_hamon,fhu_arapahoe_big_dry_creek_20210924_hamon,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,202-00026,REMOVAL OF SLOPE AND DITCH PAVING,SY,SY,112.00,23.00,2576.00
fhu_arapahoe_big_dry_creek_20210924_row_0007_jalisco,fhu_arapahoe_big_dry_creek_20210924_jalisco,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,202-00026,REMOVAL OF SLOPE AND DITCH PAVING,SY,SY,112.00,20.33,2276.96
fhu_arapahoe_big_dry_creek_20210924_row_0007_zak_dirt,fhu_arapahoe_big_dry_creek_20210924_zak_dirt,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,202-00026,REMOVAL OF SLOPE AND DITCH PAVING,SY,SY,112.00,13.50,1512.00
fhu_arapahoe_big_dry_creek_20210924_row_0007_flatiron,fhu_arapahoe_big_dry_creek_20210924_flatiron,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,202-00026,REMOVAL OF SLOPE AND DITCH PAVING,SY,SY,112.00,45.00,5040.00
