source_file,source_period,page_number,item_code,item_description,unit_raw,unit_normalized,project_location_raw,date_let,quantity,engineer_estimate_unit_price,average_bid_unit_price,awarded_bid_unit_price,raw_text
CDOTRM_EEMA_Cost_Data_Book_-_2024_-_4th_Qtr_-_4-17-2026.pdf,2024 Q4,16,201-00000,Clear and Grub,Lump Sum,L S,FSA0063-065 US6 AND POST BLVD ROUNDABOUT,2024-01-04,1.00,20000.00,56505.00,25000.00,FSA0063-065 US6 AND POST BLVD ROUNDABOUT 01/04/24 1.00 20000.00 56505.00 25000.00
CDOTRM_EEMA_Cost_Data_Book_-_2024_-_4th_Qtr_-_4-17-2026.pdf,2024 Q4,16,201-00000,Clear and Grub,Lump Sum,L S,CR400-382 SH 66 MP 49.9 - 50.4,2024-01-04,1.00,15000.00,20870.00,10000.00,CR400-382 SH 66 MP 49.9 - 50.4 01/04/24 1.00 15000.00 20870.00 10000.00
CDOTRM_EEMA_Cost_Data_Book_-_2024_-_4th_Qtr_-_4-17-2026.pdf,2024 Q4,16,201-00000,Clear and Grub,Lump Sum,L S,STR0241-067 US 24 SOUTH OF MINTURN,2024-01-04,1.00,25000.00,82433.33,119500.00,STR0241-067 US 24 SOUTH OF MINTURN 01/04/24 1.00 25000.00 82433.33 119500.00
CDOTRM_EEMA_Cost_Data_Book_-_2024_-_4th_Qtr_-_4-17-2026.pdf,2024 Q4,16,201-00000,Clear and Grub,Lump Sum,L S,NHPP0703-515 I-70 TOP OF FLOYD HILL TO VET,2024-01-26,1.00,135400.05,79502.26,79502.26,NHPP0703-515 I-70 TOP OF FLOYD HILL TO VET 01/26/24 1.00 135400.05 79502.26 79502.26
CDOTRM_EEMA_Cost_Data_Book_-_2024_-_4th_Qtr_-_4-17-2026.pdf,2024 Q4,16,201-00000,Clear and Grub,Lump Sum,L S,FBR2872-020 US 40/287 - MP 417.7 TO 419.0 | BR2872-021 US 40/287 - MP 417.7 TO 419.5,2024-02-08,1.00,10000.00,76297.49,67636.00,FBR2872-020 US 40/287 - MP 417.7 TO 419.0 02/08/24 1.00 10000.00 76297.49 67636.00 | BR2872-021 US 40/287 - MP 417.7 TO 419.5
CDOTRM_EEMA_Cost_Data_Book_-_2024_-_4th_Qtr_-_4-17-2026.pdf,2024 Q4,16,201-00000,Clear and Grub,Lump Sum,L S,FBR0702-425 I-70 MP 185.251 EAGLE COUNTY,2024-02-13,1.00,87319.48,87319.48,87319.48,FBR0702-425 I-70 MP 185.251 EAGLE COUNTY 02/13/24 1.00 87319.48 87319.48 87319.48
CDOTRM_EEMA_Cost_Data_Book_-_2024_-_4th_Qtr_-_4-17-2026.pdf,2024 Q4,16,201-00000,Clear and Grub,Lump Sum,L S,NHPP 0241-068 US 24 BV SIGNALS BAYLOR DE PA,2024-02-15,1.00,25000.00,9500.00,4000.00,NHPP 0241-068 US 24 BV SIGNALS BAYLOR DE PA 02/15/24 1.00 25000.00 9500.00 4000.00
CDOTRM_EEMA_Cost_Data_Book_-_2024_-_4th_Qtr_-_4-17-2026.pdf,2024 Q4,16,201-00000,Clear and Grub,Lump Sum,L S,C0841-009 SH 84 EMBANKMENT SLOPE FAILUR,2024-02-29,1.00,25000.00,73750.00,75000.00,C0841-009 SH 84 EMBANKMENT SLOPE FAILUR 02/29/24 1.00 25000.00 73750.00 75000.00
CDOTRM_EEMA_Cost_Data_Book_-_2024_-_4th_Qtr_-_4-17-2026.pdf,2024 Q4,16,201-00000,Clear and Grub,Lump Sum,L S,STE 0402-095 US 40 PASSING LANES MP 172.6,2024-03-07,1.00,10000.00,100534.34,44671.71,STE 0402-095 US 40 PASSING LANES MP 172.6 03/07/24 1.00 10000.00 100534.34 44671.71
CDOTRM_EEMA_Cost_Data_Book_-_2024_-_4th_Qtr_-_4-17-2026.pdf,2024 Q4,16,201-00000,Clear and Grub,Lump Sum,L S,NH0243-092 US 24G - M.P 318.48 TO M.P 33,2024-03-21,1.00,50000.00,33680.51,40881.25,NH0243-092 US 24G - M.P 318.48 TO M.P 33 03/21/24 1.00 50000.00 33680.51 40881.25
CDOTRM_EEMA_Cost_Data_Book_-_2024_-_4th_Qtr_-_4-17-2026.pdf,2024 Q4,16,201-00000,Clear and Grub,Lump Sum,L S,NHPP0253-300 I-25 SEGMENT 5 (MP 242.5 TO 2,2024-03-29,1.00,2421000.60,696570.64,696570.64,NHPP0253-300 I-25 SEGMENT 5 (MP 242.5 TO 2 03/29/24 1.00 2421000.60 696570.64 696570.64
CDOTRM_EEMA_Cost_Data_Book_-_2024_-_4th_Qtr_-_4-17-2026.pdf,2024 Q4,16,201-00000,Clear and Grub,Lump Sum,L S,STM021A-008 INTERSECTION OF SH21 AND AIRP,2024-04-11,1.00,121141.54,398240.84,245800.00,STM021A-008 INTERSECTION OF SH21 AND AIRP 04/11/24 1.00 121141.54 398240.84 245800.00
