bid_tab_item_id,source_item_code,source_item_description,unit_normalized,candidate_agency_item_code,candidate_description,candidate_unit,candidate_count,suggestion_status
fhu_west_mainstreet_20240208_row_0073,614,TRAFFIC SIGNAL FACE (12-12-12),EACH,614-70336,Traffic Signal Face (12-12-12),EACH,1,single_exact_description_unit_candidate
fhu_west_mainstreet_20240208_row_0074,614,TRAFFIC SIGNAL FACE (12-12-12-12),EACH,614-70448,Traffic Signal Face (12-12-12-12),EACH,1,single_exact_description_unit_candidate
fhu_west_mainstreet_20240208_row_0075,614,PEDESTRIAN PUSH BUTTON,EACH,614-72860,Pedestrian Push Button,EACH,1,single_exact_description_unit_candidate
fhu_west_mainstreet_20240208_row_0076,614,MICROWAVE VEHICLE RADAR DETECTOR,EACH,614-72887,Microwave Vehicle Radar Detector,EACH,1,single_exact_description_unit_candidate
fhu_west_mainstreet_20240208_row_0077,614,TRAFFIC SIGNAL-LIGHT POLE STEEL (1 MAST ARM) (INSTALL ONLY),EACH,614-81011,Traffic Signal-Light Pole Steel (1 Mast Arm) (Install Only),EACH,1,single_exact_description_unit_candidate
fhu_west_mainstreet_20240208_row_0078,614,TRAFFIC SIGNAL PEDESTAL POLE ALUMINUM,EACH,614-84100,Traffic Signal Pedestal Pole Aluminum,EACH,1,single_exact_description_unit_candidate
fhu_west_mainstreet_20240208_row_0079,614,PAINT TRAFFIC SIGNAL POLE,EACH,614-85520,Paint Traffic Signal Pole,EACH,1,single_exact_description_unit_candidate
fhu_west_mainstreet_20240208_row_0080,619,3/4 INCH WATER METER,EACH,623-07006,3/4 Inch Water Meter,EACH,1,single_exact_description_unit_candidate
fhu_west_mainstreet_20240208_row_0082,620,SANITARY FACILITY,EACH,620-00020,Sanitary Facility,EACH,1,single_exact_description_unit_candidate
fhu_west_mainstreet_20240208_row_0083,625,CONSTRUCTION SURVEYING,L S,625-00000,Construction Surveying,L S,1,single_exact_description_unit_candidate
fhu_west_mainstreet_20240208_row_0084,626,MOBILIZATION,L S,626-00000,Mobilization,L S,1,single_exact_description_unit_candidate
