bid_tab_item_id,project_id,source_id,source_file,sheet_name,workbook_row,project_number,source_item_number,source_item_code,source_item_code_system,source_spec_raw,source_item_description,item_code,item_description,unit_raw,unit_normalized,quantity,engineer_estimate_unit_price,average_bid_unit_price,matched_agency_item_code,match_status,date_basis
fhu_kipling_bowles_20220310_row_0023,fhu_bid_tab_kipling_bowles_2022_03_10_5_69_15_4005,fhu_bid_tab_kipling_bowles_2022_03_10,2022 03 10 Contractor Bids Kipling at Bowles(1).xlsx,Sheet1,23,5-69-15-4005,,202-00828,CDOT,202-00828,Removal of Traffic Signal Equipment,202-00828,Removal of Traffic Signal Equipment,LS,L S,1.00,20000.00,14110.00,202-00828,matched,2022-03-10
fhu_kipling_bowles_20220310_row_0024,fhu_bid_tab_kipling_bowles_2022_03_10_5_69_15_4005,fhu_bid_tab_kipling_bowles_2022_03_10,2022 03 10 Contractor Bids Kipling at Bowles(1).xlsx,Sheet1,24,5-69-15-4005,,202-04001,CDOT,202-04001,Plug Pipe,202-04001,Plug Pipe,EA,EACH,1.00,4000.00,953.63,202-04001,matched,2022-03-10
fhu_kipling_bowles_20220310_row_0025,fhu_bid_tab_kipling_bowles_2022_03_10_5_69_15_4005,fhu_bid_tab_kipling_bowles_2022_03_10,2022 03 10 Contractor Bids Kipling at Bowles(1).xlsx,Sheet1,25,5-69-15-4005,,202-04002,CDOT,202-04002,Clean Culvert,202-04002,Clean Culvert,EA,EACH,7.00,1500.00,2227.75,202-04002,matched,2022-03-10
fhu_kipling_bowles_20220310_row_0026,fhu_bid_tab_kipling_bowles_2022_03_10_5_69_15_4005,fhu_bid_tab_kipling_bowles_2022_03_10,2022 03 10 Contractor Bids Kipling at Bowles(1).xlsx,Sheet1,26,5-69-15-4005,,203-00010,CDOT,203-00010,Unclassified Excavation (Complete in Place),203-00010,Unclassified Excavation (Complete in Place),CY,CY,1577.00,35.00,65.25,203-00010,matched,2022-03-10
fhu_kipling_bowles_20220310_row_0027,fhu_bid_tab_kipling_bowles_2022_03_10_5_69_15_4005,fhu_bid_tab_kipling_bowles_2022_03_10,2022 03 10 Contractor Bids Kipling at Bowles(1).xlsx,Sheet1,27,5-69-15-4005,,203-01597,CDOT,203-01597,Potholing,203-01597,Potholing,HR,HOUR,24.00,250.00,334.50,203-01597,matched,2022-03-10
fhu_kipling_bowles_20220310_row_0028,fhu_bid_tab_kipling_bowles_2022_03_10_5_69_15_4005,fhu_bid_tab_kipling_bowles_2022_03_10,2022 03 10 Contractor Bids Kipling at Bowles(1).xlsx,Sheet1,28,5-69-15-4005,,206-00065,CDOT,206-00065,Structure Backfill (Flow-fill),206-00065,Structure Backfill (Flow-fill),CY,CY,25.00,200.00,257.50,206-00065,matched,2022-03-10
fhu_kipling_bowles_20220310_row_0029,fhu_bid_tab_kipling_bowles_2022_03_10_5_69_15_4005,fhu_bid_tab_kipling_bowles_2022_03_10,2022 03 10 Contractor Bids Kipling at Bowles(1).xlsx,Sheet1,29,5-69-15-4005,,207-00205,CDOT,207-00205,Topsoil,207-00205,Topsoil,CY,CY,197.00,20.00,48.68,207-00205,matched,2022-03-10
fhu_kipling_bowles_20220310_row_0030,fhu_bid_tab_kipling_bowles_2022_03_10_5_69_15_4005,fhu_bid_tab_kipling_bowles_2022_03_10,2022 03 10 Contractor Bids Kipling at Bowles(1).xlsx,Sheet1,30,5-69-15-4005,,207-00210,CDOT,207-00210,Stockpile Topsoil,207-00210,Stockpile Topsoil,CY,CY,197.00,20.00,38.75,207-00210,matched,2022-03-10
fhu_kipling_bowles_20220310_row_0031,fhu_bid_tab_kipling_bowles_2022_03_10_5_69_15_4005,fhu_bid_tab_kipling_bowles_2022_03_10,2022 03 10 Contractor Bids Kipling at Bowles(1).xlsx,Sheet1,31,5-69-15-4005,,208-00012,CDOT,208-00012,Erosion Log Type 1 (9 Inch),208-00012,Erosion Log Type 1 (9 Inch),LF,LF,550.00,6.00,7.35,208-00012,matched,2022-03-10
fhu_kipling_bowles_20220310_row_0032,fhu_bid_tab_kipling_bowles_2022_03_10_5_69_15_4005,fhu_bid_tab_kipling_bowles_2022_03_10,2022 03 10 Contractor Bids Kipling at Bowles(1).xlsx,Sheet1,32,5-69-15-4005,,208-00035,CDOT,208-00035,Aggregate Bag,208-00035,Aggregate Bag,LF,LF,120.00,12.00,10.25,208-00035,matched,2022-03-10
fhu_kipling_bowles_20220310_row_0033,fhu_bid_tab_kipling_bowles_2022_03_10_5_69_15_4005,fhu_bid_tab_kipling_bowles_2022_03_10,2022 03 10 Contractor Bids Kipling at Bowles(1).xlsx,Sheet1,33,5-69-15-4005,,208-00046,CDOT,208-00046,Pre-Fabricated Concrete Washout Structure,208-00046,Pre-Fabricated Concrete Washout Structure,EA,EACH,1.00,1800.00,5500.00,208-00046,matched,2022-03-10
fhu_kipling_bowles_20220310_row_0034,fhu_bid_tab_kipling_bowles_2022_03_10_5_69_15_4005,fhu_bid_tab_kipling_bowles_2022_03_10,2022 03 10 Contractor Bids Kipling at Bowles(1).xlsx,Sheet1,34,5-69-15-4005,,208-00051,CDOT,208-00051,Storm Drain Inlet Protection (Type I),208-00051,Storm Drain Inlet Protection (Type I),LF,LF,156.00,20.00,20.50,208-00051,matched,2022-03-10
fhu_kipling_bowles_20220310_row_0035,fhu_bid_tab_kipling_bowles_2022_03_10_5_69_15_4005,fhu_bid_tab_kipling_bowles_2022_03_10,2022 03 10 Contractor Bids Kipling at Bowles(1).xlsx,Sheet1,35,5-69-15-4005,,208-00052,CDOT,208-00052,Storm Drain Inlet Protection (Type II),208-00052,Storm Drain Inlet Protection (Type II),LF,LF,24.00,50.00,95.50,208-00052,matched,2022-03-10
fhu_kipling_bowles_20220310_row_0036,fhu_bid_tab_kipling_bowles_2022_03_10_5_69_15_4005,fhu_bid_tab_kipling_bowles_2022_03_10,2022 03 10 Contractor Bids Kipling at Bowles(1).xlsx,Sheet1,36,5-69-15-4005,,208-00103,CDOT,208-00103,Removal and Disposal of Sediment (Labor),208-00103,Removal and Disposal of Sediment (Labor),HR,HOUR,10.00,60.00,105.63,208-00103,matched,2022-03-10
fhu_kipling_bowles_20220310_row_0037,fhu_bid_tab_kipling_bowles_2022_03_10_5_69_15_4005,fhu_bid_tab_kipling_bowles_2022_03_10,2022 03 10 Contractor Bids Kipling at Bowles(1).xlsx,Sheet1,37,5-69-15-4005,,208-00105,CDOT,208-00105,Removal and Disposal of Sediment (Equipment),208-00105,Removal and Disposal of Sediment (Equipment),HR,HOUR,10.00,120.00,175.75,208-00105,matched,2022-03-10
fhu_kipling_bowles_20220310_row_0038,fhu_bid_tab_kipling_bowles_2022_03_10_5_69_15_4005,fhu_bid_tab_kipling_bowles_2022_03_10,2022 03 10 Contractor Bids Kipling at Bowles(1).xlsx,Sheet1,38,5-69-15-4005,,208-00106,CDOT,208-00106,Sweeping (Sediment Removal),208-00106,Sweeping (Sediment Removal),HR,HOUR,20.00,150.00,219.88,208-00106,matched,2022-03-10
