agency_item_id,state,agency_id,agency_name,item_code,current_version_id,item_status,canonical_item_id
sd_sddot_009E3270,SD,sd_sddot,South Dakota Department of Transportation,009E3270,sd_sddot_009E3270_v20260727,current,
sd_sddot_009E3280,SD,sd_sddot,South Dakota Department of Transportation,009E3280,sd_sddot_009E3280_v20260727,current,
sd_sddot_009E3290,SD,sd_sddot,South Dakota Department of Transportation,009E3290,sd_sddot_009E3290_v20260727,current,
sd_sddot_009E3298,SD,sd_sddot,South Dakota Department of Transportation,009E3298,sd_sddot_009E3298_v20260727,current,
sd_sddot_009E3300,SD,sd_sddot,South Dakota Department of Transportation,009E3300,sd_sddot_009E3300_historical,historical,
sd_sddot_009E3301,SD,sd_sddot,South Dakota Department of Transportation,009E3301,sd_sddot_009E3301_v20260727,current,
sd_sddot_009E3303,SD,sd_sddot,South Dakota Department of Transportation,009E3303,sd_sddot_009E3303_v20260727,current,
sd_sddot_009E3305,SD,sd_sddot,South Dakota Department of Transportation,009E3305,sd_sddot_009E3305_v20260727,current,
sd_sddot_009E3310,SD,sd_sddot,South Dakota Department of Transportation,009E3310,sd_sddot_009E3310_v20260727,current,
sd_sddot_009E3320,SD,sd_sddot,South Dakota Department of Transportation,009E3320,sd_sddot_009E3320_v20260727,current,
sd_sddot_009E3450,SD,sd_sddot,South Dakota Department of Transportation,009E3450,sd_sddot_009E3450_v20260727,current,
sd_sddot_009E3490,SD,sd_sddot,South Dakota Department of Transportation,009E3490,sd_sddot_009E3490_v20260727,current,
sd_sddot_009E3492,SD,sd_sddot,South Dakota Department of Transportation,009E3492,sd_sddot_009E3492_v20260727,current,
sd_sddot_009E3493,SD,sd_sddot,South Dakota Department of Transportation,009E3493,sd_sddot_009E3493_v20260727,current,
sd_sddot_009E3494,SD,sd_sddot,South Dakota Department of Transportation,009E3494,sd_sddot_009E3494_v20260727,current,
sd_sddot_009E3500,SD,sd_sddot,South Dakota Department of Transportation,009E3500,sd_sddot_009E3500_v20260727,current,
sd_sddot_009E3510,SD,sd_sddot,South Dakota Department of Transportation,009E3510,sd_sddot_009E3510_v20260727,current,
sd_sddot_009E3520,SD,sd_sddot,South Dakota Department of Transportation,009E3520,sd_sddot_009E3520_v20260727,current,
sd_sddot_009E3525,SD,sd_sddot,South Dakota Department of Transportation,009E3525,sd_sddot_009E3525_v20260727,current,
sd_sddot_009E3530,SD,sd_sddot,South Dakota Department of Transportation,009E3530,sd_sddot_009E3530_v20260727,current,
sd_sddot_009E4100,SD,sd_sddot,South Dakota Department of Transportation,009E4100,sd_sddot_009E4100_v20260727,current,
sd_sddot_009E4110,SD,sd_sddot,South Dakota Department of Transportation,009E4110,sd_sddot_009E4110_historical,historical,
sd_sddot_009E4200,SD,sd_sddot,South Dakota Department of Transportation,009E4200,sd_sddot_009E4200_v20260727,current,
sd_sddot_009E4220,SD,sd_sddot,South Dakota Department of Transportation,009E4220,sd_sddot_009E4220_historical,historical,
sd_sddot_009E4300,SD,sd_sddot,South Dakota Department of Transportation,009E4300,sd_sddot_009E4300_v20260727,current,
sd_sddot_009E4330,SD,sd_sddot,South Dakota Department of Transportation,009E4330,sd_sddot_009E4330_historical,historical,
sd_sddot_009E5000,SD,sd_sddot,South Dakota Department of Transportation,009E5000,sd_sddot_009E5000_historical,historical,
sd_sddot_009E8000,SD,sd_sddot,South Dakota Department of Transportation,009E8000,sd_sddot_009E8000_v20260727,current,
sd_sddot_009E9900,SD,sd_sddot,South Dakota Department of Transportation,009E9900,sd_sddot_009E9900_v20260727,current,
sd_sddot_100E0010,SD,sd_sddot,South Dakota Department of Transportation,100E0010,sd_sddot_100E0010_v20260727,current,
sd_sddot_100E0020,SD,sd_sddot,South Dakota Department of Transportation,100E0020,sd_sddot_100E0020_v20260727,current,
sd_sddot_100E0100,SD,sd_sddot,South Dakota Department of Transportation,100E0100,sd_sddot_100E0100_v20260727,current,
sd_sddot_100E0200,SD,sd_sddot,South Dakota Department of Transportation,100E0200,sd_sddot_100E0200_v20260727,current,
sd_sddot_110E0010,SD,sd_sddot,South Dakota Department of Transportation,110E0010,sd_sddot_110E0010_v20260727,current,
sd_sddot_110E0020,SD,sd_sddot,South Dakota Department of Transportation,110E0020,sd_sddot_110E0020_v20260727,current,
sd_sddot_110E0022,SD,sd_sddot,South Dakota Department of Transportation,110E0022,sd_sddot_110E0022_v20260727,current,
sd_sddot_110E0030,SD,sd_sddot,South Dakota Department of Transportation,110E0030,sd_sddot_110E0030_v20260727,current,
sd_sddot_110E0040,SD,sd_sddot,South Dakota Department of Transportation,110E0040,sd_sddot_110E0040_v20260727,current,
sd_sddot_110E0045,SD,sd_sddot,South Dakota Department of Transportation,110E0045,sd_sddot_110E0045_v20260727,current,
sd_sddot_110E0050,SD,sd_sddot,South Dakota Department of Transportation,110E0050,sd_sddot_110E0050_v20260727,current,
sd_sddot_110E0055,SD,sd_sddot,South Dakota Department of Transportation,110E0055,sd_sddot_110E0055_v20260727,current,
sd_sddot_110E0060,SD,sd_sddot,South Dakota Department of Transportation,110E0060,sd_sddot_110E0060_v20260727,current,
sd_sddot_110E0070,SD,sd_sddot,South Dakota Department of Transportation,110E0070,sd_sddot_110E0070_v20260727,current,
sd_sddot_110E0080,SD,sd_sddot,South Dakota Department of Transportation,110E0080,sd_sddot_110E0080_v20260727,current,
sd_sddot_110E0100,SD,sd_sddot,South Dakota Department of Transportation,110E0100,sd_sddot_110E0100_v20260727,current,
sd_sddot_110E0120,SD,sd_sddot,South Dakota Department of Transportation,110E0120,sd_sddot_110E0120_v20260727,current,
sd_sddot_110E0130,SD,sd_sddot,South Dakota Department of Transportation,110E0130,sd_sddot_110E0130_v20260727,current,
sd_sddot_110E0135,SD,sd_sddot,South Dakota Department of Transportation,110E0135,sd_sddot_110E0135_v20260727,current,
sd_sddot_110E0140,SD,sd_sddot,South Dakota Department of Transportation,110E0140,sd_sddot_110E0140_v20260727,current,
sd_sddot_110E0200,SD,sd_sddot,South Dakota Department of Transportation,110E0200,sd_sddot_110E0200_v20260727,current,
sd_sddot_110E0210,SD,sd_sddot,South Dakota Department of Transportation,110E0210,sd_sddot_110E0210_v20260727,current,
sd_sddot_110E0300,SD,sd_sddot,South Dakota Department of Transportation,110E0300,sd_sddot_110E0300_v20260727,current,
sd_sddot_110E0330,SD,sd_sddot,South Dakota Department of Transportation,110E0330,sd_sddot_110E0330_v20260727,current,
sd_sddot_110E0340,SD,sd_sddot,South Dakota Department of Transportation,110E0340,sd_sddot_110E0340_v20260727,current,
sd_sddot_110E0370,SD,sd_sddot,South Dakota Department of Transportation,110E0370,sd_sddot_110E0370_v20260727,current,
sd_sddot_110E0400,SD,sd_sddot,South Dakota Department of Transportation,110E0400,sd_sddot_110E0400_v20260727,current,
sd_sddot_110E0410,SD,sd_sddot,South Dakota Department of Transportation,110E0410,sd_sddot_110E0410_v20260727,current,
sd_sddot_110E0415,SD,sd_sddot,South Dakota Department of Transportation,110E0415,sd_sddot_110E0415_v20260727,current,
sd_sddot_110E0420,SD,sd_sddot,South Dakota Department of Transportation,110E0420,sd_sddot_110E0420_v20260727,current,
sd_sddot_110E0430,SD,sd_sddot,South Dakota Department of Transportation,110E0430,sd_sddot_110E0430_v20260727,current,
sd_sddot_110E0460,SD,sd_sddot,South Dakota Department of Transportation,110E0460,sd_sddot_110E0460_v20260727,current,
sd_sddot_110E0480,SD,sd_sddot,South Dakota Department of Transportation,110E0480,sd_sddot_110E0480_v20260727,current,
sd_sddot_110E0500,SD,sd_sddot,South Dakota Department of Transportation,110E0500,sd_sddot_110E0500_v20260727,current,
sd_sddot_110E0510,SD,sd_sddot,South Dakota Department of Transportation,110E0510,sd_sddot_110E0510_v20260727,current,
sd_sddot_110E0520,SD,sd_sddot,South Dakota Department of Transportation,110E0520,sd_sddot_110E0520_v20260727,current,
sd_sddot_110E0530,SD,sd_sddot,South Dakota Department of Transportation,110E0530,sd_sddot_110E0530_v20260727,current,
sd_sddot_110E0550,SD,sd_sddot,South Dakota Department of Transportation,110E0550,sd_sddot_110E0550_v20260727,current,
sd_sddot_110E0590,SD,sd_sddot,South Dakota Department of Transportation,110E0590,sd_sddot_110E0590_v20260727,current,
sd_sddot_110E0595,SD,sd_sddot,South Dakota Department of Transportation,110E0595,sd_sddot_110E0595_v20260727,current,
sd_sddot_110E0600,SD,sd_sddot,South Dakota Department of Transportation,110E0600,sd_sddot_110E0600_v20260727,current,
sd_sddot_110E0605,SD,sd_sddot,South Dakota Department of Transportation,110E0605,sd_sddot_110E0605_v20260727,current,
sd_sddot_110E0645,SD,sd_sddot,South Dakota Department of Transportation,110E0645,sd_sddot_110E0645_v20260727,current,
sd_sddot_110E0650,SD,sd_sddot,South Dakota Department of Transportation,110E0650,sd_sddot_110E0650_v20260727,current,
sd_sddot_110E0655,SD,sd_sddot,South Dakota Department of Transportation,110E0655,sd_sddot_110E0655_v20260727,current,
sd_sddot_110E0700,SD,sd_sddot,South Dakota Department of Transportation,110E0700,sd_sddot_110E0700_v20260727,current,
sd_sddot_110E0705,SD,sd_sddot,South Dakota Department of Transportation,110E0705,sd_sddot_110E0705_v20260727,current,
sd_sddot_110E0706,SD,sd_sddot,South Dakota Department of Transportation,110E0706,sd_sddot_110E0706_v20260727,current,
sd_sddot_110E0707,SD,sd_sddot,South Dakota Department of Transportation,110E0707,sd_sddot_110E0707_v20260727,current,
sd_sddot_110E0730,SD,sd_sddot,South Dakota Department of Transportation,110E0730,sd_sddot_110E0730_v20260727,current,
sd_sddot_110E0740,SD,sd_sddot,South Dakota Department of Transportation,110E0740,sd_sddot_110E0740_v20260727,current,
sd_sddot_110E0745,SD,sd_sddot,South Dakota Department of Transportation,110E0745,sd_sddot_110E0745_v20260727,current,
sd_sddot_110E0748,SD,sd_sddot,South Dakota Department of Transportation,110E0748,sd_sddot_110E0748_v20260727,current,
sd_sddot_110E0749,SD,sd_sddot,South Dakota Department of Transportation,110E0749,sd_sddot_110E0749_v20260727,current,
sd_sddot_110E0750,SD,sd_sddot,South Dakota Department of Transportation,110E0750,sd_sddot_110E0750_v20260727,current,
sd_sddot_110E0760,SD,sd_sddot,South Dakota Department of Transportation,110E0760,sd_sddot_110E0760_v20260727,current,
sd_sddot_110E0770,SD,sd_sddot,South Dakota Department of Transportation,110E0770,sd_sddot_110E0770_v20260727,current,
sd_sddot_110E0780,SD,sd_sddot,South Dakota Department of Transportation,110E0780,sd_sddot_110E0780_v20260727,current,
sd_sddot_110E0790,SD,sd_sddot,South Dakota Department of Transportation,110E0790,sd_sddot_110E0790_v20260727,current,
sd_sddot_110E0800,SD,sd_sddot,South Dakota Department of Transportation,110E0800,sd_sddot_110E0800_v20260727,current,
sd_sddot_110E0810,SD,sd_sddot,South Dakota Department of Transportation,110E0810,sd_sddot_110E0810_v20260727,current,
sd_sddot_110E0820,SD,sd_sddot,South Dakota Department of Transportation,110E0820,sd_sddot_110E0820_v20260727,current,
sd_sddot_110E0900,SD,sd_sddot,South Dakota Department of Transportation,110E0900,sd_sddot_110E0900_v20260727,current,
sd_sddot_110E1000,SD,sd_sddot,South Dakota Department of Transportation,110E1000,sd_sddot_110E1000_v20260727,current,
sd_sddot_110E1010,SD,sd_sddot,South Dakota Department of Transportation,110E1010,sd_sddot_110E1010_v20260727,current,
sd_sddot_110E1020,SD,sd_sddot,South Dakota Department of Transportation,110E1020,sd_sddot_110E1020_v20260727,current,
sd_sddot_110E1030,SD,sd_sddot,South Dakota Department of Transportation,110E1030,sd_sddot_110E1030_v20260727,current,
sd_sddot_110E1050,SD,sd_sddot,South Dakota Department of Transportation,110E1050,sd_sddot_110E1050_v20260727,current,
sd_sddot_110E1100,SD,sd_sddot,South Dakota Department of Transportation,110E1100,sd_sddot_110E1100_v20260727,current,
sd_sddot_110E1105,SD,sd_sddot,South Dakota Department of Transportation,110E1105,sd_sddot_110E1105_v20260727,current,
sd_sddot_110E1120,SD,sd_sddot,South Dakota Department of Transportation,110E1120,sd_sddot_110E1120_v20260727,current,
sd_sddot_110E1130,SD,sd_sddot,South Dakota Department of Transportation,110E1130,sd_sddot_110E1130_v20260727,current,
sd_sddot_110E1140,SD,sd_sddot,South Dakota Department of Transportation,110E1140,sd_sddot_110E1140_v20260727,current,
sd_sddot_110E1150,SD,sd_sddot,South Dakota Department of Transportation,110E1150,sd_sddot_110E1150_v20260727,current,
sd_sddot_110E1160,SD,sd_sddot,South Dakota Department of Transportation,110E1160,sd_sddot_110E1160_v20260727,current,
sd_sddot_110E1180,SD,sd_sddot,South Dakota Department of Transportation,110E1180,sd_sddot_110E1180_v20260727,current,
sd_sddot_110E1185,SD,sd_sddot,South Dakota Department of Transportation,110E1185,sd_sddot_110E1185_v20260727,current,
sd_sddot_110E1200,SD,sd_sddot,South Dakota Department of Transportation,110E1200,sd_sddot_110E1200_v20260727,current,
sd_sddot_110E1300,SD,sd_sddot,South Dakota Department of Transportation,110E1300,sd_sddot_110E1300_v20260727,current,
sd_sddot_110E1305,SD,sd_sddot,South Dakota Department of Transportation,110E1305,sd_sddot_110E1305_v20260727,current,
sd_sddot_110E1310,SD,sd_sddot,South Dakota Department of Transportation,110E1310,sd_sddot_110E1310_v20260727,current,
sd_sddot_110E1510,SD,sd_sddot,South Dakota Department of Transportation,110E1510,sd_sddot_110E1510_v20260727,current,
sd_sddot_110E1515,SD,sd_sddot,South Dakota Department of Transportation,110E1515,sd_sddot_110E1515_v20260727,current,
sd_sddot_110E1520,SD,sd_sddot,South Dakota Department of Transportation,110E1520,sd_sddot_110E1520_v20260727,current,
sd_sddot_110E1530,SD,sd_sddot,South Dakota Department of Transportation,110E1530,sd_sddot_110E1530_v20260727,current,
sd_sddot_110E1540,SD,sd_sddot,South Dakota Department of Transportation,110E1540,sd_sddot_110E1540_v20260727,current,
sd_sddot_110E1550,SD,sd_sddot,South Dakota Department of Transportation,110E1550,sd_sddot_110E1550_v20260727,current,
sd_sddot_110E1570,SD,sd_sddot,South Dakota Department of Transportation,110E1570,sd_sddot_110E1570_v20260727,current,
sd_sddot_110E1595,SD,sd_sddot,South Dakota Department of Transportation,110E1595,sd_sddot_110E1595_v20260727,current,
sd_sddot_110E1600,SD,sd_sddot,South Dakota Department of Transportation,110E1600,sd_sddot_110E1600_v20260727,current,
sd_sddot_110E1610,SD,sd_sddot,South Dakota Department of Transportation,110E1610,sd_sddot_110E1610_v20260727,current,
sd_sddot_110E1640,SD,sd_sddot,South Dakota Department of Transportation,110E1640,sd_sddot_110E1640_v20260727,current,
sd_sddot_110E1650,SD,sd_sddot,South Dakota Department of Transportation,110E1650,sd_sddot_110E1650_v20260727,current,
sd_sddot_110E1690,SD,sd_sddot,South Dakota Department of Transportation,110E1690,sd_sddot_110E1690_v20260727,current,
sd_sddot_110E1693,SD,sd_sddot,South Dakota Department of Transportation,110E1693,sd_sddot_110E1693_v20260727,current,
sd_sddot_110E1695,SD,sd_sddot,South Dakota Department of Transportation,110E1695,sd_sddot_110E1695_v20260727,current,
sd_sddot_110E1697,SD,sd_sddot,South Dakota Department of Transportation,110E1697,sd_sddot_110E1697_v20260727,current,
sd_sddot_110E1700,SD,sd_sddot,South Dakota Department of Transportation,110E1700,sd_sddot_110E1700_v20260727,current,
sd_sddot_110E1703,SD,sd_sddot,South Dakota Department of Transportation,110E1703,sd_sddot_110E1703_v20260727,current,
sd_sddot_110E1790,SD,sd_sddot,South Dakota Department of Transportation,110E1790,sd_sddot_110E1790_v20260727,current,
sd_sddot_110E1800,SD,sd_sddot,South Dakota Department of Transportation,110E1800,sd_sddot_110E1800_v20260727,current,
sd_sddot_110E1895,SD,sd_sddot,South Dakota Department of Transportation,110E1895,sd_sddot_110E1895_v20260727,current,
sd_sddot_110E1900,SD,sd_sddot,South Dakota Department of Transportation,110E1900,sd_sddot_110E1900_v20260727,current,
sd_sddot_110E1910,SD,sd_sddot,South Dakota Department of Transportation,110E1910,sd_sddot_110E1910_v20260727,current,
sd_sddot_110E1920,SD,sd_sddot,South Dakota Department of Transportation,110E1920,sd_sddot_110E1920_v20260727,current,
sd_sddot_110E1930,SD,sd_sddot,South Dakota Department of Transportation,110E1930,sd_sddot_110E1930_v20260727,current,
sd_sddot_110E1940,SD,sd_sddot,South Dakota Department of Transportation,110E1940,sd_sddot_110E1940_v20260727,current,
sd_sddot_110E1950,SD,sd_sddot,South Dakota Department of Transportation,110E1950,sd_sddot_110E1950_v20260727,current,
sd_sddot_110E1960,SD,sd_sddot,South Dakota Department of Transportation,110E1960,sd_sddot_110E1960_v20260727,current,
sd_sddot_110E1965,SD,sd_sddot,South Dakota Department of Transportation,110E1965,sd_sddot_110E1965_v20260727,current,
sd_sddot_110E1970,SD,sd_sddot,South Dakota Department of Transportation,110E1970,sd_sddot_110E1970_v20260727,current,
sd_sddot_110E1980,SD,sd_sddot,South Dakota Department of Transportation,110E1980,sd_sddot_110E1980_v20260727,current,
sd_sddot_110E3000,SD,sd_sddot,South Dakota Department of Transportation,110E3000,sd_sddot_110E3000_v20260727,current,
sd_sddot_110E3470,SD,sd_sddot,South Dakota Department of Transportation,110E3470,sd_sddot_110E3470_v20260727,current,
sd_sddot_110E4000,SD,sd_sddot,South Dakota Department of Transportation,110E4000,sd_sddot_110E4000_v20260727,current,
sd_sddot_110E4090,SD,sd_sddot,South Dakota Department of Transportation,110E4090,sd_sddot_110E4090_v20260727,current,
sd_sddot_110E4100,SD,sd_sddot,South Dakota Department of Transportation,110E4100,sd_sddot_110E4100_v20260727,current,
sd_sddot_110E4105,SD,sd_sddot,South Dakota Department of Transportation,110E4105,sd_sddot_110E4105_v20260727,current,
sd_sddot_110E4106,SD,sd_sddot,South Dakota Department of Transportation,110E4106,sd_sddot_110E4106_v20260727,current,
sd_sddot_110E4110,SD,sd_sddot,South Dakota Department of Transportation,110E4110,sd_sddot_110E4110_v20260727,current,
sd_sddot_110E4115,SD,sd_sddot,South Dakota Department of Transportation,110E4115,sd_sddot_110E4115_v20260727,current,
sd_sddot_110E4116,SD,sd_sddot,South Dakota Department of Transportation,110E4116,sd_sddot_110E4116_v20260727,current,
sd_sddot_110E4290,SD,sd_sddot,South Dakota Department of Transportation,110E4290,sd_sddot_110E4290_v20260727,current,
sd_sddot_110E4292,SD,sd_sddot,South Dakota Department of Transportation,110E4292,sd_sddot_110E4292_v20260727,current,
sd_sddot_110E4300,SD,sd_sddot,South Dakota Department of Transportation,110E4300,sd_sddot_110E4300_v20260727,current,
sd_sddot_110E4310,SD,sd_sddot,South Dakota Department of Transportation,110E4310,sd_sddot_110E4310_v20260727,current,
sd_sddot_110E4320,SD,sd_sddot,South Dakota Department of Transportation,110E4320,sd_sddot_110E4320_v20260727,current,
sd_sddot_110E4330,SD,sd_sddot,South Dakota Department of Transportation,110E4330,sd_sddot_110E4330_v20260727,current,
sd_sddot_110E4340,SD,sd_sddot,South Dakota Department of Transportation,110E4340,sd_sddot_110E4340_v20260727,current,
sd_sddot_110E4342,SD,sd_sddot,South Dakota Department of Transportation,110E4342,sd_sddot_110E4342_v20260727,current,
sd_sddot_110E4343,SD,sd_sddot,South Dakota Department of Transportation,110E4343,sd_sddot_110E4343_v20260727,current,
sd_sddot_110E4350,SD,sd_sddot,South Dakota Department of Transportation,110E4350,sd_sddot_110E4350_v20260727,current,
sd_sddot_110E4360,SD,sd_sddot,South Dakota Department of Transportation,110E4360,sd_sddot_110E4360_v20260727,current,
sd_sddot_110E4370,SD,sd_sddot,South Dakota Department of Transportation,110E4370,sd_sddot_110E4370_v20260727,current,
sd_sddot_110E4380,SD,sd_sddot,South Dakota Department of Transportation,110E4380,sd_sddot_110E4380_v20260727,current,
sd_sddot_110E4390,SD,sd_sddot,South Dakota Department of Transportation,110E4390,sd_sddot_110E4390_v20260727,current,
sd_sddot_110E4600,SD,sd_sddot,South Dakota Department of Transportation,110E4600,sd_sddot_110E4600_v20260727,current,
sd_sddot_110E5000,SD,sd_sddot,South Dakota Department of Transportation,110E5000,sd_sddot_110E5000_v20260727,current,
sd_sddot_110E5010,SD,sd_sddot,South Dakota Department of Transportation,110E5010,sd_sddot_110E5010_v20260727,current,
