source_document_id,source_id,document_role,source_url,source_file_name,sha256,media_type,published_on,retrieved_on,notes
sd_sddot_bid_tabs_2019_01_16_abstract,sd_sddot_bid_tabs_2019_01_16,bid_abstract,https://apps.sd.gov/HC65C2C/EBS/lettings/01162019abstract.pdf,01162019abstract.pdf,09940ae28050a46e24e1f5c5878a567a48213250569d45e8b377ce2a6ea58de2,application/pdf,2019-01-16,2026-07-27,
sd_sddot_bid_tabs_2019_01_16_final,sd_sddot_bid_tabs_2019_01_16,final_award_report,https://apps.sd.gov/HC65C2C/EBS/lettings/01162019final.pdf,01162019final.pdf,cc0b9d50bfc3a531d36f0ad062e88f1da5ed5b520cfac8854b7c28ed603cbc34,application/pdf,2019-01-16,2026-07-27,
sd_sddot_bid_tabs_2019_01_23_abstract,sd_sddot_bid_tabs_2019_01_23,bid_abstract,https://apps.sd.gov/HC65C2C/EBS/lettings/01232019abstract.pdf,01232019abstract.pdf,a85f4f9aee20bc1fcd3083c575289c0376e85cb47b4dc9f06572a5871b931da0,application/pdf,2019-01-23,2026-07-27,
sd_sddot_bid_tabs_2019_01_23_final,sd_sddot_bid_tabs_2019_01_23,final_award_report,https://apps.sd.gov/HC65C2C/EBS/lettings/01232019final.pdf,01232019final.pdf,ea63ded5c7d11546547a0112b6ef951642809292afe0fe5a798dc074b277ff3c,application/pdf,2019-01-23,2026-07-27,
sd_sddot_bid_tabs_2019_02_06_abstract,sd_sddot_bid_tabs_2019_02_06,bid_abstract,https://apps.sd.gov/HC65C2C/EBS/lettings/02062019abstract.pdf,02062019abstract.pdf,ddbfae120b5951fdf46e74b41f0ee87dfeb4265af7817e7e2f4102a6ab781768,application/pdf,2019-02-06,2026-07-27,
sd_sddot_bid_tabs_2019_02_06_final,sd_sddot_bid_tabs_2019_02_06,final_award_report,https://apps.sd.gov/HC65C2C/EBS/lettings/02062019final.pdf,02062019final.pdf,036bad92651390247024307ac3702440f1ab990152a522e77902fd405d4c1ef3,application/pdf,2019-02-06,2026-07-27,
sd_sddot_bid_tabs_2019_02_20_abstract,sd_sddot_bid_tabs_2019_02_20,bid_abstract,https://apps.sd.gov/HC65C2C/EBS/lettings/02202019abstract.pdf,02202019abstract.pdf,cdec501213c3cb3c035f7d71a5fd4616f8c7823e034112f4e0fd76dc87d4023e,application/pdf,2019-02-20,2026-07-27,
sd_sddot_bid_tabs_2019_02_20_final,sd_sddot_bid_tabs_2019_02_20,final_award_report,https://apps.sd.gov/HC65C2C/EBS/lettings/02202019final.pdf,02202019final.pdf,ecd3aeb559016ca61b1f9e2215e15b36351703acbee6d5e1da200ae9255491ec,application/pdf,2019-02-20,2026-07-27,
sd_sddot_bid_tabs_2019_03_06_abstract,sd_sddot_bid_tabs_2019_03_06,bid_abstract,https://apps.sd.gov/HC65C2C/EBS/lettings/03062019abstract.pdf,03062019abstract.pdf,16c8a5a1541b6f40f368a1cfea167d5b96e65dd8bc0a8daf8024e60e55863687,application/pdf,2019-03-06,2026-07-27,
sd_sddot_bid_tabs_2019_03_06_final,sd_sddot_bid_tabs_2019_03_06,final_award_report,https://apps.sd.gov/HC65C2C/EBS/lettings/03062019final.pdf,03062019final.pdf,1df1d696efb37a54d0319b7fa66dae5aecc160fee0337b057dc14d15f8c9d963,application/pdf,2019-03-06,2026-07-27,
