contract_project_id,contract_id,project_number,project_control_number,project_name,work_type,county_region,route,location,project_award_amount
sd_sddot_20210721_item_002_project_001,sd_sddot_20210721_item_002,IM-NH-P 0022(00),06EP,"Culvert, Drop Inlet & Ditch Cleanout","Culvert, Drop Inlet & Ditch Cleanout","Lincoln, Miner, Minnehaha, Moody, Turner Project Rejected by the Transportation Commission",,Various Locations Throughout the Sioux Falls Area,
sd_sddot_20210721_item_003_project_001,sd_sddot_20210721_item_003,NH-P 0011(150),07KX,Pavement Restoration,Pavement Restoration,"Day, Marshall",,Various Routes in the Aberdeen Area,
sd_sddot_20210721_item_004_project_001,sd_sddot_20210721_item_004,IM 0907(88)309,07NW,PCC Pavement Grinding,PCC Pavement Grinding,"Aurora, Davison",,I90 EBL - Fm Plankinton to Mitchell,
sd_sddot_20210721_item_005_project_001,sd_sddot_20210721_item_005,IM-P 0901(193)7,04W4,"Zone Painting, Diaphragm Weld Repair","Zone Painting, Diaphragm Weld Repair","Lawrence, Meade",,Various Locations Along I-90,
sd_sddot_20210818_item_001_project_001,sd_sddot_20210818_item_001,ER 0081(104)112,044G,"Grading, AC Surfacing","Grading, AC Surfacing",Kingsbury,,"US81 - Fm 4.8 S of the US14 S Jct, N 3",
sd_sddot_20210818_item_002_project_001,sd_sddot_20210818_item_002,ER 6385(07),07N2,Emergency Roadway Realignment,Emergency Roadway Realignment,Mellette,,Approximately 0.8 mi west and 1 mile south of White River on 268th Ave (Ring Thunder Road),
sd_sddot_20210818_item_003_project_001,sd_sddot_20210818_item_003,P 0031(44),06F7,Culvert Replacement and Repair,Culvert Replacement and Repair,"Jackson, Stanley",,Various Locations Throughout the Pierre Area,
sd_sddot_20210818_item_004_project_001,sd_sddot_20210818_item_004,IM 0901(154)0,01ME,Interstate Fence Replacement,Interstate Fence Replacement,"Lawrence, Meade, Pennington",,I90 - Rapid City Area,
sd_sddot_20210818_item_005_project_001,sd_sddot_20210818_item_005,P TAPU(28),07RG,Shared Use Path,Shared Use Path,Lawrence,,"Spearfish - along College Ln Fm the NW corner of Mortensen Ln to Hillsview Rd, along Hillsview Rd to McGuigan Rd, fm McGuigan Rd to Clear Springs Rd, along Clear Springs Rd to Tumble Weed Trl, along Tumble Weed Tr fm Clear Springs Rd to McGuigan Rd",
sd_sddot_20210901_item_001_project_001,sd_sddot_20210901_item_001,NH 0018(191)250,03TK,"Grading, PCC Surf. C&G, ADA, Storm","Grading, PCC Surf. C&G, ADA, Storm",Tripp,,US18 - Fm W of the Str Over Dog Ear Ck To W of Monroe St in Winner,
sd_sddot_20210901_item_001_project_002,sd_sddot_20210901_item_001,P 0044(188)253,04F9,"Grading, PCC Surf. C&G, ADA, Storm","Grading, PCC Surf. C&G, ADA, Storm",Tripp,,US18 - Fm W of the Str Over Dog Ear Ck To W of Monroe St in Winner,
sd_sddot_20210901_item_002_project_001,sd_sddot_20210901_item_002,14740 ( ),X05H,Water/Sewer Replacement and Upgrades,Water/Sewer Replacement and Upgrades,Tripp,,US18 - From W of the Str Over Dog Ear Ck To W of Monroe St in Winner & SD44 - From E of Plum St to E of Sale Barn Rd/317th Ave in Winner,
sd_sddot_20210901_item_003_project_001,sd_sddot_20210901_item_003,BRO 8041(00),01KP,Structure & Approach Grading,Structure & Approach Grading,Lawrence,,Structure 2E & 5.5N of Spearfish over the Redwater River SN 41-110-008,
sd_sddot_20210901_item_004_project_001,sd_sddot_20210901_item_004,P 0049(05)27,04F4,"Mill, AC Resurfacing, Spot Grading, Pipe","Mill, AC Resurfacing, Spot Grading, Pipe","Lyman, Tripp",,SD49 - Fm SD44 to SD47,
sd_sddot_20210901_item_004_project_002,sd_sddot_20210901_item_004,049-392,I65R,"Mill, AC Resurfacing, Spot Grading, Pipe","Mill, AC Resurfacing, Spot Grading, Pipe","Lyman, Tripp",,SD49 - Fm SD44 to SD47,
sd_sddot_20210901_item_005_project_001,sd_sddot_20210901_item_005,P 0044(204)363,05Q9,Structure Repairs & Zone Painting,Structure Repairs & Zone Painting,"Hutchinson, Turner",,SD44 - Strs 15 E of SD37 Over the James River; 9 W of US81 over Wolf Ck; 3.3 W of SD19 Over SD Owned RR,
sd_sddot_20210901_item_006_project_001,sd_sddot_20210901_item_006,PH 0010(155),06TV,Rumble Stripes & Pavement Markings,Rumble Stripes & Pavement Markings,Regionwide,,Various locations on the local system in the Aberdeen Region,
sd_sddot_20210915_item_001_project_001,sd_sddot_20210915_item_001,IM-NH-P 0022(00),06EP,"Culvert, Drop Inlet & Ditch Cleanout","Culvert, Drop Inlet & Ditch Cleanout","Lincoln, Miner, Minnehaha, Moody, Turner",,Various Locations Throughout the Sioux Falls Area,
sd_sddot_20210915_item_002_project_001,sd_sddot_20210915_item_002,BRF 6434(00)20-5,07TQ,Structure Replacement,Structure Replacement,Butte,,Structure 9.1 E & 1 S of Belle Fourche on Snoma Road over Maloney Creek SN 10-191-390,
sd_sddot_20210915_item_003_project_001,sd_sddot_20210915_item_003,P-PH-EM 0046(60)347,07L2,Mill & AC Resurfacing,Mill & AC Resurfacing,Clay,,SD46 - Fm Irene to W of SD19/SD19A,
sd_sddot_20210915_item_004_project_001,sd_sddot_20210915_item_004,IM 0905(109)226,05EF,"Mill & AC, Pipe Work & Bridge Rehab","Mill & AC, Pipe Work & Bridge Rehab",Lyman,,I90 EBL & WBL - Fm Presho to Reliance,
sd_sddot_20210915_item_005_project_001,sd_sddot_20210915_item_005,P 0015(84)155,05J3,AC Surfacing,AC Surfacing,"Deuel, Grant",,SD15 - Fm the N Jct of US212 N to S Jct of SD20 and SD20 - Fm the S Jct of SD15 to the N Jct of SD15,
sd_sddot_20210915_item_005_project_002,sd_sddot_20210915_item_005,P 0020(168)439,05J2,AC Surfacing,AC Surfacing,"Deuel, Grant",,SD15 - Fm the N Jct of US212 N to S Jct of SD20 and SD20 - Fm the S Jct of SD15 to the N Jct of SD15,
sd_sddot_20210915_item_006_project_001,sd_sddot_20210915_item_006,PH 0010(115),04KE,Durable Pavement Marking,Durable Pavement Marking,"Codington, Hamlin",,Various locations on the State System in the Aberdeen Region,
sd_sddot_20210915_item_007_project_001,sd_sddot_20210915_item_007,PH 00SW(52),05M6,Signing & Delineation,Signing & Delineation,"Corson, Dewey, Haakon, Harding, Jackson, Jones, Lawrence, Mellette, Oglala Lakota, Perkins, Sully, Todd, Tripp, Walworth, Ziebach",,"Various Paved County, Tribal and City Roads in the Pierre and Rapid City Regions.",
sd_sddot_20211006_item_001_project_001,sd_sddot_20211006_item_001,P 0052(06)315,04F0,"AC Surfacing, Approach Slab, Guardrail","AC Surfacing, Approach Slab, Guardrail",Bon Homme,,SD52 - Fm SD37 to SD50 & SD 37P - Fm SD37 through Springfield,
sd_sddot_20211006_item_001_project_002,sd_sddot_20211006_item_001,P 037P(05)11,05XF,"AC Surfacing, Approach Slab, Guardrail","AC Surfacing, Approach Slab, Guardrail",Bon Homme,,SD52 - Fm SD37 to SD50 & SD 37P - Fm SD37 through Springfield,
sd_sddot_20211006_item_002_project_001,sd_sddot_20211006_item_002,P 1806(15)176,045K,Drainage Improvement and Erosion Repair,Drainage Improvement and Erosion Repair,Stanley,,SD1806 - 3 S of the US83 Jct S of Fort Pierre,
sd_sddot_20211006_item_003_project_001,sd_sddot_20211006_item_003,IM 0903(109)165,04TJ,Pipe Work,Pipe Work,"Jackson, Jones",,I90 - Fm W of the Jackson/Jones Co Line to 3 W of Exit 201 (Draper),
sd_sddot_20211006_item_004_project_001,sd_sddot_20211006_item_004,P 0037(162)189,07D9,Bridge Deck Polymer Chip Seal,Bridge Deck Polymer Chip Seal,"Brown, Day, Marshall, Spink",,"SD37 - Strs 1.8 N Jct SD20W, 1.1 S of the Brown Co Line, 7.4, 4.4, 2.3 S Jct US12; SD27 – Strs 8.9, 4.7 S Marshall Co Line, 0.3 E of Langford & 2.3 S Jct SD10",
sd_sddot_20211006_item_004_project_002,sd_sddot_20211006_item_004,P 0027(12)204,07DA,Bridge Deck Polymer Chip Seal,Bridge Deck Polymer Chip Seal,"Brown, Day, Marshall, Spink",,"SD37 - Strs 1.8 N Jct SD20W, 1.1 S of the Brown Co Line, 7.4, 4.4, 2.3 S Jct US12; SD27 – Strs 8.9, 4.7 S Marshall Co Line, 0.3 E of Langford & 2.3 S Jct SD10",
sd_sddot_20211020_item_001_project_001,sd_sddot_20211020_item_001,IM-EM 0908(97)362,05HQ,"PCC Pavement, Structures & Bridge Rehab","PCC Pavement, Structures & Bridge Rehab",McCook Project Withdrawn from letting.,,I90 WBL - Fm 2 W of the Salem Interchange to 2 W of Humboldt; I90 Str - 0.6 W of the US81 Interchange Over the W Fork of the Vermillion River; I90 Str - 2 E of the US81 Interchange Over 443 Ave,
sd_sddot_20211020_item_002_project_001,sd_sddot_20211020_item_002,NH-PH 0012(229)264,06C7,"Modify Intersection, Passing Lanes","Modify Intersection, Passing Lanes","Brown, Edmunds",,US12 – Fm Ipswich to the Divided Highway W of Aberdeen,
sd_sddot_20211020_item_003_project_001,sd_sddot_20211020_item_003,NH-EM 0083(74)55,04E8,"AC Surfacing, ADA Upgrades","AC Surfacing, ADA Upgrades","Jones, Mellette",,US83 - Fm White River to S of Murdo,
