agency_item_version_id,agency_item_id,effective_from,effective_to,official_description,official_abbreviated_description,official_unit,spec_reference_code,source_id,is_current
sd_sddot_450E3030_v20260727,sd_sddot_450E3030,2026-07-27,,"30"" RCP Arch, Install","30"" RCP Arch, Install",FT,450,sd_sddot_item_catalog_2026_07_27,true
sd_sddot_450E3032_v20260727,sd_sddot_450E3032,2026-07-27,,"36"" RCP Arch Class 2, Furnish","36"" RCP Arch Class 2, Furnish",FT,450,sd_sddot_item_catalog_2026_07_27,true
sd_sddot_450E3033_v20260727,sd_sddot_450E3033,2026-07-27,,"36"" RCP Arch Class 3, Furnish","36"" RCP Arch Class 3, Furnish",FT,450,sd_sddot_item_catalog_2026_07_27,true
sd_sddot_450E3034_v20260727,sd_sddot_450E3034,2026-07-27,,"36"" RCP Arch Class 4, Furnish","36"" RCP Arch Class 4, Furnish",FT,450,sd_sddot_item_catalog_2026_07_27,true
sd_sddot_450E3040_v20260727,sd_sddot_450E3040,2026-07-27,,"36"" RCP Arch, Install","36"" RCP Arch, Install",FT,450,sd_sddot_item_catalog_2026_07_27,true
sd_sddot_450E3042_v20260727,sd_sddot_450E3042,2026-07-27,,"42"" RCP Arch Class 2, Furnish","42"" RCP Arch Class 2, Furnish",FT,450,sd_sddot_item_catalog_2026_07_27,true
sd_sddot_450E3043_v20260727,sd_sddot_450E3043,2026-07-27,,"42"" RCP Arch Class 3, Furnish","42"" RCP Arch Class 3, Furnish",FT,450,sd_sddot_item_catalog_2026_07_27,true
sd_sddot_450E3044_v20260727,sd_sddot_450E3044,2026-07-27,,"42"" RCP Arch Class 4, Furnish","42"" RCP Arch Class 4, Furnish",FT,450,sd_sddot_item_catalog_2026_07_27,true
sd_sddot_450E3049_v20260727,sd_sddot_450E3049,2026-07-27,,"42"" RCP Arch for Jacking, Furnish","42"" RCP Arch for Jacking, Furnish",FT,450,sd_sddot_item_catalog_2026_07_27,true
sd_sddot_450E3050_v20260727,sd_sddot_450E3050,2026-07-27,,"42"" RCP Arch, Install","42"" RCP Arch, Install",FT,450,sd_sddot_item_catalog_2026_07_27,true
sd_sddot_450E3052_v20260727,sd_sddot_450E3052,2026-07-27,,"48"" RCP Arch Class 2, Furnish","48"" RCP Arch Class 2, Furnish",FT,450,sd_sddot_item_catalog_2026_07_27,true
sd_sddot_450E3053_v20260727,sd_sddot_450E3053,2026-07-27,,"48"" RCP Arch Class 3, Furnish","48"" RCP Arch Class 3, Furnish",FT,450,sd_sddot_item_catalog_2026_07_27,true
sd_sddot_450E3054_v20260727,sd_sddot_450E3054,2026-07-27,,"48"" RCP Arch Class 4, Furnish","48"" RCP Arch Class 4, Furnish",FT,450,sd_sddot_item_catalog_2026_07_27,true
sd_sddot_450E3060_v20260727,sd_sddot_450E3060,2026-07-27,,"48"" RCP Arch, Install","48"" RCP Arch, Install",FT,450,sd_sddot_item_catalog_2026_07_27,true
sd_sddot_450E3062_v20260727,sd_sddot_450E3062,2026-07-27,,"54"" RCP Arch Class 2, Furnish","54"" RCP Arch Class 2, Furnish",FT,450,sd_sddot_item_catalog_2026_07_27,true
sd_sddot_450E3063_v20260727,sd_sddot_450E3063,2026-07-27,,"54"" RCP Arch Class 3, Furnish","54"" RCP Arch Class 3, Furnish",FT,450,sd_sddot_item_catalog_2026_07_27,true
sd_sddot_450E3064_v20260727,sd_sddot_450E3064,2026-07-27,,"54"" RCP Arch Class 4, Furnish","54"" RCP Arch Class 4, Furnish",FT,450,sd_sddot_item_catalog_2026_07_27,true
sd_sddot_450E3070_v20260727,sd_sddot_450E3070,2026-07-27,,"54"" RCP Arch, Install","54"" RCP Arch, Install",FT,450,sd_sddot_item_catalog_2026_07_27,true
sd_sddot_450E3072_v20260727,sd_sddot_450E3072,2026-07-27,,"60"" RCP Arch Class 2, Furnish","60"" RCP Arch Class 2, Furnish",FT,450,sd_sddot_item_catalog_2026_07_27,true
sd_sddot_450E3073_v20260727,sd_sddot_450E3073,2026-07-27,,"60"" RCP Arch Class 3, Furnish","60"" RCP Arch Class 3, Furnish",FT,450,sd_sddot_item_catalog_2026_07_27,true
sd_sddot_450E3074_v20260727,sd_sddot_450E3074,2026-07-27,,"60"" RCP Arch Class 4, Furnish","60"" RCP Arch Class 4, Furnish",FT,450,sd_sddot_item_catalog_2026_07_27,true
sd_sddot_450E3080_v20260727,sd_sddot_450E3080,2026-07-27,,"60"" RCP Arch, Install","60"" RCP Arch, Install",FT,450,sd_sddot_item_catalog_2026_07_27,true
sd_sddot_450E3082_v20260727,sd_sddot_450E3082,2026-07-27,,"72"" RCP Arch Class 2, Furnish","72"" RCP Arch Class 2, Furnish",FT,450,sd_sddot_item_catalog_2026_07_27,true
sd_sddot_450E3083_v20260727,sd_sddot_450E3083,2026-07-27,,"72"" RCP Arch Class 3, Furnish","72"" RCP Arch Class 3, Furnish",FT,450,sd_sddot_item_catalog_2026_07_27,true
sd_sddot_450E3084_v20260727,sd_sddot_450E3084,2026-07-27,,"72"" RCP Arch Class 4, Furnish","72"" RCP Arch Class 4, Furnish",FT,450,sd_sddot_item_catalog_2026_07_27,true
sd_sddot_450E3090_v20260727,sd_sddot_450E3090,2026-07-27,,"72"" RCP Arch, Install","72"" RCP Arch, Install",FT,450,sd_sddot_item_catalog_2026_07_27,true
sd_sddot_450E3092_v20260727,sd_sddot_450E3092,2026-07-27,,"84"" RCP Arch Class 2, Furnish","84"" RCP Arch Class 2, Furnish",FT,450,sd_sddot_item_catalog_2026_07_27,true
